id,name,lang,new stars
45717250,tensorflow/tensorflow,C++,53
9384267,electron/electron,C++,37
100060912,microsoft/terminal,C++,68
65600975,pytorch/pytorch,C++,47
1357796,emscripten-core/emscripten,C++,7
11171548,nlohmann/json,C++,25
6934395,facebook/rocksdb,C++,3
39840932,google/googletest,C++,10
65711522,PaddlePaddle/Paddle,C++,8
102343794,apache/incubator-brpc,C++,6
143455116,google/filament,C++,4
34777562,ossrs/srs,C++,15
38581626,pybind/pybind11,C++,8
23202799,microsoft/cpprestsdk,C++,8
8162615,PointCloudLibrary/pcl,C++,6
46374199,IntelRealSense/librealsense,C++,6
5298790,PX4/Firmware,C++,2
28149409,mlpack/mlpack,C++,5
208728772,milvus-io/milvus,C++,128
75413130,intel-isl/Open3D,C++,9
5909706,yhirose/cpp-httplib,C++,8
49978193,valhalla/valhalla,C++,0
190799980,hku-mars/loam_livox,C++,3
232686735,AltimorTASDK/SFVNetcodeFix,C++,29
232779887,outflanknl/Spray-AD,C++,25
