id,name,lang,new stars
111583593,Genymobile/scrcpy,C,49
18666758,pjreddie/darknet,C,4
569041,curl/curl,C,17
5101141,stedolan/jq,C,12
37912398,nginx/nginx,C,13
196353673,taosdata/TDengine,C,7
9524997,glfw/glfw,C,2
117948953,Atmosphere-NX/Atmosphere,C,14
5870069,edenhill/librdkafka,C,6
16734696,meetecho/janus-gateway,C,8
5383731,qemu/qemu,C,8
187922067,microsoft/WSL2-Linux-Kernel,C,7
8270972,ARMmbed/mbed-os,C,3
8046269,warmcat/libwebsockets,C,1
59676171,KevinOConnor/klipper,C,5
131710328,CTCaer/hekate,C,11
15333809,open62541/open62541,C,2
167469034,OpenVisualCloud/SVT-AV1,C,3
251287681,danigargu/CVE-2020-0796,C,8
53174933,google/boringssl,C,1
190453050,alephsecurity/xnu-qemu-arm64,C,9
70934373,Azure/azure-iot-sdk-c,C,0
172678032,wlanjie/trinity,C,9
228103273,apache/incubator-nuttx,C,3
255670798,sandboxie/sandboxie,C,46
