id,name,lang,new stars
184456251,microsoft/PowerToys,C#,198
49609581,PowerShell/PowerShell,C#,11
15315789,Wox-launcher/Wox,C#,7
164140756,files-community/Files,C#,15
102904613,Unity-Technologies/ml-agents,C#,9
198071756,huiyadanli/RevokeMsgPatcher,C#,39
959908,OpenRA/OpenRA,C#,1
120231691,Ryujinx/Ryujinx,C#,9
193681686,netchx/netch,C#,6
22456440,ppy/osu,C#,11
75990888,dotnet/csharplang,C#,2
44897462,JustArchiNET/ArchiSteamFarm,C#,4
165548191,carlospolop/PEASS-ng,C#,10
182095352,nilaoda/N_m3u8DL-CLI,C#,10
21611723,quasar/Quasar,C#,6
286490065,UnityTechnologies/open-project-1,C#,3
136570231,stride3d/stride,C#,5
2928944,Azure/azure-sdk-for-net,C#,4
184286875,actions/runner,C#,3
121067132,BepInEx/BepInEx,C#,3
182637681,Assistant/ModAssistant,C#,1
177751718,openbullet/openbullet,C#,1
341352859,polusgg/Town-Of-Us,C#,1
211901747,knah/VRCMods,C#,0
376289478,martincostello/dotnet-minimal-api-integration-testing,C#,6
