id,name,lang,new stars
132464395,Snailclimb/JavaGuide,Java,90
160640094,MisterBooo/LeetCodeAnimation,Java,43
1148753,spring-projects/spring-framework,Java,14
2700159,alibaba/druid,Java,8
148736243,qiurunze123/miaosha,Java,15
7587038,alibaba/canal,Java,23
47023603,xuxueli/xxl-job,Java,20
137451403,alibaba/nacos,Java,13
45721011,apache/skywalking,Java,9
15823460,redisson/redisson,Java,14
20587599,apache/flink,Java,10
13404515,brettwooldridge/HikariCP,Java,54
117965972,alibaba/DataX,Java,9
98103322,zhoutaoo/SpringCloud,Java,10
218689982,KunMinX/Jetpack-MVVM-Best-Practice,Java,11
233156210,yuanguangxin/LeetCode,Java,31
237867883,metersphere/metersphere,Java,14
50205233,debezium/debezium,Java,6
140543886,apache/incubator-shenyu,Java,10
84916374,apache/rocketmq-externals,Java,3
334274271,opensearch-project/OpenSearch,Java,34
265513067,LandGrey/SpringBootVulExploit,Java,26
1089149,spring-projects/spring-batch,Java,4
2928948,Azure/azure-sdk-for-java,Java,1
387930408,microsoft/gctoolkit,Java,192
