id,name,lang,new stars
126577260,trekhleb/javascript-algorithms,JavaScript,241
23083156,mui-org/material-ui,JavaScript,34
147350463,leonardomso/33-js-concepts,JavaScript,149
46273445,transloadit/uppy,JavaScript,14
402046,MrRio/jsPDF,JavaScript,14
19745004,odoo/odoo,JavaScript,20
5508088,svg/svgo,JavaScript,3
135614069,sudheerj/reactjs-interview-questions,JavaScript,25
25095239,aFarkas/lazysizes,JavaScript,12
218102162,menzi11/BullshitGenerator,JavaScript,24
38267641,trufflesuite/truffle,JavaScript,72
7323572,davidshimjs/qrcodejs,JavaScript,8
299584778,docmirror/dev-sidecar,JavaScript,29
178124673,qq281113270/vue,JavaScript,13
284871753,flybywiresim/a32nx,JavaScript,1
156318859,lazy-luo/smarGate,JavaScript,57
201978761,Superalgos/Superalgos,JavaScript,3
38255391,aquasecurity/cloudsploit,JavaScript,4
247288642,adiwajshing/Baileys,JavaScript,4
328121260,timlrx/tailwind-nextjs-starter-blog,JavaScript,59
368390355,vaxilu/x-ui,JavaScript,49
375563752,shufflewzc/faker2,JavaScript,35
389626024,MoonBegonia/ninja,JavaScript,46
384940197,smiek2221/scripts,JavaScript,7
251061661,c6fc/warcannon,JavaScript,10
