id,name,lang,new stars
63476337,TheAlgorithms/Python,Python,49
21289110,vinta/awesome-python,Python,53
32689863,3b1b/manim,Python,101
154747577,google-research/bert,Python,18
71220757,swisskyrepo/PayloadsAllTheThings,Python,27
220809393,willmcgugan/rich,Python,42
33884891,apache/airflow,Python,10
125266328,psf/black,Python,13
262296122,PaddlePaddle/PaddleOCR,Python,109
154739597,google/jax,Python,46
4704710,mwaskom/seaborn,Python,13
114054873,espnet/espnet,Python,4
129815042,thu-ml/tianshou,Python,26
9801644,elastic/elasticsearch-py,Python,12
260907244,yogeshojha/rengine,Python,10
355959597,willmcgugan/textual,Python,429
347502287,kingoflolz/mesh-transformer-jax,Python,89
190823163,Datalux/Osintgram,Python,5
204380779,PaddlePaddle/PaddleSeg,Python,9
246183538,TCM-Course-Resources/Practical-Ethical-Hacking-Resources,Python,134
387326890,xinntao/Real-ESRGAN,Python,7
359779411,uzh-rpg/rpg_timelens,Python,52
392944894,PeterWang512/GANSketching,Python,59
386017669,iterativv/NostalgiaForInfinity,Python,37
380502721,mrlt8/docker-wyze-bridge,Python,6
