id,name,lang,new stars
126577260,trekhleb/javascript-algorithms,JavaScript,241
132750724,danistefanovic/build-your-own-x,,149
132464395,Snailclimb/JavaGuide,Java,90
19415064,ossu/computer-science,,247
20580498,kubernetes/kubernetes,Go,124
90793418,sharkdp/fd,Rust,104
48003886,tmrts/go-patterns,Go,126
80286288,arendst/Tasmota,C,106
13404515,brettwooldridge/HikariCP,Java,54
65750241,expo/expo,Objective-C,141
38267641,trufflesuite/truffle,JavaScript,72
6520784,RPCS3/rpcs3,C++,105
207837082,yifeikong/reverse-interview-zh,,150
47042287,codebasics/py,Jupyter Notebook,199
355959597,willmcgugan/textual,Python,423
347502287,kingoflolz/mesh-transformer-jax,Python,87
369706166,Aircoin-official/AirCash,,97
392954531,badtuxx/DescomplicandoDocker,,148
246183538,TCM-Course-Resources/Practical-Ethical-Hacking-Resources,Python,136
367571115,hora-search/hora,Rust,421
387930408,microsoft/gctoolkit,Java,213
382946977,fholger/openvr_fsr,C++,70
326203706,sdushantha/snaprecovery,Shell,89
359779411,uzh-rpg/rpg_timelens,Python,50
392944894,PeterWang512/GANSketching,Python,66
