id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
17620347,aspnetcore,dotnet/aspnetcore,C#,10,|ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.|,6678,25371,|{'html_url': 'https://github.com/dotnet/aspnetcore', 'avatar_url': 'https://avatars.githubusercontent.com/u/17620347?v=4', 'login': 'aspnetcore'}|
30474266,MaterialDesignInXamlToolkit,MaterialDesignInXAML/MaterialDesignInXamlToolkit,C#,6,|Google's Material Design in XAML & WPF, for C# & VB.Net. |,2731,11113,|{'html_url': 'https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit', 'avatar_url': 'https://avatars.githubusercontent.com/u/30474266?v=4', 'login': 'MaterialDesignInXamlToolkit'}|
262395224,maui,dotnet/maui,C#,21,|.NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.|,462,10884,|{'html_url': 'https://github.com/dotnet/maui', 'avatar_url': 'https://avatars.githubusercontent.com/u/262395224?v=4', 'login': 'maui'}|
28239455,AspNetCore.Docs,dotnet/AspNetCore.Docs,C#,2,Documentation for ASP.NET Core,22447,9547,|{'html_url': 'https://github.com/dotnet/AspNetCore.Docs', 'avatar_url': 'https://avatars.githubusercontent.com/u/28239455?v=4', 'login': 'AspNetCore.Docs'}|
374228,RestSharp,restsharp/RestSharp,C#,3,Simple REST and HTTP API Client for .NET,2155,7972,|{'html_url': 'https://github.com/restsharp/RestSharp', 'avatar_url': 'https://avatars.githubusercontent.com/u/374228?v=4', 'login': 'RestSharp'}|
75990888,csharplang,dotnet/csharplang,C#,6,The official repo for the design of the C# programming language,792,7331,|{'html_url': 'https://github.com/dotnet/csharplang', 'avatar_url': 'https://avatars.githubusercontent.com/u/75990888?v=4', 'login': 'csharplang'}|
210716005,runtime,dotnet/runtime,C#,8,|.NET is a cross-platform runtime for cloud, mobile, desktop, and IoT apps.|,2241,6721,|{'html_url': 'https://github.com/dotnet/runtime', 'avatar_url': 'https://avatars.githubusercontent.com/u/210716005?v=4', 'login': 'runtime'}|
22636263,duplicati,duplicati/duplicati,C#,39,Store securely encrypted backups in the cloud!,675,6472,|{'html_url': 'https://github.com/duplicati/duplicati', 'avatar_url': 'https://avatars.githubusercontent.com/u/22636263?v=4', 'login': 'duplicati'}|
64290739,practical-aspnetcore,dodyg/practical-aspnetcore,C#,22,|Practical samples of ASP.NET Core 2.1, 2.2, 3.1, 5.0 and 6.0 Preview 6 projects you can use. Readme contains explanations on all projects.|,750,5872,|{'html_url': 'https://github.com/dodyg/practical-aspnetcore', 'avatar_url': 'https://avatars.githubusercontent.com/u/64290739?v=4', 'login': 'practical-aspnetcore'}|
8198511,serilog,serilog/serilog,C#,0,Simple .NET logging with fully-structured events,631,4721,|{'html_url': 'https://github.com/serilog/serilog', 'avatar_url': 'https://avatars.githubusercontent.com/u/8198511?v=4', 'login': 'serilog'}|
243854166,tye,dotnet/tye,C#,2,|Tye is a tool that makes developing, testing, and deploying microservices and distributed applications easier. Project Tye includes a local orchestrator to make developing microservices easier and the ability to deploy microservices to Kubernetes with minimal configuration.|,378,3673,|{'html_url': 'https://github.com/dotnet/tye', 'avatar_url': 'https://avatars.githubusercontent.com/u/243854166?v=4', 'login': 'tye'}|
73864802,workflow-core,danielgerlag/workflow-core,C#,3,Lightweight workflow engine for .NET Standard,806,3310,|{'html_url': 'https://github.com/danielgerlag/workflow-core', 'avatar_url': 'https://avatars.githubusercontent.com/u/73864802?v=4', 'login': 'workflow-core'}|
23891194,azure-powershell,Azure/azure-powershell,C#,2,Microsoft Azure PowerShell,2646,2701,|{'html_url': 'https://github.com/Azure/azure-powershell', 'avatar_url': 'https://avatars.githubusercontent.com/u/23891194?v=4', 'login': 'azure-powershell'}|
19555723,AsyncEx,StephenCleary/AsyncEx,C#,2,A helper library for async/await.,300,2670,|{'html_url': 'https://github.com/StephenCleary/AsyncEx', 'avatar_url': 'https://avatars.githubusercontent.com/u/19555723?v=4', 'login': 'AsyncEx'}|
169597853,Covenant,cobbr/Covenant,C#,2,Covenant is a collaborative .NET C2 framework for red teamers.,497,2529,|{'html_url': 'https://github.com/cobbr/Covenant', 'avatar_url': 'https://avatars.githubusercontent.com/u/169597853?v=4', 'login': 'Covenant'}|
54308403,WinAppDriver,microsoft/WinAppDriver,C#,6,Windows Application Driver,1089,2400,|{'html_url': 'https://github.com/microsoft/WinAppDriver', 'avatar_url': 'https://avatars.githubusercontent.com/u/54308403?v=4', 'login': 'WinAppDriver'}|
119571446,samples,dotnet/samples,C#,3,Sample code referenced by the .NET documentation,3137,1691,|{'html_url': 'https://github.com/dotnet/samples', 'avatar_url': 'https://avatars.githubusercontent.com/u/119571446?v=4', 'login': 'samples'}|
77180761,XamarinCommunityToolkit,xamarin/XamarinCommunityToolkit,C#,3,|The Xamarin Community Toolkit is a collection of Animations, Behaviors, Converters, and Effects for mobile development with Xamarin.Forms. It simplifies and demonstrates common developer tasks building iOS, Android, and UWP apps with Xamarin.Forms.|,335,1356,|{'html_url': 'https://github.com/xamarin/XamarinCommunityToolkit', 'avatar_url': 'https://avatars.githubusercontent.com/u/77180761?v=4', 'login': 'XamarinCommunityToolkit'}|
73515906,spy-spotify,jwallet/spy-spotify,C#,22,🎤 Records Spotify to mp3 without ads and adds media tags to the files 🎵,85,1125,|{'html_url': 'https://github.com/jwallet/spy-spotify', 'avatar_url': 'https://avatars.githubusercontent.com/u/73515906?v=4', 'login': 'spy-spotify'}|
234068197,AZ-204-DevelopingSolutionsforMicrosoftAzure,MicrosoftLearning/AZ-204-DevelopingSolutionsforMicrosoftAzure,C#,2,AZ-204: Developing solutions for Microsoft Azure,799,989,|{'html_url': 'https://github.com/MicrosoftLearning/AZ-204-DevelopingSolutionsforMicrosoftAzure', 'avatar_url': 'https://avatars.githubusercontent.com/u/234068197?v=4', 'login': 'AZ-204-DevelopingSolutionsforMicrosoftAzure'}|
87844614,designs,dotnet/designs,C#,1,This repo is used for reviewing new .NET designs.,133,651,|{'html_url': 'https://github.com/dotnet/designs', 'avatar_url': 'https://avatars.githubusercontent.com/u/87844614?v=4', 'login': 'designs'}|
262661480,warp-plus-cloudflare,ALIILAPRO/warp-plus-cloudflare,C#,4,Script for getting unlimited GB on Warp+ ( https://1.1.1.1/ ),261,602,|{'html_url': 'https://github.com/ALIILAPRO/warp-plus-cloudflare', 'avatar_url': 'https://avatars.githubusercontent.com/u/262661480?v=4', 'login': 'warp-plus-cloudflare'}|
375939072,FastGithub,dotnetcore/FastGithub,C#,97,github加速神器，解决github打不开、用户头像无法加载、releases无法上传下载、git-clone、git-pull、git-push失败等问题,62,469,|{'html_url': 'https://github.com/dotnetcore/FastGithub', 'avatar_url': 'https://avatars.githubusercontent.com/u/375939072?v=4', 'login': 'FastGithub'}|
391104231,ADCSPwn,bats3c/ADCSPwn,C#,14,A tool to escalate privileges in an active directory network by coercing authenticate from machine accounts and relaying to the certificate service.,74,464,|{'html_url': 'https://github.com/bats3c/ADCSPwn', 'avatar_url': 'https://avatars.githubusercontent.com/u/391104231?v=4', 'login': 'ADCSPwn'}|
281200525,azure-functions-openapi-extension,Azure/azure-functions-openapi-extension,C#,0,This extension provides an Azure Functions app with Open API capability for better discoverability to consuming parties,42,125,|{'html_url': 'https://github.com/Azure/azure-functions-openapi-extension', 'avatar_url': 'https://avatars.githubusercontent.com/u/281200525?v=4', 'login': 'azure-functions-openapi-extension'}|
