id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
45717250,tensorflow,tensorflow/tensorflow,C++,46,An Open Source Machine Learning Framework for Everyone,85312,158158,|{'html_url': 'https://github.com/tensorflow/tensorflow', 'avatar_url': 'https://avatars.githubusercontent.com/u/45717250?v=4', 'login': 'tensorflow'}|
1181927,bitcoin,bitcoin/bitcoin,C++,35,Bitcoin Core integration/staging tree,29611,56135,|{'html_url': 'https://github.com/bitcoin/bitcoin', 'avatar_url': 'https://avatars.githubusercontent.com/u/1181927?v=4', 'login': 'bitcoin'}|
5108051,opencv,opencv/opencv,C++,25,Open Source Computer Vision Library,47251,56008,|{'html_url': 'https://github.com/opencv/opencv', 'avatar_url': 'https://avatars.githubusercontent.com/u/5108051?v=4', 'login': 'opencv'}|
23357588,protobuf,protocolbuffers/protobuf,C++,48,Protocol Buffers - Google's data interchange format,13078,49903,|{'html_url': 'https://github.com/protocolbuffers/protobuf', 'avatar_url': 'https://avatars.githubusercontent.com/u/23357588?v=4', 'login': 'protobuf'}|
11171548,json,nlohmann/json,C++,13,JSON for Modern C++,4443,25600,|{'html_url': 'https://github.com/nlohmann/json', 'avatar_url': 'https://avatars.githubusercontent.com/u/11171548?v=4', 'login': 'json'}|
89247811,openpose,CMU-Perceptual-Computing-Lab/openpose,C++,8,|OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation|,6505,21602,|{'html_url': 'https://github.com/CMU-Perceptual-Computing-Lab/openpose', 'avatar_url': 'https://avatars.githubusercontent.com/u/89247811?v=4', 'login': 'openpose'}|
6934395,rocksdb,facebook/rocksdb,C++,8,|A library that provides an embeddable, persistent key-value store for fast storage.|,4595,20495,|{'html_url': 'https://github.com/facebook/rocksdb', 'avatar_url': 'https://avatars.githubusercontent.com/u/6934395?v=4', 'login': 'rocksdb'}|
96246170,apollo,ApolloAuto/apollo,C++,10,An open autonomous driving platform,7519,19001,|{'html_url': 'https://github.com/ApolloAuto/apollo', 'avatar_url': 'https://avatars.githubusercontent.com/u/96246170?v=4', 'login': 'apollo'}|
60246359,ClickHouse,ClickHouse/ClickHouse,C++,13,ClickHouse® is a free analytics DBMS for big data,3610,18138,|{'html_url': 'https://github.com/ClickHouse/ClickHouse', 'avatar_url': 'https://avatars.githubusercontent.com/u/60246359?v=4', 'login': 'ClickHouse'}|
65214191,envoy,envoyproxy/envoy,C++,4,Cloud-native high-performance edge/middle/service proxy,3219,17652,|{'html_url': 'https://github.com/envoyproxy/envoy', 'avatar_url': 'https://avatars.githubusercontent.com/u/65214191?v=4', 'login': 'envoy'}|
74660642,taichi,taichi-dev/taichi,C++,12,|Productive & portable programming language for high-performance, sparse & differentiable computing on CPUs & GPUs|,1606,15217,|{'html_url': 'https://github.com/taichi-dev/taichi', 'avatar_url': 'https://avatars.githubusercontent.com/u/74660642?v=4', 'login': 'taichi'}|
1062572,Catch2,catchorg/Catch2,C++,10,|A modern, C++-native, header-only, test framework for unit-tests, TDD and BDD - using C++11, C++14, C++17 and later (or C++03 on the Catch1.x branch)|,2345,13840,|{'html_url': 'https://github.com/catchorg/Catch2', 'avatar_url': 'https://avatars.githubusercontent.com/u/1062572?v=4', 'login': 'Catch2'}|
14981376,dogecoin,dogecoin/dogecoin,C++,60,very currency,2233,12545,|{'html_url': 'https://github.com/dogecoin/dogecoin', 'avatar_url': 'https://avatars.githubusercontent.com/u/14981376?v=4', 'login': 'dogecoin'}|
263379,libzmq,zeromq/libzmq,C++,5,|ZeroMQ core engine in C++, implements ZMTP/3.1|,1975,7126,|{'html_url': 'https://github.com/zeromq/libzmq', 'avatar_url': 'https://avatars.githubusercontent.com/u/263379?v=4', 'login': 'libzmq'}|
344192338,IoT-For-Beginners,microsoft/IoT-For-Beginners,C++,54,|12 Weeks, 24 Lessons, IoT for All!|,645,6797,|{'html_url': 'https://github.com/microsoft/IoT-For-Beginners', 'avatar_url': 'https://avatars.githubusercontent.com/u/344192338?v=4', 'login': 'IoT-For-Beginners'}|
8162615,pcl,PointCloudLibrary/pcl,C++,3,Point Cloud Library (PCL),3941,6492,|{'html_url': 'https://github.com/PointCloudLibrary/pcl', 'avatar_url': 'https://avatars.githubusercontent.com/u/8162615?v=4', 'login': 'pcl'}|
5909706,cpp-httplib,yhirose/cpp-httplib,C++,9,A C++ header-only HTTP/HTTPS server and client library,1182,5427,|{'html_url': 'https://github.com/yhirose/cpp-httplib', 'avatar_url': 'https://avatars.githubusercontent.com/u/5909706?v=4', 'login': 'cpp-httplib'}|
178613040,magic_enum,Neargye/magic_enum,C++,7,|Static reflection for enums (to string, from string, iteration) for modern C++, work with any enum type without any macro or boilerplate code|,171,2043,|{'html_url': 'https://github.com/Neargye/magic_enum', 'avatar_url': 'https://avatars.githubusercontent.com/u/178613040?v=4', 'login': 'magic_enum'}|
15667250,ceres-solver,ceres-solver/ceres-solver,C++,1,A large scale non-linear optimization library,740,2019,|{'html_url': 'https://github.com/ceres-solver/ceres-solver', 'avatar_url': 'https://avatars.githubusercontent.com/u/15667250?v=4', 'login': 'ceres-solver'}|
61292682,Vulkan-Hpp,KhronosGroup/Vulkan-Hpp,C++,1,Open-Source Vulkan C++ API,216,1987,|{'html_url': 'https://github.com/KhronosGroup/Vulkan-Hpp', 'avatar_url': 'https://avatars.githubusercontent.com/u/61292682?v=4', 'login': 'Vulkan-Hpp'}|
224908244,WasmEdge,WasmEdge/WasmEdge,C++,5,|WasmEdge Runtime is a high-performance, extensible, and hardware optimized WebAssembly Virtual Machine for automotive, cloud, AI, and blockchain applications.|,86,1312,|{'html_url': 'https://github.com/WasmEdge/WasmEdge', 'avatar_url': 'https://avatars.githubusercontent.com/u/224908244?v=4', 'login': 'WasmEdge'}|
