id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
2325298,linux,torvalds/linux,C,57,Linux kernel source tree,38337,116195,|{'html_url': 'https://github.com/torvalds/linux', 'avatar_url': 'https://avatars.githubusercontent.com/u/2325298?v=4', 'login': 'linux'}|
246335987,Ventoy,ventoy/Ventoy,C,99,A new bootable USB solution.,1717,22998,|{'html_url': 'https://github.com/ventoy/Ventoy', 'avatar_url': 'https://avatars.githubusercontent.com/u/246335987?v=4', 'login': 'Ventoy'}|
102578345,lede,coolsnowwolf/lede,C,16,Lean's OpenWrt source,14769,17348,|{'html_url': 'https://github.com/coolsnowwolf/lede', 'avatar_url': 'https://avatars.githubusercontent.com/u/102578345?v=4', 'login': 'lede'}|
19994257,delve,go-delve/delve,C,7,Delve is a debugger for the Go programming language.,1693,16752,|{'html_url': 'https://github.com/go-delve/delve', 'avatar_url': 'https://avatars.githubusercontent.com/u/19994257?v=4', 'login': 'delve'}|
7634677,openssl,openssl/openssl,C,9,TLS/SSL and crypto library,7110,16216,|{'html_url': 'https://github.com/openssl/openssl', 'avatar_url': 'https://avatars.githubusercontent.com/u/7634677?v=4', 'login': 'openssl'}|
11715753,masscan,robertdavidgraham/masscan,C,18,|TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes.|,2469,15673,|{'html_url': 'https://github.com/robertdavidgraham/masscan', 'avatar_url': 'https://avatars.githubusercontent.com/u/11715753?v=4', 'login': 'masscan'}|
4869294,radare2,radareorg/radare2,C,3,UNIX-like reverse engineering framework and command-line toolset,2511,14734,|{'html_url': 'https://github.com/radareorg/radare2', 'avatar_url': 'https://avatars.githubusercontent.com/u/4869294?v=4', 'login': 'radare2'}|
95879426,ncnn,Tencent/ncnn,C,14,ncnn is a high-performance neural network inference framework optimized for the mobile platform,3015,12367,|{'html_url': 'https://github.com/Tencent/ncnn', 'avatar_url': 'https://avatars.githubusercontent.com/u/95879426?v=4', 'login': 'ncnn'}|
84240850,timescaledb,timescale/timescaledb,C,7,An open-source time-series SQL database optimized for fast ingest and complex queries.  Packaged as a PostgreSQL extension.,607,11521,|{'html_url': 'https://github.com/timescale/timescaledb', 'avatar_url': 'https://avatars.githubusercontent.com/u/84240850?v=4', 'login': 'timescaledb'}|
95133665,raspberry-pi-os,s-matyukevich/raspberry-pi-os,C,3,Learning operating system development using Linux kernel and Raspberry Pi,981,10487,|{'html_url': 'https://github.com/s-matyukevich/raspberry-pi-os', 'avatar_url': 'https://avatars.githubusercontent.com/u/95133665?v=4', 'login': 'raspberry-pi-os'}|
5254557,skynet,cloudwu/skynet,C,3,A lightweight online game framework,3675,10461,|{'html_url': 'https://github.com/cloudwu/skynet', 'avatar_url': 'https://avatars.githubusercontent.com/u/5254557?v=4', 'login': 'skynet'}|
32873313,systemd,systemd/systemd,C,5,The systemd System and Service Manager ,2639,8297,|{'html_url': 'https://github.com/systemd/systemd', 'avatar_url': 'https://avatars.githubusercontent.com/u/32873313?v=4', 'login': 'systemd'}|
3199002,linux,raspberrypi/linux,C,4,Kernel source tree for Raspberry Pi Foundation-provided kernel builds. Issues unrelated to the linux kernel should be posted on the community forum at https://www.raspberrypi.org/forum,3867,8187,|{'html_url': 'https://github.com/raspberrypi/linux', 'avatar_url': 'https://avatars.githubusercontent.com/u/3199002?v=4', 'login': 'linux'}|
437011,zfs,openzfs/zfs,C,0,OpenZFS on Linux and FreeBSD,1358,7144,|{'html_url': 'https://github.com/openzfs/zfs', 'avatar_url': 'https://avatars.githubusercontent.com/u/437011?v=4', 'login': 'zfs'}|
70127218,arduino-esp32,espressif/arduino-esp32,C,10,Arduino core for the ESP32,4444,7118,|{'html_url': 'https://github.com/espressif/arduino-esp32', 'avatar_url': 'https://avatars.githubusercontent.com/u/70127218?v=4', 'login': 'arduino-esp32'}|
5870069,librdkafka,edenhill/librdkafka,C,2,The Apache Kafka C/C++ library,2387,5324,|{'html_url': 'https://github.com/edenhill/librdkafka', 'avatar_url': 'https://avatars.githubusercontent.com/u/5870069?v=4', 'login': 'librdkafka'}|
277194804,NoiseTorch,lawl/NoiseTorch,C,7,Real-time microphone noise suppression on Linux.,83,4127,|{'html_url': 'https://github.com/lawl/NoiseTorch', 'avatar_url': 'https://avatars.githubusercontent.com/u/277194804?v=4', 'login': 'NoiseTorch'}|
21329550,wireshark,wireshark/wireshark,C,1,Read-only mirror of Wireshark's Git repository at https://gitlab.com/wireshark/wireshark. GitHub won't let us disable pull requests. ☞ THEY WILL BE IGNORED HERE ☜ Please upload them at GitLab.,1271,3568,|{'html_url': 'https://github.com/wireshark/wireshark', 'avatar_url': 'https://avatars.githubusercontent.com/u/21329550?v=4', 'login': 'wireshark'}|
58132544,RediSearch,RediSearch/RediSearch,C,2,|A query and indexing engine for Redis, providing secondary indexing, full-text search, and aggregations. |,326,3083,|{'html_url': 'https://github.com/RediSearch/RediSearch', 'avatar_url': 'https://avatars.githubusercontent.com/u/58132544?v=4', 'login': 'RediSearch'}|
287706896,puerts,Tencent/puerts,C,3,Write your game with TypeScript in UE4 or Unity. Puerts can be pronounced as pu-erh TS（普洱TS）,259,1762,|{'html_url': 'https://github.com/Tencent/puerts', 'avatar_url': 'https://avatars.githubusercontent.com/u/287706896?v=4', 'login': 'puerts'}|
26537135,u-boot,u-boot/u-boot,C,5,"Das U-Boot" Source Tree,1997,1708,|{'html_url': 'https://github.com/u-boot/u-boot', 'avatar_url': 'https://avatars.githubusercontent.com/u/26537135?v=4', 'login': 'u-boot'}|
330008801,SDL,libsdl-org/SDL,C,11,Simple Directmedia Layer,264,1643,|{'html_url': 'https://github.com/libsdl-org/SDL', 'avatar_url': 'https://avatars.githubusercontent.com/u/330008801?v=4', 'login': 'SDL'}|
79501355,c-jwt-cracker,brendan-rius/c-jwt-cracker,C,7,JWT brute force cracker written in C,190,1466,|{'html_url': 'https://github.com/brendan-rius/c-jwt-cracker', 'avatar_url': 'https://avatars.githubusercontent.com/u/79501355?v=4', 'login': 'c-jwt-cracker'}|
194269070,skyline,skyline-emu/skyline,C,1,Run Nintendo Switch homebrew & games on your Android device!,234,1057,|{'html_url': 'https://github.com/skyline-emu/skyline', 'avatar_url': 'https://avatars.githubusercontent.com/u/194269070?v=4', 'login': 'skyline'}|
247875738,oot,zeldaret/oot,C,7,Decompilation of The Legend of Zelda: Ocarina of Time,140,755,|{'html_url': 'https://github.com/zeldaret/oot', 'avatar_url': 'https://avatars.githubusercontent.com/u/247875738?v=4', 'login': 'oot'}|
