id,name,lang,new stars
29261473,minio/minio,Go,28
74175805,istio/istio,Go,16
13855476,go-gorm/gorm,Go,11
14125254,hashicorp/consul,Go,10
31504491,labstack/echo,Go,8
48003886,tmrts/go-patterns,Go,138
129717717,grafana/loki,Go,10
167596393,derailed/k9s,Go,17
21827146,chrislusf/seaweedfs,Go,66
18858585,mailhog/MailHog,Go,5
201658460,geektutu/7days-golang,Go,19
118105436,golang-migrate/migrate,Go,11
33452903,RichardKnop/machinery,Go,11
86164982,gonum/gonum,Go,2
252813491,projectdiscovery/nuclei,Go,13
87990209,kubernetes/autoscaler,Go,9
246903803,earthly/earthly,Go,13
273132277,moonD4rk/HackBrowserData,Go,8
107600830,aws/aws-lambda-go,Go,1
128089774,storj/storj,Go,2
335952417,sigstore/cosign,Go,6
157554479,meshery/meshery,Go,1
386384568,sniptt-official/ots,Go,375
347554518,XrayR-project/XrayR,Go,3
393771849,TheYkk/git-switcher,Go,17
