id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
45717250,tensorflow,tensorflow/tensorflow,C++,46,An Open Source Machine Learning Framework for Everyone,85312,158158,|{'html_url': 'https://github.com/tensorflow/tensorflow', 'avatar_url': 'https://avatars.githubusercontent.com/u/45717250?v=4', 'login': 'tensorflow'}|
54346799,public-apis,public-apis/public-apis,Python,587,A collective list of free APIs,17031,147060,|{'html_url': 'https://github.com/public-apis/public-apis', 'avatar_url': 'https://avatars.githubusercontent.com/u/54346799?v=4', 'login': 'public-apis'}|
132464395,JavaGuide,Snailclimb/JavaGuide,Java,125,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,37403,108983,|{'html_url': 'https://github.com/Snailclimb/JavaGuide', 'avatar_url': 'https://avatars.githubusercontent.com/u/132464395?v=4', 'login': 'JavaGuide'}|
23357588,protobuf,protocolbuffers/protobuf,C++,50,Protocol Buffers - Google's data interchange format,13078,49903,|{'html_url': 'https://github.com/protocolbuffers/protobuf', 'avatar_url': 'https://avatars.githubusercontent.com/u/23357588?v=4', 'login': 'protobuf'}|
155220641,transformers,huggingface/transformers,Python,204,|🤗 Transformers: State-of-the-art Natural Language Processing for Pytorch, TensorFlow, and JAX.|,11824,49812,|{'html_url': 'https://github.com/huggingface/transformers', 'avatar_url': 'https://avatars.githubusercontent.com/u/155220641?v=4', 'login': 'transformers'}|
43441403,strapi,strapi/strapi,JavaScript,37,🚀 Open source Node.js Headless CMS to easily build customisable APIs,4663,38273,|{'html_url': 'https://github.com/strapi/strapi', 'avatar_url': 'https://avatars.githubusercontent.com/u/43441403?v=4', 'login': 'strapi'}|
206462776,GitHub-Chinese-Top-Charts,kon9chunkit/GitHub-Chinese-Top-Charts,Java,64,:cn: GitHub中文排行榜，帮助你发现高分优秀中文项目、更高效地吸收国人的优秀经验成果；榜单每周更新一次，敬请关注！,5279,37145,|{'html_url': 'https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts', 'avatar_url': 'https://avatars.githubusercontent.com/u/206462776?v=4', 'login': 'GitHub-Chinese-Top-Charts'}|
71948498,localstack,localstack/localstack,Python,30,💻  A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline!,2567,32005,|{'html_url': 'https://github.com/localstack/localstack', 'avatar_url': 'https://avatars.githubusercontent.com/u/71948498?v=4', 'login': 'localstack'}|
48003886,go-patterns,tmrts/go-patterns,Go,49,|Curated list of Go design patterns, recipes and idioms|,1525,16348,|{'html_url': 'https://github.com/tmrts/go-patterns', 'avatar_url': 'https://avatars.githubusercontent.com/u/48003886?v=4', 'login': 'go-patterns'}|
262296122,PaddleOCR,PaddlePaddle/PaddleOCR,Python,241,|Awesome multilingual OCR toolkits based on PaddlePaddle （practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices）|,2970,14248,|{'html_url': 'https://github.com/PaddlePaddle/PaddleOCR', 'avatar_url': 'https://avatars.githubusercontent.com/u/262296122?v=4', 'login': 'PaddleOCR'}|
344192338,IoT-For-Beginners,microsoft/IoT-For-Beginners,C++,54,|12 Weeks, 24 Lessons, IoT for All!|,645,6797,|{'html_url': 'https://github.com/microsoft/IoT-For-Beginners', 'avatar_url': 'https://avatars.githubusercontent.com/u/344192338?v=4', 'login': 'IoT-For-Beginners'}|
42858285,linux-insides-zh,MintCN/linux-insides-zh,,21,Linux 内核揭秘,797,4543,|{'html_url': 'https://github.com/MintCN/linux-insides-zh', 'avatar_url': 'https://avatars.githubusercontent.com/u/42858285?v=4', 'login': 'linux-insides-zh'}|
355959597,textual,willmcgugan/textual,Python,412,Textual is a TUI (Text User Interface) framework for Python inspired by modern web development.,70,3480,|{'html_url': 'https://github.com/willmcgugan/textual', 'avatar_url': 'https://avatars.githubusercontent.com/u/355959597?v=4', 'login': 'textual'}|
369706166,AirCash,Aircoin-official/AirCash,,245,Cash system for AIR.,577,2514,|{'html_url': 'https://github.com/Aircoin-official/AirCash', 'avatar_url': 'https://avatars.githubusercontent.com/u/369706166?v=4', 'login': 'AirCash'}|
246183538,Practical-Ethical-Hacking-Resources,TCM-Course-Resources/Practical-Ethical-Hacking-Resources,Python,242,Compilation of Resources from TCM's Practical Ethical Hacking Udemy Course ,565,2341,|{'html_url': 'https://github.com/TCM-Course-Resources/Practical-Ethical-Hacking-Resources', 'avatar_url': 'https://avatars.githubusercontent.com/u/246183538?v=4', 'login': 'Practical-Ethical-Hacking-Resources'}|
161886347,system_architect,xxlllq/system_architect,HTML,7,:100:高质量、最全面、完全免费的系统架构设计师（软考高级）备考资源库。QQ群：系统架构设计师（④群：910582038），系统分析师（②群：699260558），信息系统项目管理师（217144315），纯备考群，非培训群。,727,1734,|{'html_url': 'https://github.com/xxlllq/system_architect', 'avatar_url': 'https://avatars.githubusercontent.com/u/161886347?v=4', 'login': 'system_architect'}|
367571115,hora,hora-search/hora,Rust,275,🚀  efficient approximate nearest neighbor search algorithm collections library written in Rust 🦀 . ,24,1599,|{'html_url': 'https://github.com/hora-search/hora', 'avatar_url': 'https://avatars.githubusercontent.com/u/367571115?v=4', 'login': 'hora'}|
380191749,ML-YouTube-Courses,dair-ai/ML-YouTube-Courses,,61,A repository to index and organize the latest machine learning courses found on YouTube.,115,1462,|{'html_url': 'https://github.com/dair-ai/ML-YouTube-Courses', 'avatar_url': 'https://avatars.githubusercontent.com/u/380191749?v=4', 'login': 'ML-YouTube-Courses'}|
290373467,flat,netless-io/flat,TypeScript,155,|Project flat is the Web, Windows and macOS client of Agora Flat open source classroom.|,163,1248,|{'html_url': 'https://github.com/netless-io/flat', 'avatar_url': 'https://avatars.githubusercontent.com/u/290373467?v=4', 'login': 'flat'}|
386384568,ots,sniptt-official/ots,Go,354,🔐 Share end-to-end encrypted secrets with others via a one-time URL,31,1034,|{'html_url': 'https://github.com/sniptt-official/ots', 'avatar_url': 'https://avatars.githubusercontent.com/u/386384568?v=4', 'login': 'ots'}|
387930408,gctoolkit,microsoft/gctoolkit,Java,144,Tool for parsing GC logs,75,775,|{'html_url': 'https://github.com/microsoft/gctoolkit', 'avatar_url': 'https://avatars.githubusercontent.com/u/387930408?v=4', 'login': 'gctoolkit'}|
392609591,PlayCover,Letscoder/PlayCover,Objective-C,96,|PlayCover is a project that allows you to sideload iOS apps on macOS( currently arm, Intel support will be tested.|,18,371,|{'html_url': 'https://github.com/Letscoder/PlayCover', 'avatar_url': 'https://avatars.githubusercontent.com/u/392609591?v=4', 'login': 'PlayCover'}|
362086263,essential-cardano,input-output-hk/essential-cardano,,9,Repository for the Essential Cardano list,78,278,|{'html_url': 'https://github.com/input-output-hk/essential-cardano', 'avatar_url': 'https://avatars.githubusercontent.com/u/362086263?v=4', 'login': 'essential-cardano'}|
394126104,PaintTransformer,Huage001/PaintTransformer,,35,|Homepage of paper: Paint Transformer: Feed Forward Neural Painting with Stroke Prediction, ICCV 2021. |,29,228,|{'html_url': 'https://github.com/Huage001/PaintTransformer', 'avatar_url': 'https://avatars.githubusercontent.com/u/394126104?v=4', 'login': 'PaintTransformer'}|
394401579,MPFA,juju2013/MPFA,Python,8,Make your Pass (sanitaire) Fun Again,0,50,|{'html_url': 'https://github.com/juju2013/MPFA', 'avatar_url': 'https://avatars.githubusercontent.com/u/394401579?v=4', 'login': 'MPFA'}|
