id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
2561582,animate.css,animate-css/animate.css,CSS,6,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,15966,72851,https://avatars.githubusercontent.com/u/64791939?v=4
1700621,normalize.css,necolas/normalize.css,CSS,11,A modern alternative to CSS resets,10404,46014,https://avatars.githubusercontent.com/u/239676?u=bc5384b5b8e480d93c83ea4b99e3ff239f3564fd&v=4
50264296,bulma,jgthms/bulma,CSS,4,Modern CSS framework based on Flexbox,3823,44672,https://avatars.githubusercontent.com/u/1254808?u=1d9df343bac6f57e7bff85f0074aac2de34f5dcc&v=4
27382163,hexo-theme-next,iissnan/hexo-theme-next,CSS,1,Elegant theme for Hexo. ,3804,15735,https://avatars.githubusercontent.com/u/32269?u=bc87ba0bdb74e01394e9ff7d289e7b5c79a78aeb&v=4
68592809,iCSS,chokcoco/iCSS,CSS,6,不止于 CSS,1195,11466,https://avatars.githubusercontent.com/u/8554143?u=c322501aeb96b3f90f504512d501830b70894eae&v=4
313330998,50projects50days,bradtraversy/50projects50days,CSS,28,"50+ mini web projects using HTML, CSS & JS",2750,10022,https://avatars.githubusercontent.com/u/5550850?u=819e4404506d906d5113cc352b560fcfd242cce3&v=4
49767244,primeng,primefaces/primeng,CSS,2,The Most Complete Angular UI Component Library,3615,7156,https://avatars.githubusercontent.com/u/3494069?v=4
42845822,interpy-zh,eastlakeside/interpy-zh,CSS,0,📘《Python进阶》（Intermediate Python 中文版）,1337,5944,https://avatars.githubusercontent.com/u/1326896?v=4
278336125,macOS_Big_Sur_icons_replacements,elrumo/macOS_Big_Sur_icons_replacements,CSS,0,Replacement icons for popular apps in the style of macOS Big Sur,219,3582,https://avatars.githubusercontent.com/u/36299870?u=726c0d1b1e938bc81f5036ea3ab34569611999af&v=4
234033679,the-economist-ebooks,hehonghui/the-economist-ebooks,CSS,18,"经济学人(含音频)、纽约客、自然、新科学人、卫报、科学美国人、连线、大西洋月刊、新闻周刊、国家地理等英语杂志免费下载、订阅(kindle推送),支持epub、mobi、pdf格式, 每周更新. The Economist 、The New Yorker 、Nature、The Atlantic 、New Scientist、The Guardian、Scientific American、Wired、Newsweek magazines, free download and subscription for kindle, mobi、epub、pdf format. ",598,3279,https://avatars.githubusercontent.com/u/1683811?u=4fdd12c8f8685ef1ce1b9d798bfbd6f86bd4b397&v=4
204008310,spicetify-themes,morpheusthewhite/spicetify-themes,CSS,5,A community-driven collection of themes for customizing Spotify through Spicetify (https://github.com/khanhas/spicetify-cli),1015,2974,https://avatars.githubusercontent.com/u/36999173?u=cd358b4b662a596516528b0e9ad47c6bbc29ca85&v=4
141040549,seeker,thewhiteh4t/seeker,CSS,4,Accurately Locate Smartphones using Social Engineering ,923,2679,https://avatars.githubusercontent.com/u/36354846?u=99d06a9237c301569774dac1c70218d5c032773a&v=4
222361926,javascript-basic-projects,john-smilga/javascript-basic-projects,CSS,3,,1779,1663,https://avatars.githubusercontent.com/u/42133389?u=9d63b6d71fba139347cddf2c840a858c8ff97168&v=4
329751286,youtube,safak/youtube,CSS,9,,1439,1353,https://avatars.githubusercontent.com/u/1486366?u=c367d218a8cf89ad09c3dbfb3c7ad7a929142f20&v=4
39415880,gatsby-starter-default,gatsbyjs/gatsby-starter-default,CSS,0,The default Gatsby starter,902,1271,https://avatars.githubusercontent.com/u/12551863?v=4
157951263,Mojave-gtk-theme,vinceliuice/Mojave-gtk-theme,CSS,4,"Mojave is a macos Mojave like theme for GTK 3, GTK 2 and Gnome-Shell",252,1268,https://avatars.githubusercontent.com/u/7604295?u=f7c06972e1f9eeb6085d367ad1376621c2d5402d&v=4
152362557,Nordic,EliverLara/Nordic,CSS,4,:snowflake: Dark Gtk3.20+ theme created using the awesome Nord color pallete.,62,1068,https://avatars.githubusercontent.com/u/9838260?u=c9e26942a49940d0b2b6335a2bdef4a9962a846b&v=4
245448620,whatsapp-phishing,Ignitetch/whatsapp-phishing,CSS,2,the best tool for whatsapp-phishing with otp provider ..,88,279,https://avatars.githubusercontent.com/u/55870659?u=e1d7202f3cc72cceee169e1f986e2046840901f9&v=4
22116780,ioBroker.js-controller,ioBroker/ioBroker.js-controller,CSS,0,ioBroker controller,53,255,https://avatars.githubusercontent.com/u/7231148?v=4
430349698,fingernft,fingerchar/fingernft,CSS,48,FingerNFT是一款开源NFT市场，兼容Opensea、Rarible。,42,141,https://avatars.githubusercontent.com/u/94362451?u=7643bf0fa5e4ffc8dcf4c52a0500260dc42da1ee&v=4
407493349,Graphite-gtk-theme,vinceliuice/Graphite-gtk-theme,CSS,6,Graphite gtk theme,3,72,https://avatars.githubusercontent.com/u/7604295?u=f7c06972e1f9eeb6085d367ad1376621c2d5402d&v=4
380532998,OG-Steam-Library,ungstein/OG-Steam-Library,CSS,0,Library theme for use with OG-Steam,2,50,https://avatars.githubusercontent.com/u/73730003?u=8eb042bb3be37658b3bbc806c557480359dadadf&v=4
180602287,react-homework,goitacademy/react-homework,CSS,0,,166,44,https://avatars.githubusercontent.com/u/46345815?v=4
431911773,learn-grid-the-easy-way,kevin-powell/learn-grid-the-easy-way,CSS,4,,16,18,https://avatars.githubusercontent.com/u/25749407?u=af8c3b9b1bce3330cf40a772238c6464031dee1f&v=4
133870474,powershell-sdk-samples,MicrosoftDocs/powershell-sdk-samples,CSS,0,Sample code from the PowerShell SDK,7,9,https://avatars.githubusercontent.com/u/22479449?v=4
