id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
45717250,tensorflow,tensorflow/tensorflow,C++,33,An Open Source Machine Learning Framework for Everyone,86839,165493,https://avatars.githubusercontent.com/u/15658638?v=4
9384267,electron,electron/electron,C++,27,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",13575,102008,https://avatars.githubusercontent.com/u/13409222?v=4
22067521,imgui,ocornut/imgui,C++,49,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,6787,38941,https://avatars.githubusercontent.com/u/8225057?u=01bf929efb697d8ff49effc3b08ea180b54f5564&v=4
27729880,grpc,grpc/grpc,C++,16,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",9131,34549,https://avatars.githubusercontent.com/u/7802525?v=4
60246359,ClickHouse,ClickHouse/ClickHouse,C++,18,ClickHouse® is a free analytics DBMS for big data,4804,24004,https://avatars.githubusercontent.com/u/54801242?v=4
4524181,folly,facebook/folly,C++,9,An open-source C++ library developed and used at Facebook.,4649,21948,https://avatars.githubusercontent.com/u/69631?v=4
108110,mongo,mongodb/mongo,C++,10,The MongoDB Database,5234,21767,https://avatars.githubusercontent.com/u/45120?v=4
96246170,apollo,ApolloAuto/apollo,C++,11,An open autonomous driving platform,8478,20870,https://avatars.githubusercontent.com/u/28768304?v=4
5133949,swoole-src,swoole/swoole-src,C++,12,🚀 Coroutine-based concurrency library for PHP,3194,17439,https://avatars.githubusercontent.com/u/8121270?v=4
2200856,Marlin,MarlinFirmware/Marlin,C++,20,Marlin is an optimized firmware for RepRap 3D printers based on the Arduino platform. | Many commercial 3D printers come with Marlin installed. Check with your vendor if you need source code for your specific machine.,16805,13315,https://avatars.githubusercontent.com/u/10418365?v=4
204593825,STL,microsoft/STL,C++,10,MSVC's implementation of the C++ Standard Library.,1126,7847,https://avatars.githubusercontent.com/u/6154722?v=4
12756992,opencv_contrib,opencv/opencv_contrib,C++,6,Repository for OpenCV's extra modules,5389,7520,https://avatars.githubusercontent.com/u/5009934?v=4
156939672,onnxruntime,microsoft/onnxruntime,C++,13,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",1610,6863,https://avatars.githubusercontent.com/u/6154722?v=4
86897963,ZLMediaKit,ZLMediaKit/ZLMediaKit,C++,13,WebRTC/RTSP/RTMP/HTTP/HLS/HTTP-FLV/WebSocket-FLV/HTTP-TS/HTTP-fMP4/WebSocket-TS/WebSocket-fMP4/GB28181 server and client framework based on C++11,1847,6652,https://avatars.githubusercontent.com/u/84565724?v=4
184657328,TensorRT,NVIDIA/TensorRT,C++,9,TensorRT is a C++ library for high performance inference on NVIDIA GPUs and deep learning accelerators.,1384,5413,https://avatars.githubusercontent.com/u/1728152?v=4
103626963,Cpp_Primer_Practice,applenob/Cpp_Primer_Practice,C++,43,搞定C++:punch:。C++ Primer 中文版第5版学习仓库，包括笔记和课后练习答案。,1255,4285,https://avatars.githubusercontent.com/u/5762816?u=94201d9241c9ec05b2eab6512e307d7b49bcbb81&v=4
244694174,connectedhomeip,project-chip/connectedhomeip,C++,24,"Matter (formerly Project CHIP) is creating more connections between more objects, simplifying development for manufacturers and increasing compatibility for consumers,  guided by the Connectivity Standards Alliance (formerly Zigbee Alliance).",830,3812,https://avatars.githubusercontent.com/u/61027988?v=4
33100064,yaml-cpp,jbeder/yaml-cpp,C++,8,A YAML parser and emitter in C++,1281,3371,https://avatars.githubusercontent.com/u/1059334?u=c1a1d6555522380d9c818e51048f24b29c3dae09&v=4
20293077,kalibr,ethz-asl/kalibr,C++,3,The Kalibr visual-inertial calibration toolbox,1087,2718,https://avatars.githubusercontent.com/u/475362?v=4
206791328,highway,google/highway,C++,161,"Performance-portable, length-agnostic SIMD with runtime dispatch",95,1530,https://avatars.githubusercontent.com/u/1342004?v=4
2408045,pycdc,zrax/pycdc,C++,5,C++ python bytecode disassembler and decompiler,303,1308,https://avatars.githubusercontent.com/u/714191?v=4
467157951,FileCentipede,filecxx/FileCentipede,C++,45,"Cross-platform internet download manager for HTTP(S), FTP(S), magnet-link, BitTorrent, ed2k, and online videos",112,1114,https://avatars.githubusercontent.com/u/100348948?u=d8563d779bdb796b1ad7ba640313a8da4c2c354a&v=4
497617084,Nidhogg,Idov31/Nidhogg,C++,36,Nidhogg is an all-in-one simple to use rootkit for red teams.,35,234,https://avatars.githubusercontent.com/u/62358580?u=09aa54c890f6f7ce491b48351fe2463baf9ed7e7&v=4
491862462,SoftGLRender,keith2018/SoftGLRender,C++,21,Tiny C++ Software Renderer / Rasterizer,31,197,https://avatars.githubusercontent.com/u/23111762?u=3e2e530b58b0f692228b33eb15018bae52c7c658&v=4
