id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
2325298,linux,torvalds/linux,C,71,Linux kernel source tree,43829,135096,https://avatars.githubusercontent.com/u/1024025?v=4
10446890,ijkplayer,bilibili/ijkplayer,C,9,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.",7836,30583,https://avatars.githubusercontent.com/u/12002442?v=4
14812739,libuv,libuv/libuv,C,9,Cross-platform asynchronous I/O,3174,19781,https://avatars.githubusercontent.com/u/4030929?v=4
196353673,TDengine,taosdata/TDengine,C,2,"An open-source time-series database with high-performance, scalability and SQL support. It can be widely used in IoT, Connected Vehicles, DevOps, Energy, Finance and other fields.",4423,18678,https://avatars.githubusercontent.com/u/48876650?v=4
1856976,libevent,libevent/libevent,C,6,Event notification library,3072,8993,https://avatars.githubusercontent.com/u/833750?v=4
70127218,arduino-esp32,espressif/arduino-esp32,C,6,Arduino core for the ESP32,5725,8975,https://avatars.githubusercontent.com/u/9460735?v=4
65899476,esp-idf,espressif/esp-idf,C,7,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,5605,8804,https://avatars.githubusercontent.com/u/9460735?v=4
5383731,qemu,qemu/qemu,C,10,Official QEMU mirror. Please see http://wiki.qemu.org/Contribute/SubmitAPatch for how to submit changes to QEMU. Pull Requests are ignored. Please only use release tarballs from the QEMU website.,4097,6452,https://avatars.githubusercontent.com/u/2137033?v=4
59771425,zephyr,zephyrproject-rtos/zephyr,C,6,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",3996,6360,https://avatars.githubusercontent.com/u/19595895?v=4
5870069,librdkafka,edenhill/librdkafka,C,1,The Apache Kafka C/C++ library,2771,6090,https://avatars.githubusercontent.com/u/524990?v=4
214011414,WindTerm,kingToolbox/WindTerm,C,73,A professional cross-platform SSH/Sftp/Shell/Telnet/Serial terminal.,422,5800,https://avatars.githubusercontent.com/u/51009775?v=4
200321698,chibicc,rui314/chibicc,C,9,A small C compiler,517,5600,https://avatars.githubusercontent.com/u/47400?v=4
44781140,gpdb,greenplum-db/gpdb,C,1,"Greenplum Database - Massively Parallel PostgreSQL for Analytics. An open-source massively parallel data platform for analytics, machine learning and AI.",1497,5289,https://avatars.githubusercontent.com/u/14097842?v=4
469303019,ecapture,ehids/ecapture,C,9,"capture SSL/TLS text content without CA cert using eBPF. supports Linux x86_64/Aarch64, Android(GKI) Aarch64.",445,4034,https://avatars.githubusercontent.com/u/95527736?v=4
58132544,RediSearch,RediSearch/RediSearch,C,4,"A query and indexing engine for Redis, providing secondary indexing, full-text search, and aggregations. ",401,3839,https://avatars.githubusercontent.com/u/46899501?v=4
27359183,GmSSL,guanzhi/GmSSL,C,22,支持国密SM2/SM3/SM4/SM9/SSL的密码工具箱,1240,3231,https://avatars.githubusercontent.com/u/1787781?u=c71c577b7da3afe39a461344fdca316d82f91735&v=4
128909919,gamemode,FeralInteractive/gamemode,C,21,Optimise Linux system performance on demand,157,3161,https://avatars.githubusercontent.com/u/9704713?v=4
34807561,nanopb,nanopb/nanopb,C,3,Protocol Buffers with small code size,658,2991,https://avatars.githubusercontent.com/u/12173937?v=4
11233590,coreutils,coreutils/coreutils,C,4,upstream mirror,732,2958,https://avatars.githubusercontent.com/u/4958508?v=4
1335680,blackmagic,blackmagic-debug/blackmagic,C,3,In application debugger for ARM Cortex microcontrollers.,594,2031,https://avatars.githubusercontent.com/u/8303676?v=4
24798763,printf,mpaland/printf,C,3,"Tiny, fast, non-dependent and fully loaded printf implementation for embedded systems. Extensive test suite passing.",342,1786,https://avatars.githubusercontent.com/u/763140?u=4ec2117d0cc17bfa563ef37788a76222308310ce&v=4
473137633,tetragon,cilium/tetragon,C,6,eBPF-based Security Observability and Runtime Enforcement,114,1629,https://avatars.githubusercontent.com/u/21054566?v=4
28928522,wolfssl,wolfSSL/wolfssl,C,2,"The wolfSSL library is a small, fast, portable implementation of TLS/SSL for embedded devices to the cloud.  wolfSSL supports up to TLS 1.3!",597,1599,https://avatars.githubusercontent.com/u/5891092?v=4
51990771,CMSIS_5,ARM-software/CMSIS_5,C,4,CMSIS Version 5 Development Repository,965,609,https://avatars.githubusercontent.com/u/5690313?v=4
403314395,1337-Piscine-42,48d31kh413k/1337-Piscine-42,C,5,June Piscine 2021 from 1337 Benguerir 42 Network.,55,123,https://avatars.githubusercontent.com/u/65833007?u=9be65d007cd7391e8ba5e099e47644a3aa9d918e&v=4
