id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
33614304,thefuck,nvbn/thefuck,Python,27,Magnificent app which corrects your previous console command.,3243,73085,https://avatars.githubusercontent.com/u/1114542?v=4
58028038,HelloGitHub,521xueweihan/HelloGitHub,Python,49,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",8018,58764,https://avatars.githubusercontent.com/u/8255800?u=2024c0f3979fd65c8aab945856eae0852f1186f6&v=4
162723104,CheatSheetSeries,OWASP/CheatSheetSeries,Python,18,The OWASP Cheat Sheet Series was created to provide a concise collection of high value information on specific application security topics.,3087,21485,https://avatars.githubusercontent.com/u/155815?v=4
80990461,ML-From-Scratch,eriklindernoren/ML-From-Scratch,Python,29,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,4207,21410,https://avatars.githubusercontent.com/u/7977505?u=60e0b8ce77d2017799199f025134abbfae11a137&v=4
123303402,poetry,python-poetry/poetry,Python,75,Python dependency management and packaging made easy.,1725,21213,https://avatars.githubusercontent.com/u/48722593?v=4
168799526,pytorch-image-models,rwightman/pytorch-image-models,Python,27,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision Transformer, MixNet, MobileNet-V3/V2, RegNet, DPN, CSPNet, and more",3399,20637,https://avatars.githubusercontent.com/u/5702664?u=df4f0a66cd454d176039c595bb197c7fcecfd8ba&v=4
240315046,jina,jina-ai/jina,Python,16,🔮 Build cross-modal and multimodal applications on the cloud · Neural Search · Creative AI · Cloud Native · MLOps ,1962,15856,https://avatars.githubusercontent.com/u/60539444?v=4
192640529,label-studio,heartexlabs/label-studio,Python,23,Label Studio is a multi-type data labeling and annotation tool with standardized output format,1196,10392,https://avatars.githubusercontent.com/u/48309720?v=4
162405963,gradio,gradio-app/gradio,Python,70,Create UIs for your machine learning model in Python in 3 minutes,545,8751,https://avatars.githubusercontent.com/u/51063788?v=4
70746484,tvm,apache/tvm,Python,10,"Open deep learning compiler stack for cpu, gpu and specialized accelerators",2672,8504,https://avatars.githubusercontent.com/u/47359?v=4
162672577,PaddleHub,PaddlePaddle/PaddleHub,Python,22,"Awesome pre-trained models toolkit based on PaddlePaddle. (400+ models including Image, Text, Audio, Video and Cross-Modal with Easy Inference & Serving)",1697,8375,https://avatars.githubusercontent.com/u/23534030?v=4
399495186,sqlmodel,tiangolo/sqlmodel,Python,71,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",357,8311,https://avatars.githubusercontent.com/u/1326112?u=740f11212a731f56798f558ceddb0bd07642afa7&v=4
122758193,video2x,k4yt3x/video2x,Python,105,"A lossless video/GIF/image upscaler achieved with waifu2x, Anime4K, SRMD and RealSR. Started in Hack the Valley 2, 2018.",540,5043,https://avatars.githubusercontent.com/u/21986859?u=58a2817b46138b45ee4065de0ac129a7fbbd9237&v=4
200722670,NeMo,NVIDIA/NeMo,Python,6,NeMo: a toolkit for conversational AI,1138,4649,https://avatars.githubusercontent.com/u/1728152?v=4
155376283,ScoutSuite,nccgroup/ScoutSuite,Python,4,Multi-Cloud Security Auditing Tool,728,4580,https://avatars.githubusercontent.com/u/4067082?v=4
51567632,CtCI-6th-Edition-Python,careercup/CtCI-6th-Edition-Python,Python,7,Cracking the Coding Interview 6th Ed. Python Solutions,1654,4189,https://avatars.githubusercontent.com/u/672206?v=4
392603437,nas-tools,jxxghp/nas-tools,Python,49,NAS媒体库资源归集、整理自动化工具,343,2422,https://avatars.githubusercontent.com/u/51039935?u=18c1e26169a7f62e43f665926750ef152e8ab11a&v=4
162015573,Github-Ranking,EvanLi/Github-Ranking,Python,107,:star:Github Ranking:star: Github stars and forks ranking list. Github Top100 stars list of different languages. Automatically update daily. | Github仓库排名，每日自动更新,180,1520,https://avatars.githubusercontent.com/u/22617117?u=bfff82da9e47e681971b8292c64028b5c2050611&v=4
528378201,stable-diffusion-webui,hlky/stable-diffusion-webui,Python,168,Stable Diffusion web UI,135,1403,https://avatars.githubusercontent.com/u/106811348?u=4d25ae1a16ffe718ced2297c89df4b4c3ef8bd22&v=4
256518683,ppscore,8080labs/ppscore,Python,11,Predictive Power Score (PPS) in Python,126,864,https://avatars.githubusercontent.com/u/53511097?u=9d3a1e2867647deeac910b5db64fc75caefbd6ed&v=4
528167656,stable_diffusion.openvino,bes-dev/stable_diffusion.openvino,Python,139,,63,643,https://avatars.githubusercontent.com/u/3617413?u=4d8f927a8f7d36444c0d6b026a2fda45b34166d5&v=4
476918521,EasyCV,alibaba/EasyCV,Python,31,An all-in-one toolkit for computer vision,55,444,https://avatars.githubusercontent.com/u/1961952?v=4
515803807,BlockNeRFPytorch,dvlab-research/BlockNeRFPytorch,Python,2,1. Weekly classified NeRF literature. 2. Non-official implementation of Block-NeRF and Mega-NeRF in Pytorch. 3. Train your large-scale NeRF in the wild.,14,362,https://avatars.githubusercontent.com/u/64006090?v=4
527826544,ntchat,smallevilbeast/ntchat,Python,66,"微信SDK, Python微信机器人SDK, Python微信WebApi接口",16,170,https://avatars.githubusercontent.com/u/1271747?u=edc229126332fe88528085b3b6f7053f2c056536&v=4
525292055,DescomplicandoPrometheus,badtuxx/DescomplicandoPrometheus,Python,14,Repositório do treinamento Descomplicando o Prometheus da LINUXtips,24,159,https://avatars.githubusercontent.com/u/4606725?u=d21ee43d3eabc6cff5b289f537481eacd6657691&v=4
