id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
83222441,system-design-primer,donnemartin/system-design-primer,Python,219,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,35314,195881,https://avatars.githubusercontent.com/u/5458997?u=f1007b583e55e7ccfb6ccf0e200051156112dd9b&v=4
21289110,awesome-python,vinta/awesome-python,Python,248,"A curated list of awesome Python frameworks, libraries, software and resources",21831,140790,https://avatars.githubusercontent.com/u/652070?u=95b472a9a11b64ee0f74512ad918d762d42c213c&v=4
112507086,30-seconds-of-code,30-seconds/30-seconds-of-code,JavaScript,176,Short JavaScript code snippets for all your development needs,10683,102358,https://avatars.githubusercontent.com/u/43479428?v=4
184456251,PowerToys,microsoft/PowerToys,C#,254,Windows system utilities to maximize productivity,4413,77540,https://avatars.githubusercontent.com/u/6154722?v=4
88011908,project-based-learning,practical-tutorials/project-based-learning,,257,Curated list of project-based tutorials,11169,76941,https://avatars.githubusercontent.com/u/89421154?v=4
31629751,cypress,cypress-io/cypress,JavaScript,17,"Fast, easy and reliable testing for anything that runs in a browser.",2523,40385,https://avatars.githubusercontent.com/u/8908513?v=4
348060227,astro,withastro/astro,TypeScript,107,Build faster websites with Astro's next-gen island architecture 🏝✨,894,19227,https://avatars.githubusercontent.com/u/44914786?v=4
222751131,30-Days-Of-Python,Asabeneh/30-Days-Of-Python,Python,42,"30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace. ",3325,14350,https://avatars.githubusercontent.com/u/9008063?u=ec6ff77196b998a4e6b6e3ca1429c524c169c189&v=4
33352201,grpc-gateway,grpc-ecosystem/grpc-gateway,Go,15,gRPC to JSON proxy generator following the gRPC HTTP spec,1846,14039,https://avatars.githubusercontent.com/u/19352526?v=4
162276894,difftastic,Wilfred/difftastic,Rust,476,a structural diff that understands syntax 🟥🟩,172,11955,https://avatars.githubusercontent.com/u/70800?u=97bfa6a7fa68c3f2b653ec599478743a93146ec6&v=4
197515838,kkndme_tianya,shengcaishizhan/kkndme_tianya,,148,天涯 kkndme 神贴聊房价,2332,11044,https://avatars.githubusercontent.com/u/17646957?u=1a53a83adf69252c444023b7c7d2a4a2e945d6e0&v=4
453717720,jsoncrack.com,AykutSarac/jsoncrack.com,TypeScript,500,"🔮 Seamlessly visualize your JSON data instantly into graphs; paste, import or fetch!",420,9683,https://avatars.githubusercontent.com/u/47941171?u=2cdf5d9edfe989f3147011264ef15ed2e705ac0e&v=4
365263843,fresh,denoland/fresh,TypeScript,39,The next-gen web framework.,323,8775,https://avatars.githubusercontent.com/u/42048915?v=4
190416463,runner-images,actions/runner-images,PowerShell,33,GitHub Actions runner images,2315,6541,https://avatars.githubusercontent.com/u/44036562?v=4
265612440,TTS,coqui-ai/TTS,Python,32,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",654,6248,https://avatars.githubusercontent.com/u/75583352?v=4
455229168,immich,immich-app/immich,Dart,425,Self-hosted photo and video backup solution directly from your mobile phone.,131,4259,https://avatars.githubusercontent.com/u/109746326?v=4
501076075,YOLOv6,meituan/YOLOv6,Jupyter Notebook,7,YOLOv6: a single-stage object detection framework dedicated to industrial applications.,571,3887,https://avatars.githubusercontent.com/u/977371?v=4
93381875,SynapseML,microsoft/SynapseML,Scala,110,Simple and Distributed Machine Learning,709,3647,https://avatars.githubusercontent.com/u/6154722?v=4
353775942,notesnook,streetwriters/notesnook,JavaScript,282,A fully open source & end-to-end encrypted note taking alternative to Evernote.,139,2598,https://avatars.githubusercontent.com/u/63662537?v=4
527591471,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,Python,158,Stable Diffusion web UI,118,1298,https://avatars.githubusercontent.com/u/20920490?u=8bdc7c9401f507e51b55e558baa8184d4ed30c7d&v=4
518511266,ParallelsDesktopCrack,somebasj/ParallelsDesktopCrack,Shell,373,Parallels Desktop for mac Crack,287,818,https://avatars.githubusercontent.com/u/110114467?v=4
530646525,quake_watch,MyOwnClone/quake_watch,C,85,Quake 1 game port to Apple Watch,10,497,https://avatars.githubusercontent.com/u/40380?v=4
531351287,appshark,bytedance/appshark,Kotlin,97,,40,427,https://avatars.githubusercontent.com/u/4158466?v=4
493983800,ros-robotics-companies,vmayoral/ros-robotics-companies,Shell,71,A list of robotics companies using the Robot Operating System (ROS and ROS 2). ,33,334,https://avatars.githubusercontent.com/u/1375246?u=8a649aa375c6361eabf491782a6d0529a9d0e40d&v=4
532935306,ShowHiddenChannelsReturns,NotCapengeR/ShowHiddenChannelsReturns,JavaScript,37,"Displays all hidden Channels, which can't be accessed due to Role Restrictions, this won't allow you to read them (impossible) ",12,92,https://avatars.githubusercontent.com/u/90960831?u=ae42787c702b5bcad1b9b30db79932e1e6495420&v=4
