id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
63484632,fastText,facebookresearch/fastText,HTML,3,Library for fast text representation and classification.,4513,23958,https://avatars.githubusercontent.com/u/16943930?v=4
246128823,html-css,gustavoguanabara/html-css,HTML,7,Curso de HTML5 e CSS3,2192,8074,https://avatars.githubusercontent.com/u/8683378?u=01b06a154f04dadaa4e4131497fa2442e6323cbc&v=4
181746158,hyperblog,freddier/hyperblog,HTML,5,Un blog increíble para el curso de Git y Github de Platzi,10866,7367,https://avatars.githubusercontent.com/u/824191?u=b6489963b9bdf24377e1c4dacdf983426c2aaaeb&v=4
53416555,learning-area,mdn/learning-area,HTML,4,Github repo for the MDN Learning Area. ,22117,5311,https://avatars.githubusercontent.com/u/7565578?v=4
215599579,DevOps-Guide,Tikam02/DevOps-Guide,HTML,2, DevOps Guide - Development to Production all configurations with basic notes to debug efficiently.,924,5305,https://avatars.githubusercontent.com/u/10548085?u=353d09c563684f97506a8479a3db095024b398df&v=4
7590028,boost,boostorg/boost,HTML,2,Super-project for modularized Boost,1472,5226,https://avatars.githubusercontent.com/u/3170529?v=4
51478266,website,kubernetes/website,HTML,3,Kubernetes website and documentation repo: ,11746,3459,https://avatars.githubusercontent.com/u/13629408?v=4
114898943,seldon-core,SeldonIO/seldon-core,HTML,2,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models",707,3400,https://avatars.githubusercontent.com/u/10297834?v=4
390399065,flowbite,themesberg/flowbite,HTML,15,The most popular library of interactive UI components built with Tailwind CSS,278,2750,https://avatars.githubusercontent.com/u/52166837?v=4
440078417,free-Web3-resources,FrancescoXX/free-Web3-resources,HTML,22,A list of FREE resources to make Web3 accessible to everyone.,373,2723,https://avatars.githubusercontent.com/u/18360871?u=d331996422d5f23c60e75b010921bd16683c10bc&v=4
31028375,django-DefectDojo,DefectDojo/django-DefectDojo,HTML,1,DefectDojo is a DevSecOps and vulnerability management tool.,1144,2437,https://avatars.githubusercontent.com/u/35606478?v=4
62722937,qcloud-documents,tencentyun/qcloud-documents,HTML,3,腾讯云官方文档,3369,2014,https://avatars.githubusercontent.com/u/12334581?v=4
10009991,rdkit,rdkit/rdkit,HTML,2,The official sources for the RDKit library,700,1789,https://avatars.githubusercontent.com/u/2018047?v=4
347434932,epg,iptv-org/epg,HTML,3,EPG (Electronic Program Guide) for thousands of TV channels collected from different sources,249,793,https://avatars.githubusercontent.com/u/55937028?v=4
397384430,css-exercises,TheOdinProject/css-exercises,HTML,1,,28346,700,https://avatars.githubusercontent.com/u/4441966?v=4
299553180,media-source-extract,Momo707577045/media-source-extract,HTML,8,MediaSource 视频提取教程,274,617,https://avatars.githubusercontent.com/u/12947294?u=ddc9bc93f4ac5c9bb5628a24d8f4d09a4470f450&v=4
250817403,aws-secure-environment-accelerator,aws-samples/aws-secure-environment-accelerator,HTML,1,"The AWS Secure Environment Accelerator is a tool designed to help deploy and operate secure multi-account, multi-region AWS environments on an ongoing basis. The power of the solution is the configuration file which enables the completely automated deployment of customizable architectures within AWS without changing a single line of code.",195,558,https://avatars.githubusercontent.com/u/8931462?v=4
429727891,aquar-home,firemakergk/aquar-home,HTML,30,高度可定制的个人Home页，同时是强大的NAS服务控制台。,18,260,https://avatars.githubusercontent.com/u/5117958?u=4be64a866063ec0d5e3177f6ff4595bb1f8b68a4&v=4
105712642,msteams-docs,MicrosoftDocs/msteams-docs,HTML,0,Source for the Microsoft Teams developer platform documentation.,421,228,https://avatars.githubusercontent.com/u/22479449?v=4
426278488,HTML-CSS,Open-Bootcamp/HTML-CSS,HTML,0,,164,157,https://avatars.githubusercontent.com/u/91798256?v=4
304685597,-HactoberFest2022-For_All_Beginers-,jimmy-byte/-HactoberFest2022-For_All_Beginers-,HTML,6,"Raise Genuine PRs, Your PRs will be accepted, Star This Repo, You aren't allowed to Update README.md",331,116,https://avatars.githubusercontent.com/u/72438702?u=401a77b4a05451a1d720c9018b1806d7674ccd8b&v=4
548527100,BookCase,vishaaal/BookCase,HTML,2,This is a small webpage that allows user to add and showcase their favorite Books! ,91,44,https://avatars.githubusercontent.com/u/69189572?u=7fe0256f3898c98f16f9e5364e539a59ad7318b3&v=4
511668494,Webpage-Maker,biratdatta/Webpage-Maker,HTML,6,Cheat sheet for HTML and CSS,113,42,https://avatars.githubusercontent.com/u/88641794?u=c48294723bd66aac096854b13353b80e9345d429&v=4
544169587,Hacktober2k22,Bhavya1912/Hacktober2k22,HTML,1,This is an open source project ,61,20,https://avatars.githubusercontent.com/u/72131872?u=636e46bf81374c3dbea0b895d5a802f25e139790&v=4
548288361,TourGuide,harshvardhansb/TourGuide,HTML,1,,23,18,https://avatars.githubusercontent.com/u/95876759?u=c76b034792870af18956d15301141d91f46634f9&v=4
