id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
60243197,server,nextcloud/server,PHP,8,"☁️ Nextcloud server, a safe home for all your data",3320,20851,https://avatars.githubusercontent.com/u/19211038?v=4
47495360,koel,koel/koel,PHP,1,🐦 A personal music streaming server that works.,1810,14251,https://avatars.githubusercontent.com/u/20983373?v=4
2699935,PHP_CodeSniffer,squizlabs/PHP_CodeSniffer,PHP,2,PHP_CodeSniffer tokenizes PHP files and detects violations of a defined set of coding standards.,1484,9866,https://avatars.githubusercontent.com/u/997547?v=4
622166,Goutte,FriendsOfPHP/Goutte,PHP,1,"Goutte, a simple PHP Web Scraper",1017,9108,https://avatars.githubusercontent.com/u/5947812?v=4
116389886,SSPanel-Uim,Anankke/SSPanel-Uim,PHP,6,SSPanel V3 魔改再次修改版,3201,7364,https://avatars.githubusercontent.com/u/40639066?v=4
361639,php-file-iterator,sebastianbergmann/php-file-iterator,PHP,7,"FilterIterator implementation that filters files based on a list of suffixes, prefixes, and other exclusion criteria.",47,7129,https://avatars.githubusercontent.com/u/25218?u=01bb70d9be43ded7572eb3862127ff281daa2725&v=4
6763587,PrestaShop,PrestaShop/PrestaShop,PHP,7,PrestaShop is the universal open-source software platform to build your e-commerce solution.,4500,6876,https://avatars.githubusercontent.com/u/2815696?v=4
222873550,crater,crater-invoice/crater,PHP,0,Open Source Invoicing Solution for Individuals & Businesses,1271,6675,https://avatars.githubusercontent.com/u/93989578?v=4
7577612,collections,doctrine/collections,PHP,2,Collections Abstraction Library,174,5653,https://avatars.githubusercontent.com/u/209254?v=4
12204147,mautic,mautic/mautic,PHP,0,Mautic: Open Source Marketing Automation Software.,2055,5547,https://avatars.githubusercontent.com/u/5257677?v=4
119047018,Heimdall,linuxserver/Heimdall,PHP,6,An Application dashboard and launcher,446,5193,https://avatars.githubusercontent.com/u/12324908?v=4
60010673,elementor,elementor/elementor,PHP,16,"The most advanced frontend drag & drop page builder. Create high-end, pixel perfect websites at record speeds. Any theme, any page, any design.",1182,4822,https://avatars.githubusercontent.com/u/47606894?v=4
47508644,panel,pterodactyl/panel,PHP,7,"Pterodactyl® is a free, open-source game server management panel built with PHP, React, and Go. Designed with security in mind, Pterodactyl runs all game servers in isolated Docker containers while exposing a beautiful and intuitive UI to end users.",1144,4450,https://avatars.githubusercontent.com/u/16179146?v=4
2464908,joomla-cms,joomla/joomla-cms,PHP,0,Home of the Joomla! Content Management System,3533,4331,https://avatars.githubusercontent.com/u/751633?v=4
57961433,openmediavault,openmediavault/openmediavault,PHP,3,"openmediavault is the next generation network attached storage (NAS) solution based on Debian Linux. It contains services like SSH, (S)FTP, SMB/CIFS, DAAP media server, RSync, BitTorrent client and many more. Thanks to the modular design of the framework it can be enhanced via plugins.  OpenMediaVault is primarily designed to be used in home environments or small home offices, but is not limited to those scenarios. It is a simple and easy to use out-of-the-box solution that will allow everyone to install and administrate a Network Attached Storage without deeper knowledge.",399,3445,https://avatars.githubusercontent.com/u/1897994?v=4
6495081,mediawiki,wikimedia/mediawiki,PHP,0,🌻 The collaborative editing software that runs Wikipedia. Mirror from https://gerrit.wikimedia.org/g/mediawiki/core. See https://mediawiki.org/wiki/Developer_access for contributing.,1242,3243,https://avatars.githubusercontent.com/u/56668?v=4
69691727,PocketMine-MP,pmmp/PocketMine-MP,PHP,0,A server software for Minecraft: Bedrock Edition in PHP,1637,2942,https://avatars.githubusercontent.com/u/22548559?v=4
14724954,opensourcepos,opensourcepos/opensourcepos,PHP,4,Open Source Point of Sale is a web based point of sale application written in PHP using CodeIgniter framework. It uses MySQL as the data back end and has a Bootstrap 3 based user interface.,1888,2697,https://avatars.githubusercontent.com/u/31845758?v=4
278929867,github-profile-views-counter,antonkomarev/github-profile-views-counter,PHP,4,It counts how many times your GitHub profile has been viewed. Free cloud micro-service.,259,2425,https://avatars.githubusercontent.com/u/1849174?u=408c61601f1d70dd70f258df4d1f491bb42652c8&v=4
679584,openemr,openemr/openemr,PHP,0,The most popular open source electronic health records and medical practice management solution.,1586,2052,https://avatars.githubusercontent.com/u/283089?v=4
75645659,wordpress-develop,WordPress/wordpress-develop,PHP,2,"WordPress Develop, Git-ified. Synced from git://develop.git.wordpress.org/, including branches and tags! This repository is just a mirror of the WordPress subversion repository. Please include a link to a pre-existing ticket on https://core.trac.wordpress.org/ with every pull request.",1578,1718,https://avatars.githubusercontent.com/u/276006?v=4
143703053,IP-Tracer,rajkumardusad/IP-Tracer,PHP,3,Track any ip address with IP-Tracer. IP-Tracer is developed for Linux and Termux. you can retrieve any ip address information using IP-Tracer. ,279,1211,https://avatars.githubusercontent.com/u/32831684?u=0c62ed60ff494a4cbe9c9d68fd45e65d813da979&v=4
433383766,all-in-one,nextcloud/all-in-one,PHP,2,Nextcloud AIO stands for Nextcloud All In One and provides easy deployment and maintenance with most features included in this one Nextcloud instance.,155,1032,https://avatars.githubusercontent.com/u/19211038?v=4
541322916,client,openai-php/client,PHP,8,⚡️ OpenAI PHP is a supercharged PHP API client that allows you to interact with OpenAI API.,36,752,https://avatars.githubusercontent.com/u/114351357?v=4
440520058,open-ai,orhanerday/open-ai,PHP,3,A PHP SDK for accessing the OpenAI GPT-3 API,49,358,https://avatars.githubusercontent.com/u/22305274?u=434aa70bbb950edc7b9dc1b36eade5ec3e30eae3&v=4
