id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
6498492,javascript,airbnb/javascript,JavaScript,47,JavaScript Style Guide,25013,131932,https://avatars.githubusercontent.com/u/698437?v=4
70107786,next.js,vercel/next.js,JavaScript,62,The React Framework,22693,101760,https://avatars.githubusercontent.com/u/14985020?v=4
23088740,axios,axios/axios,JavaScript,17,Promise based HTTP client for the browser and node.js,10217,99023,https://avatars.githubusercontent.com/u/32372333?v=4
364474335,zx,google/zx,JavaScript,74,A tool for writing better scripts,882,36456,https://avatars.githubusercontent.com/u/1342004?v=4
3721224,swiper,nolimits4web/swiper,JavaScript,9,Most modern mobile touch slider with hardware accelerated transitions,9686,34264,https://avatars.githubusercontent.com/u/999588?u=00cb264515ffc319920eb10637bcfe7986eabb52&v=4
18049133,slick,kenwheeler/slick,JavaScript,4,the last carousel you'll ever need,5961,27872,https://avatars.githubusercontent.com/u/286616?u=3af8d510a15cb0fc78f7e7ae6befdd6ebc2c8f2a&v=4
56899284,insomnia,Kong/insomnia,JavaScript,19,"The open-source, cross-platform API client for GraphQL, REST, WebSockets and gRPC.",1438,26874,https://avatars.githubusercontent.com/u/962416?v=4
402046,jsPDF,parallax/jsPDF,JavaScript,7,Client-side JavaScript PDF generation for everyone.,4449,26073,https://avatars.githubusercontent.com/u/320004?v=4
712530,fabric.js,fabricjs/fabric.js,JavaScript,18,"Javascript Canvas Library, SVG-to-Canvas (& canvas-to-SVG) Parser",3225,24143,https://avatars.githubusercontent.com/u/24580162?v=4
2055965,swagger-ui,swagger-api/swagger-ui,JavaScript,14,"Swagger UI is a collection of HTML, JavaScript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API.",8621,23485,https://avatars.githubusercontent.com/u/7658037?v=4
43695474,quasar,quasarframework/quasar,JavaScript,9,Quasar Framework - Build high-performance VueJS user interfaces in record time,3110,22939,https://avatars.githubusercontent.com/u/23064371?v=4
299628763,30-Days-Of-React,Asabeneh/30-Days-Of-React,JavaScript,38,"30 Days of  React challenge is a step by step guide to learn React in 30 days. It requires HTML, CSS, and JavaScript knowledge. You should be comfortable with JavaScript before you start to React.  If you are not comfortable with JavaScript check out 30DaysOfJavaScript. This is a continuation of 30 Days Of JS.  This challenge may take more than 100 days, follow your own pace. ",5139,19472,https://avatars.githubusercontent.com/u/9008063?u=ec6ff77196b998a4e6b6e3ca1429c524c169c189&v=4
264125852,Luckysheet,dream-num/Luckysheet,JavaScript,17,"Luckysheet is an online spreadsheet like excel that is powerful, simple to configure, and completely open source.",1834,13118,https://avatars.githubusercontent.com/u/61444807?v=4
22392639,yjs,yjs/yjs,JavaScript,17,Shared data types for building collaborative software,436,10846,https://avatars.githubusercontent.com/u/45042178?v=4
128636610,zigbee2mqtt,Koenkk/zigbee2mqtt,JavaScript,7,"Zigbee 🐝 to MQTT bridge 🌉, get rid of your proprietary Zigbee bridges 🔨",1429,9368,https://avatars.githubusercontent.com/u/2892853?u=bba54d718dc6d81a73d463bb3f35e403c719b06f&v=4
438514144,wechat-bot,wangrongding/wechat-bot,JavaScript,25,🤖一个基于OpenAi  ChatGPT + WeChaty 实现的微信机器人 ，可以用来帮助你自动回复微信消息，或者管理微信群/好友，检测僵尸粉等...,389,2585,https://avatars.githubusercontent.com/u/42437658?u=ba0cd0abc5cb2b883fcabb4e52c36f6edb67a664&v=4
38255391,cloudsploit,aquasecurity/cloudsploit,JavaScript,1,Cloud Security Posture Management (CSPM),578,2499,https://avatars.githubusercontent.com/u/12783832?v=4
606908544,semana-javascript-expert07,ErickWendel/semana-javascript-expert07,JavaScript,175,JS Expert Week 7.0 - 🙅🤏🏻 Controlling Streaming Platforms using Eye and Hand Detection 👁🖐,483,2150,https://avatars.githubusercontent.com/u/8060102?u=760da5b2df4aee15a706e239ea1d03cbf2f2262c&v=4
586141825,node-chatgpt-api,waylaidwanderer/node-chatgpt-api,JavaScript,47,"A client implementation for ChatGPT and Bing AI. Available as a Node.js module, REST API server, and CLI app.",253,1812,https://avatars.githubusercontent.com/u/2882110?u=b33c73078bd190ec971a857d7454e46e32dc28e3&v=4
450291588,openai-quickstart-node,openai/openai-quickstart-node,JavaScript,46,Node.js example app from the OpenAI API quickstart tutorial,1109,1299,https://avatars.githubusercontent.com/u/14957082?v=4
603668088,bob-plugin-openai-translator,yetone/bob-plugin-openai-translator,JavaScript,515,基于 ChatGPT API 的文本翻译、文本润色、语法纠错 Bob 插件，让我们一起迎接不需要巴别塔的新时代！,44,1160,https://avatars.githubusercontent.com/u/1206493?u=14e88bb74a6088c623eb014da9dabb36d6723584&v=4
48750547,circleci-docs,circleci/circleci-docs,JavaScript,0,Documentation for CircleCI.,1345,710,https://avatars.githubusercontent.com/u/1231870?v=4
202284194,fake-git-history,artiebits/fake-git-history,JavaScript,10,Generate Git commits.,42,420,https://avatars.githubusercontent.com/u/29281882?v=4
588028006,all-freecodecamp-projects,RiyadArgoub/all-freecodecamp-projects,JavaScript,20,A collection of all projects completed for the FreeCodeCamp certifications.,35,35,https://avatars.githubusercontent.com/u/114723450?u=e0e9c2788c0cd1bb009cc6c891cd59c4f2a80347&v=4
607421085,zkp-mooc-lab,rdi-berkeley/zkp-mooc-lab,JavaScript,4,,14,17,https://avatars.githubusercontent.com/u/92318064?v=4
