id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
48378947,frp,fatedier/frp,Go,24,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,11213,65174,https://avatars.githubusercontent.com/u/7346661?u=721c6ac19c725486a09c728572e7aee0460e42c0&v=4
14712850,syncthing,syncthing/syncthing,Go,16,Open Source Continuous File Synchronization,3695,49986,https://avatars.githubusercontent.com/u/7628018?v=4
15452919,go-ethereum,ethereum/go-ethereum,Go,14,Official Go implementation of the Ethereum protocol,16128,41463,https://avatars.githubusercontent.com/u/6250754?v=4
136815833,clash,Dreamacro/clash,Go,57,A rule-based tunnel in Go.,4996,37828,https://avatars.githubusercontent.com/u/8615343?u=327152a798c877f098eaa24ec15448e9e21df323&v=4
72495579,gitea,go-gitea/gitea,Go,12,"Git with a cup of tea, painless self-hosted git service",4461,35126,https://avatars.githubusercontent.com/u/12724356?v=4
119160553,photoprism,photoprism/photoprism,Go,19,AI-Powered Photos App for the Decentralized Web 🌈💎✨,1416,25059,https://avatars.githubusercontent.com/u/32436079?v=4
510607652,pocketbase,pocketbase/pocketbase,Go,21,Open Source realtime backend in 1 file,841,21674,https://avatars.githubusercontent.com/u/101000011?v=4
181461073,v2ray-core,v2fly/v2ray-core,Go,23,A platform for building proxies to bypass network restrictions.,3455,21216,https://avatars.githubusercontent.com/u/49637375?v=4
120227732,fyne,fyne-io/fyne,Go,20,Cross platform GUI in Go inspired by Material Design,1099,19647,https://avatars.githubusercontent.com/u/36045855?v=4
19205896,restic,restic/restic,Go,4,"Fast, secure, efficient backup program",1274,19635,https://avatars.githubusercontent.com/u/10073512?v=4
62712899,AdGuardHome,AdguardTeam/AdGuardHome,Go,12,Network-wide ads & trackers blocking DNS server,1390,16232,https://avatars.githubusercontent.com/u/8361145?v=4
75785240,authelia,authelia/authelia,Go,9,The Single Sign-On Multi-Factor portal for web apps,891,15723,https://avatars.githubusercontent.com/u/59122411?v=4
311315731,Xray-core,XTLS/Xray-core,Go,26,"Xray, Penetrates Everything. Also the best v2ray-core, with XTLS support. Fully compatible configuration.",2031,12416,https://avatars.githubusercontent.com/u/71564206?v=4
154643390,phoneinfoga,sundowndev/phoneinfoga,Go,6,Information gathering framework for phone numbers,2713,9315,https://avatars.githubusercontent.com/u/16480203?u=736dd20996f73fe51ad2ee2c8dc058d9e89c7a69&v=4
291485614,CloudflareSpeedTest,XIU2/CloudflareSpeedTest,Go,25,🌩「自选优选 IP」测试 Cloudflare CDN 延迟和速度，获取最快 IP (IPv4 / IPv6)！另外也支持其他 CDN / 网站 IP ~,2203,8795,https://avatars.githubusercontent.com/u/54703944?u=64dbed38821a648bd00883200ab152b1a77a0327&v=4
336895436,fq,wader/fq,Go,52,"jq for binary formats - tool, language and decoders for working with binary and text formats",142,5644,https://avatars.githubusercontent.com/u/185566?u=3d3221f6b26270d87665a5523f31328f576c5051&v=4
106867604,cloudflared,cloudflare/cloudflared,Go,51,Cloudflare Tunnel client (formerly Argo Tunnel),512,4604,https://avatars.githubusercontent.com/u/314135?v=4
111455867,chainlink,smartcontractkit/chainlink,Go,3,"node of the decentralized oracle network, bridging on and off-chain computation",1264,4288,https://avatars.githubusercontent.com/u/25111032?v=4
52555254,goose,pressly/goose,Go,7,A database migration tool. Supports SQL migrations and Go functions. ,393,3583,https://avatars.githubusercontent.com/u/18835?v=4
48299818,kopia,kopia/kopia,Go,80,"Cross-platform backup tool for Windows, macOS & Linux with fast, incremental backups, client-side end-to-end encryption, compression and data deduplication. CLI and GUI included.",190,3216,https://avatars.githubusercontent.com/u/16365723?v=4
509091576,sing-box,SagerNet/sing-box,Go,17,The universal proxy platform,331,2607,https://avatars.githubusercontent.com/u/83217677?v=4
280658081,domain-list-community,v2fly/domain-list-community,Go,5,Community managed domain list. Generate geosite.dat for V2Ray.,479,2182,https://avatars.githubusercontent.com/u/49637375?v=4
157554479,meshery,meshery/meshery,Go,6,"Meshery, the cloud native manager",877,1843,https://avatars.githubusercontent.com/u/52376019?v=4
286530881,ZeroBot-Plugin,FloatTech/ZeroBot-Plugin,Go,2,基于 ZeroBot 的 OneBot 插件,1033,1735,https://avatars.githubusercontent.com/u/85833883?v=4
594749373,REALITY,XTLS/REALITY,Go,10,THE NEXT FUTURE,51,1171,https://avatars.githubusercontent.com/u/71564206?v=4
