id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
27442967,fastlane,fastlane/fastlane,Ruby,12,🚀 The easiest way to automate building and releasing your iOS and Android apps,5589,38503,https://avatars.githubusercontent.com/u/11098337?v=4
2293158,metasploit-framework,rapid7/metasploit-framework,Ruby,2,Metasploit Framework,13589,32531,https://avatars.githubusercontent.com/u/1013671?v=4
538746,ruby,ruby/ruby,Ruby,0,The Ruby Programming Language,5235,21428,https://avatars.githubusercontent.com/u/210414?v=4
3314,spree,spree/spree,Ruby,2,"Open Source eCommerce platform for global brands. An alternative to Shopify, Salesforce Commerce Cloud, Adobe Commerce etc. 🛒",4891,12599,https://avatars.githubusercontent.com/u/56702?v=4
211588,paper_trail,paper-trail-gem/paper_trail,Ruby,3,Track changes to your rails models,876,6689,https://avatars.githubusercontent.com/u/38986600?v=4
30337170,graphql-ruby,rmosolgo/graphql-ruby,Ruby,0,Ruby implementation of GraphQL ,1350,5322,https://avatars.githubusercontent.com/u/2231765?u=3a7cc7f1a74a605f80bfd6cedda333df6c61a927&v=4
447184,rspec-rails,rspec/rspec-rails,Ruby,2,RSpec for Rails 6+,1012,5093,https://avatars.githubusercontent.com/u/22388?v=4
96071,rack,rack/rack,Ruby,0,A modular Ruby web server interface.,1619,4816,https://avatars.githubusercontent.com/u/42379?v=4
588508856,solid_queue,rails/solid_queue,Ruby,35,Database-backed Active Job backend,62,1337,https://avatars.githubusercontent.com/u/4223?v=4
121513081,charting-library-examples,tradingview/charting-library-examples,Ruby,1,"Examples of Charting Library integrations with other libraries, frameworks and data transports",723,1263,https://avatars.githubusercontent.com/u/7644688?v=4
238983,rspec-mocks,rspec/rspec-mocks,Ruby,0,"RSpec's 'test double' framework, with support for stubbing and mocking",353,1146,https://avatars.githubusercontent.com/u/22388?v=4
644899,ruby-saml,SAML-Toolkits/ruby-saml,Ruby,0,SAML SSO for Ruby,558,885,https://avatars.githubusercontent.com/u/116213842?v=4
3276877,Ceedling,ThrowTheSwitch/Ceedling,Ruby,1,Ruby-based unit testing and build system for C projects,237,552,https://avatars.githubusercontent.com/u/1049138?v=4
