id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
6296790,spring-boot,spring-projects/spring-boot,Java,26,Spring Boot,40573,74658,https://avatars.githubusercontent.com/u/317776?v=4
594155488,Stirling-PDF,Stirling-Tools/Stirling-PDF,Java,96,#1 Locally hosted web application that allows you to perform various operations on PDF files,3450,42905,https://avatars.githubusercontent.com/u/139791695?v=4
159152904,JeecgBoot,jeecgboot/JeecgBoot,Java,17,🔥「企业级低代码平台」前后端分离架构SpringBoot 2.x/3.x，SpringCloud，Ant Design&Vue3，Mybatis，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新的开发模式OnlineCoding->代码生成->手工MERGE，帮助Java项目解决70%重复工作，让开发更关注业务，既能快速提高效率，帮助公司节省成本，同时又不失灵活性。,14726,40161,https://avatars.githubusercontent.com/u/86360035?v=4
44662669,dbeaver,dbeaver/dbeaver,Java,9,Free universal database tool and SQL client,3410,39426,https://avatars.githubusercontent.com/u/34743864?v=4
146633589,arthas,alibaba/arthas,Java,13,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,7450,35444,https://avatars.githubusercontent.com/u/1961952?v=4
332357698,ruoyi-vue-pro,YunaiV/ruoyi-vue-pro,Java,32,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,5716,26908,https://avatars.githubusercontent.com/u/2015545?u=cb494dbc67c9004f32a4535f466e75b9f8702627&v=4
45721011,skywalking,apache/skywalking,Java,8,"APM, Application Performance Monitoring System",6503,23741,https://avatars.githubusercontent.com/u/47359?v=4
149121954,jdk,openjdk/jdk,Java,13,JDK main-line development https://openjdk.org/projects/jdk,5448,19493,https://avatars.githubusercontent.com/u/41768318?v=4
2489216,intellij-community,JetBrains/intellij-community,Java,6,IntelliJ IDEA Community Edition & IntelliJ Platform,5226,17124,https://avatars.githubusercontent.com/u/878437?v=4
65987043,mybatis-plus,baomidou/mybatis-plus,Java,5,An powerful enhanced toolkit of MyBatis for simplify development,4301,16318,https://avatars.githubusercontent.com/u/19258107?v=4
5349565,presto,prestodb/presto,Java,14,The official home of the Presto distributed SQL query engine for big data,5342,15957,https://avatars.githubusercontent.com/u/6882181?v=4
139914932,quarkus,quarkusio/quarkus,Java,5,Quarkus: Supersonic Subatomic Java. ,2638,13614,https://avatars.githubusercontent.com/u/47638783?v=4
173335706,dolphinscheduler,apache/dolphinscheduler,Java,7,Apache DolphinScheduler is the modern data orchestration platform. Agile to create high performance workflow with low-code,4584,12721,https://avatars.githubusercontent.com/u/47359?v=4
113983289,kkFileView,kekingcn/kkFileView,Java,2,Universal File Online Preview Project based on Spring-Boot,2702,10573,https://avatars.githubusercontent.com/u/34474076?v=4
204164353,kestra,kestra-io/kestra,Java,263,Orchestration and automation platform to execute millions of scheduled and event-driven workflows declaratively in code and from the UI,505,8324,https://avatars.githubusercontent.com/u/59033362?v=4
961036,hibernate-orm,hibernate/hibernate-orm,Java,3,Hibernate's core Object/Relational Mapping functionality,3524,5906,https://avatars.githubusercontent.com/u/348262?v=4
206317,camel,apache/camel,Java,2,Apache Camel is an open source integration framework that empowers you to quickly and easily integrate various systems consuming or producing data.,4936,5528,https://avatars.githubusercontent.com/u/47359?v=4
65681319,MusicBot,jagrosh/MusicBot,Java,5,🎶 A Discord music bot that's easy to set up and run yourself!,2526,5245,https://avatars.githubusercontent.com/u/12754382?u=315b7c5410cebfed56df872108307853b31c189c&v=4
11079679,usb-serial-for-android,mik3y/usb-serial-for-android,Java,0,"Android USB host serial driver library for CDC, FTDI, Arduino and other devices.",1585,4843,https://avatars.githubusercontent.com/u/390829?u=3f8aa3ceca4071d7a5be7fa1b25e5b1e7e0d9bed&v=4
656264456,langchain4j,langchain4j/langchain4j,Java,7,Java version of LangChain,895,4548,https://avatars.githubusercontent.com/u/132277850?u=c49c1f31a521cb6019f59bb224cce686fc7dda87&v=4
54298946,camunda,camunda/camunda,Java,13,Process Orchestration Framework,594,3259,https://avatars.githubusercontent.com/u/2443838?v=4
2928948,azure-sdk-for-java,Azure/azure-sdk-for-java,Java,3,This repository is for active development of the Azure SDK for Java. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/java/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-java. ,1971,2321,https://avatars.githubusercontent.com/u/6844498?v=4
21180741,hapi-fhir,hapifhir/hapi-fhir,Java,3,🔥 HAPI FHIR - Java API for HL7 FHIR Clients and Servers,1309,2002,https://avatars.githubusercontent.com/u/23555072?v=4
