id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
38380854,dnSpy,dnSpy/dnSpy,C#,294,.NET debugger and assembly editor,3409,18776,|{'html_url': 'https://github.com/dnSpy/dnSpy', 'avatar_url': 'https://avatars.githubusercontent.com/u/38380854?v=4', 'login': 'dnSpy'}|
1327739,ILSpy,icsharpcode/ILSpy,C#,194,|.NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!|,2564,13185,|{'html_url': 'https://github.com/icsharpcode/ILSpy', 'avatar_url': 'https://avatars.githubusercontent.com/u/1327739?v=4', 'login': 'ILSpy'}|
14964475,Avalonia,AvaloniaUI/Avalonia,C#,204,A cross platform XAML framework for .NET,1056,11755,|{'html_url': 'https://github.com/AvaloniaUI/Avalonia', 'avatar_url': 'https://avatars.githubusercontent.com/u/14964475?v=4', 'login': 'Avalonia'}|
120231691,Ryujinx,Ryujinx/Ryujinx,C#,216,Experimental Nintendo Switch Emulator written in C#,1134,9401,|{'html_url': 'https://github.com/Ryujinx/Ryujinx', 'avatar_url': 'https://avatars.githubusercontent.com/u/120231691?v=4', 'login': 'Ryujinx'}|
374228,RestSharp,restsharp/RestSharp,C#,65,Simple REST and HTTP API Client for .NET,2155,7972,|{'html_url': 'https://github.com/restsharp/RestSharp', 'avatar_url': 'https://avatars.githubusercontent.com/u/374228?v=4', 'login': 'RestSharp'}|
22456440,osu,ppy/osu,C#,256,rhythm is just a *click* away!,1316,7647,|{'html_url': 'https://github.com/ppy/osu', 'avatar_url': 'https://avatars.githubusercontent.com/u/22456440?v=4', 'login': 'osu'}|
75990888,csharplang,dotnet/csharplang,C#,122,The official repo for the design of the C# programming language,792,7331,|{'html_url': 'https://github.com/dotnet/csharplang', 'avatar_url': 'https://avatars.githubusercontent.com/u/75990888?v=4', 'login': 'csharplang'}|
18586705,nopCommerce,nopSolutions/nopCommerce,C#,111,The most popular open-source eCommerce shopping cart solution based on ASP.NET Core,3725,6489,|{'html_url': 'https://github.com/nopSolutions/nopCommerce', 'avatar_url': 'https://avatars.githubusercontent.com/u/18586705?v=4', 'login': 'nopCommerce'}|
22636263,duplicati,duplicati/duplicati,C#,192,Store securely encrypted backups in the cloud!,675,6472,|{'html_url': 'https://github.com/duplicati/duplicati', 'avatar_url': 'https://avatars.githubusercontent.com/u/22636263?v=4', 'login': 'duplicati'}|
8835057,Locale-Emulator,xupefei/Locale-Emulator,C#,133,Yet Another System Region and Language Simulator,562,6252,|{'html_url': 'https://github.com/xupefei/Locale-Emulator', 'avatar_url': 'https://avatars.githubusercontent.com/u/8835057?v=4', 'login': 'Locale-Emulator'}|
165548191,PEASS-ng,carlospolop/PEASS-ng,C#,263,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors),1480,6036,|{'html_url': 'https://github.com/carlospolop/PEASS-ng', 'avatar_url': 'https://avatars.githubusercontent.com/u/165548191?v=4', 'login': 'PEASS-ng'}|
