id,name,lang,new stars
2325298,torvalds/linux,C,1707
156018,redis/redis,C,620
1614410,FFmpeg/FFmpeg,C,396
246335987,ventoy/Ventoy,C,4092
1357796,emscripten-core/emscripten,C,169
102578345,coolsnowwolf/lede,C,461
80286288,arendst/Tasmota,C,500
95879426,Tencent/ncnn,C,290
27737393,qmk/qmk_firmware,C,241
45821540,openwrt/openwrt,C,176
32873313,systemd/systemd,C,128
6041301,sumatrapdfreader/sumatrapdf,C,277
65899476,espressif/esp-idf,C,157
60667730,lvgl/lvgl,C,379
14902556,offensive-security/exploitdb,C,98
689344,libretro/RetroArch,C,129
89315980,SecWiki/windows-kernel-exploits,C,122
1979797,FreeRDP/FreeRDP,C,124
254327261,sandboxie-plus/Sandboxie,C,210
3349840,hak5darren/USB-Rubber-Ducky,C,67
59676171,KevinOConnor/klipper,C,154
213916896,blender/blender,C,204
330008801,libsdl-org/SDL,C,155
194269070,skyline-emu/skyline,C,124
226167620,JF002/InfiniTime,C,106
