id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
2561582,animate.css,animate-css/animate.css,CSS,395,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,15798,71787,|{'html_url': 'https://github.com/animate-css/animate.css', 'avatar_url': 'https://avatars.githubusercontent.com/u/2561582?v=4', 'login': 'animate.css'}|
1700621,normalize.css,necolas/normalize.css,CSS,599,A modern alternative to CSS resets,10130,44905,|{'html_url': 'https://github.com/necolas/normalize.css', 'avatar_url': 'https://avatars.githubusercontent.com/u/1700621?v=4', 'login': 'normalize.css'}|
50264296,bulma,jgthms/bulma,CSS,256,Modern CSS framework based on Flexbox,3772,44051,|{'html_url': 'https://github.com/jgthms/bulma', 'avatar_url': 'https://avatars.githubusercontent.com/u/50264296?v=4', 'login': 'bulma'}|
27574418,nerd-fonts,ryanoasis/nerd-fonts,CSS,490,|Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more|,2227,29322,|{'html_url': 'https://github.com/ryanoasis/nerd-fonts', 'avatar_url': 'https://avatars.githubusercontent.com/u/27574418?v=4', 'login': 'nerd-fonts'}|
27382163,hexo-theme-next,iissnan/hexo-theme-next,CSS,45,Elegant theme for Hexo. ,3821,15672,|{'html_url': 'https://github.com/iissnan/hexo-theme-next', 'avatar_url': 'https://avatars.githubusercontent.com/u/27382163?v=4', 'login': 'hexo-theme-next'}|
313330998,50projects50days,bradtraversy/50projects50days,CSS,2379,|50+ mini web projects using HTML, CSS & JS|,1973,8289,|{'html_url': 'https://github.com/bradtraversy/50projects50days', 'avatar_url': 'https://avatars.githubusercontent.com/u/313330998?v=4', 'login': '50projects50days'}|
105702631,plex,IBM/plex,CSS,697,|The package of IBM’s typeface, IBM Plex.|,441,6768,|{'html_url': 'https://github.com/IBM/plex', 'avatar_url': 'https://avatars.githubusercontent.com/u/105702631?v=4', 'login': 'plex'}|
15400220,progit2,progit/progit2,CSS,50,Pro Git 2nd Edition,1796,4353,|{'html_url': 'https://github.com/progit/progit2', 'avatar_url': 'https://avatars.githubusercontent.com/u/15400220?v=4', 'login': 'progit2'}|
161979323,RemixIcon,Remix-Design/RemixIcon,CSS,123,Open source neutral style icon system,238,3620,|{'html_url': 'https://github.com/Remix-Design/RemixIcon', 'avatar_url': 'https://avatars.githubusercontent.com/u/161979323?v=4', 'login': 'RemixIcon'}|
25017096,transmission-web-control,ronggang/transmission-web-control,CSS,67,一个 Transmission 浏览器管理界面。Transmission Web Control is a custom web UI.,643,3223,|{'html_url': 'https://github.com/ronggang/transmission-web-control', 'avatar_url': 'https://avatars.githubusercontent.com/u/25017096?v=4', 'login': 'transmission-web-control'}|
264441033,missing-semester-cn.github.io,missing-semester-cn/missing-semester-cn.github.io,CSS,127,the CS missing semester Chinese version,333,2661,|{'html_url': 'https://github.com/missing-semester-cn/missing-semester-cn.github.io', 'avatar_url': 'https://avatars.githubusercontent.com/u/264441033?v=4', 'login': 'missing-semester-cn.github.io'}|
234033679,the-economist-ebooks,hehonghui/the-economist-ebooks,CSS,186,|经济学人(含音频)、纽约客、自然、新科学人、卫报、科学美国人、连线、大西洋月刊、新闻周刊、国家地理等英语杂志免费下载、订阅(kindle推送),支持epub、mobi、pdf格式, 每周更新. The Economist 、The New Yorker 、Nature、The Atlantic 、New Scientist、The Guardian、Scientific American、Wired、Newsweek magazines, free download and subscription for kindle, mobi、epub、pdf format. |,484,2477,|{'html_url': 'https://github.com/hehonghui/the-economist-ebooks', 'avatar_url': 'https://avatars.githubusercontent.com/u/234033679?v=4', 'login': 'the-economist-ebooks'}|
121858752,hugo-coder,luizdepra/hugo-coder,CSS,42,A minimalist blog theme for hugo.,679,1565,|{'html_url': 'https://github.com/luizdepra/hugo-coder', 'avatar_url': 'https://avatars.githubusercontent.com/u/121858752?v=4', 'login': 'hugo-coder'}|
160313905,primevue,primefaces/primevue,CSS,68,The Most Complete Vue UI Component Library,282,1472,|{'html_url': 'https://github.com/primefaces/primevue', 'avatar_url': 'https://avatars.githubusercontent.com/u/160313905?v=4', 'login': 'primevue'}|
