id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
10744183,netdata,netdata/netdata,C,501,"Real-time performance monitoring, done right! https://www.netdata.cloud",5240,58589,https://avatars.githubusercontent.com/u/43390781?v=4
246335987,Ventoy,ventoy/Ventoy,C,1069,A new bootable USB solution.,2462,32773,https://avatars.githubusercontent.com/u/59477474?u=16f38c14b69580f87f4717b71c0e5e85e9559cb1&v=4
11715753,masscan,robertdavidgraham/masscan,C,210,"TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes.",2683,18712,https://avatars.githubusercontent.com/u/3814757?v=4
20159867,stb,nothings/stb,C,270,stb single-file public domain libraries for C/C++,6402,18322,https://avatars.githubusercontent.com/u/7525026?u=a23ba3a549fff291e35446cb32c8979bd29be6c9&v=4
7634677,openssl,openssl/openssl,C,307,TLS/SSL and crypto library,7837,17971,https://avatars.githubusercontent.com/u/3279138?v=4
2810292,rufus,pbatard/rufus,C,434,The Reliable USB Formatting Utility,1885,17881,https://avatars.githubusercontent.com/u/1206968?u=ed1be5451352656cffecc840d661bb793c3bad05&v=4
47409672,hashcat,hashcat/hashcat,C,211,World's fastest and most advanced password recovery utility,2023,11959,https://avatars.githubusercontent.com/u/15949799?v=4
45821540,openwrt,openwrt/openwrt,C,316,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins.  We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.,7089,10985,https://avatars.githubusercontent.com/u/2528830?v=4
15583310,SoftEtherVPN,SoftEtherVPN/SoftEtherVPN,C,129,Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available at https://github.com/SoftEtherVPN/SoftEtherVPN_Stable.,2192,8793,https://avatars.githubusercontent.com/u/6303100?v=4
14902556,exploitdb,offensive-security/exploitdb,C,133,The official Exploit Database repository,1892,6994,https://avatars.githubusercontent.com/u/2352090?u=f39712d7390395237fe83f134e38ae570cff7b6f&v=4
4151993,openvpn,OpenVPN/openvpn,C,126,OpenVPN  is  an open source VPN daemon,2381,6905,https://avatars.githubusercontent.com/u/1569141?v=4
414577657,Dummy-Robot,peng-zhihui/Dummy-Robot,C,888,我的超迷你机械臂机器人项目。,1356,6861,https://avatars.githubusercontent.com/u/12994887?u=6bfec84cb512892557cfed7fd7c52b0b0f41f95b&v=4
240507922,Reverse-Engineering,mytechnotalent/Reverse-Engineering,C,150,"A FREE comprehensive reverse engineering tutorial covering x86, x64, 32-bit ARM & 64-bit ARM architectures.",588,6236,https://avatars.githubusercontent.com/u/7095767?u=1365991cb5fb57aac63660b8b0ac89ef14b3ba12&v=4
273689548,L-ink_Card,peng-zhihui/L-ink_Card,C,129,Smart NFC & ink-Display Card,1564,6221,https://avatars.githubusercontent.com/u/12994887?u=6bfec84cb512892557cfed7fd7c52b0b0f41f95b&v=4
91493088,GoodbyeDPI,ValdikSS/GoodbyeDPI,C,583,GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows),646,5993,https://avatars.githubusercontent.com/u/3054729?u=db712da584cc0d21a860b786b9ab2f2323758598&v=4
59771425,zephyr,zephyrproject-rtos/zephyr,C,140,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",3646,5767,https://avatars.githubusercontent.com/u/19595895?v=4
305248398,HDMI-PI,peng-zhihui/HDMI-PI,C,169,我设计的一个HDMI转MIPI模块，可以用于驱动各种手机屏幕当显示器用。,691,4624,https://avatars.githubusercontent.com/u/12994887?u=6bfec84cb512892557cfed7fd7c52b0b0f41f95b&v=4
394318710,ExplorerPatcher,valinet/ExplorerPatcher,C,726,This project aims to enhance the working environment on Windows,268,4299,https://avatars.githubusercontent.com/u/6503598?u=25d850b7dcc57d2a488d83646fff7cca48cf7fc7&v=4
214011414,WindTerm,kingToolbox/WindTerm,C,490,A professional cross-platform SSH/Sftp/Shell/Telnet/Serial terminal.,305,4106,https://avatars.githubusercontent.com/u/51009775?v=4
327491895,HoloCubic,peng-zhihui/HoloCubic,C,190,带网络功能的伪全息透明显示桌面站,763,3707,https://avatars.githubusercontent.com/u/12994887?u=6bfec84cb512892557cfed7fd7c52b0b0f41f95b&v=4
29933948,fluent-bit,fluent/fluent-bit,C,82,"Fast and Lightweight Logs and Metrics processor for Linux, BSD, OSX and Windows",1004,3447,https://avatars.githubusercontent.com/u/859518?v=4
198869255,AFL,google/AFL,C,69,american fuzzy lop - a security-oriented fuzzer,452,2601,https://avatars.githubusercontent.com/u/1342004?v=4
330980599,coder-kung-fu,yanfeizhang/coder-kung-fu,C,435,开发内功修炼,477,2428,https://avatars.githubusercontent.com/u/6801783?u=f48017dcdf757b5f5e8a3776c7d69b26d574ac58&v=4
238539562,PongoOS,checkra1n/PongoOS,C,212,pongoOS,280,1914,https://avatars.githubusercontent.com/u/56771417?v=4
329707886,m1n1,AsahiLinux/m1n1,C,276,A bootloader and experimentation playground for Apple Silicon,75,1525,https://avatars.githubusercontent.com/u/76157212?v=4
