id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
100060912,terminal,microsoft/terminal,C++,892,"The new Windows Terminal and the original Windows console host, all in the same place!",7384,83493,https://avatars.githubusercontent.com/u/6154722?v=4
65600975,pytorch,pytorch/pytorch,C++,803,Tensors and Dynamic neural networks in Python with strong GPU acceleration,15642,56464,https://avatars.githubusercontent.com/u/21003710?v=4
22887094,tesseract,tesseract-ocr/tesseract,C++,481,Tesseract Open Source OCR Engine (main repository),8008,45444,https://avatars.githubusercontent.com/u/8401422?v=4
27729880,grpc,grpc/grpc,C++,393,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",9125,34533,https://avatars.githubusercontent.com/u/7802525?v=4
39840932,googletest,google/googletest,C++,850,GoogleTest - Google Testing and Mocking Framework,8607,26492,https://avatars.githubusercontent.com/u/1342004?v=4
168008797,calculator,microsoft/calculator,C++,762,Windows Calculator: A simple yet powerful calculator that ships with Windows,4493,24957,https://avatars.githubusercontent.com/u/6154722?v=4
6934395,rocksdb,facebook/rocksdb,C++,304,"A library that provides an embeddable, persistent key-value store for fast storage.",5224,22749,https://avatars.githubusercontent.com/u/69631?v=4
98771110,TrafficMonitor,zhongyang219/TrafficMonitor,C++,1319,这是一个用于显示当前网速、CPU及内存利用率的桌面悬浮窗软件，并支持任务栏显示，支持更换皮肤。,2122,18867,https://avatars.githubusercontent.com/u/30562462?u=18ad9b9dfa6e784088d28deb7e0dbe830afcc0b7&v=4
1062572,Catch2,catchorg/Catch2,C++,294,"A modern, C++-native, test framework for unit-tests, TDD and BDD - using C++14, C++17 and later (C++11 support is in v2.x branch, and C++03 on the Catch1.x branch)",2604,15159,https://avatars.githubusercontent.com/u/33321405?v=4
7056202,fmt,fmtlib/fmt,C++,225,A modern formatting library,1722,14302,https://avatars.githubusercontent.com/u/7280830?v=4
14981376,dogecoin,dogecoin/dogecoin,C++,136,very currency,2585,14053,https://avatars.githubusercontent.com/u/6122353?v=4
11577304,dolphin,dolphin-emu/dolphin,C++,275,"Dolphin is a GameCube / Wii emulator, allowing you to play games for these two platforms on PC with improvements.",1982,8693,https://avatars.githubusercontent.com/u/5050316?v=4
194269070,skyline,skyline-emu/skyline,C++,1625,Run Nintendo Switch homebrew & games on your Android device!,1196,8306,https://avatars.githubusercontent.com/u/52578041?v=4
204593825,STL,microsoft/STL,C++,120,MSVC's implementation of the C++ Standard Library.,1124,7834,https://avatars.githubusercontent.com/u/6154722?v=4
108102826,carla,carla-simulator/carla,C++,147,Open-source simulator for autonomous driving research.,2361,7819,https://avatars.githubusercontent.com/u/33029185?v=4
15379620,pcsx2,PCSX2/pcsx2,C++,197,PCSX2 - The Playstation 2 Emulator,1098,6822,https://avatars.githubusercontent.com/u/6278711?v=4
39211337,engine,flutter/engine,C++,143,The Flutter engine,4462,5811,https://avatars.githubusercontent.com/u/14101776?v=4
146842101,bpftrace,iovisor/bpftrace,C++,161,High-level tracing language for Linux eBPF,834,5430,https://avatars.githubusercontent.com/u/12766186?v=4
99919302,incubator-doris,apache/incubator-doris,C++,147,Apache Doris(Incubating) is an MPP-based interactive SQL data warehousing for reporting and analysis.,1428,4386,https://avatars.githubusercontent.com/u/47359?v=4
206138137,vosk-api,alphacep/vosk-api,C++,687,"Offline speech recognition API for Android, iOS, Raspberry Pi and servers with Python, Java, C# and Node",664,4089,https://avatars.githubusercontent.com/u/26358566?v=4
244694174,connectedhomeip,project-chip/connectedhomeip,C++,153,"Matter (formerly Project CHIP) is creating more connections between more objects, simplifying development for manufacturers and increasing compatibility for consumers,  guided by the Connectivity Standards Alliance (formerly Zigbee Alliance).",825,3765,https://avatars.githubusercontent.com/u/61027988?v=4
12682212,Launcher,MultiMC/Launcher,C++,128,A custom launcher for Minecraft that allows you to easily manage multiple installations of Minecraft at once,678,3335,https://avatars.githubusercontent.com/u/5411890?v=4
58414589,oneDNN,oneapi-src/oneDNN,C++,69,oneAPI Deep Neural Network Library (oneDNN),776,2831,https://avatars.githubusercontent.com/u/60144784?v=4
384520418,MaaAssistantArknights,MaaAssistantArknights/MaaAssistantArknights,C++,504,《明日方舟》小助手，自动刷图、智能基建换班，全日常一键长草！,207,2079,https://avatars.githubusercontent.com/u/97677443?v=4
439448087,PolyMC,PolyMC/PolyMC,C++,374,A custom launcher for Minecraft that allows you to easily manage multiple installations of Minecraft at once (Fork of MultiMC),108,1283,https://avatars.githubusercontent.com/u/96310119?v=4
