id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
184456251,PowerToys,microsoft/PowerToys,C#,1622,Windows system utilities to maximize productivity,4372,76826,https://avatars.githubusercontent.com/u/6154722?v=4
7600409,shadowsocks-windows,shadowsocks/shadowsocks-windows,C#,318,A C# port of shadowsocks,16328,54989,https://avatars.githubusercontent.com/u/3006190?v=4
49609581,PowerShell,PowerShell/PowerShell,C#,560,PowerShell for every system!,5811,34864,https://avatars.githubusercontent.com/u/11524380?v=4
199570071,v2rayN,2dust/v2rayN,C#,971,"A V2Ray client for Windows, support Xray core and v2fly core",6355,31521,https://avatars.githubusercontent.com/u/31833384?v=4
17620347,aspnetcore,dotnet/aspnetcore,C#,354,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",8195,29360,https://avatars.githubusercontent.com/u/9141961?v=4
70104825,eShopOnContainers,dotnet-architecture/eShopOnContainers,C#,291,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 6, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor.",9165,21392,https://avatars.githubusercontent.com/u/27453006?v=4
262395224,maui,dotnet/maui,C#,374,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.",1021,16730,https://avatars.githubusercontent.com/u/9141961?v=4
29078997,roslyn,dotnet/roslyn,C#,167,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.,3679,16333,https://avatars.githubusercontent.com/u/9141961?v=4
14964475,Avalonia,AvaloniaUI/Avalonia,C#,647,A cross-platform UI framework for .NET,1324,15043,https://avatars.githubusercontent.com/u/14075148?v=4
411493648,DevToys,veler/DevToys,C#,529,A Swiss Army knife for developers.,591,11194,https://avatars.githubusercontent.com/u/3747805?u=044bffcd8836f3a15f9f26378a9d7c85c5cffcfe&v=4
22456440,osu,ppy/osu,C#,265,rhythm is just a *click* away!,1700,10551,https://avatars.githubusercontent.com/u/995763?v=4
46755185,server,bitwarden/server,C#,237,"The core infrastructure backend (API, database, Docker, etc).",889,10350,https://avatars.githubusercontent.com/u/15990069?v=4
210716005,runtime,dotnet/runtime,C#,304,".NET is a cross-platform runtime for cloud, mobile, desktop, and IoT apps.",3348,9871,https://avatars.githubusercontent.com/u/9141961?v=4
321682465,SteamTools,BeyondDimension/SteamTools,C#,690,🛠「Watt Toolkit」是一个开源跨平台的多功能 Steam 工具箱。,619,9762,https://avatars.githubusercontent.com/u/79355691?v=4
64753043,AssetStudio,Perfare/AssetStudio,C#,298,"AssetStudio is a tool for exploring, extracting and exporting assets and assetbundles.",1722,9055,https://avatars.githubusercontent.com/u/12952226?u=36886cb911e51458e6f2fdd041f97a6f7ce64b40&v=4
132453438,uno,unoplatform/uno,C#,284,"Build Mobile, Desktop and WebAssembly apps with C# and XAML. Today. Open source and professionally supported.",552,6939,https://avatars.githubusercontent.com/u/52228309?v=4
245235133,reverse-proxy,microsoft/reverse-proxy,C#,126,A toolkit for developing high-performance HTTP reverse proxy applications.,534,5744,https://avatars.githubusercontent.com/u/6154722?v=4
288428676,MudBlazor,MudBlazor/MudBlazor,C#,202,"Blazor Component Library based on Material design. The goal is to do more with Blazor, utilizing CSS and keeping Javascript to a bare minimum.",674,3794,https://avatars.githubusercontent.com/u/79755064?v=4
326826023,QuestPDF,QuestPDF/QuestPDF,C#,364,"QuestPDF is an open-source, modern and battle-tested library that can help you with generating PDF documents by offering friendly, discoverable and predictable C# fluent API.",188,3383,https://avatars.githubusercontent.com/u/73763469?v=4
158405551,git-credential-manager,GitCredentialManager/git-credential-manager,C#,150,"Secure, cross-platform Git credential storage with authentication to GitHub, Azure Repos, and other popular Git hosting services.",679,2994,https://avatars.githubusercontent.com/u/64464614?v=4
389218073,wpfui,lepoco/wpfui,C#,280,"A simple way to make your application written in WPF keep up with modern design trends. Library changes the base elements like Page, ToggleButton or List, and also includes additional controls like Navigation, NumberBox, Dialog or Snackbar.",178,2785,https://avatars.githubusercontent.com/u/87412094?v=4
63984307,sdk,dotnet/sdk,C#,56,"Core functionality needed to create .NET Core projects, that is shared between Visual Studio and CLI",831,1938,https://avatars.githubusercontent.com/u/9141961?v=4
255952484,maui-samples,dotnet/maui-samples,C#,224,Samples for .NET Multi-Platform App UI (.NET MAUI),315,1434,https://avatars.githubusercontent.com/u/9141961?v=4
419415576,dotnet,CommunityToolkit/dotnet,C#,355,".NET Community Toolkit is a collection of helpers and APIs that work for all .NET developers and are agnostic of any specific UI platform. The toolkit is maintained and published by Microsoft, and part of the .NET Foundation.",86,1309,https://avatars.githubusercontent.com/u/41346473?v=4
464654186,dotnet-maui-workshop,dotnet-presentations/dotnet-maui-workshop,C#,126,"A full day workshop (.NET MAUI Workshop in a Box) on how to build apps with .NET MAUI for iOS, Android, macOS, and Windows",217,999,https://avatars.githubusercontent.com/u/31487945?v=4
