id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
123458551,Python-100-Days,jackfrued/Python-100-Days,Python,1817,Python - 100天从新手到大师,46284,122153,https://avatars.githubusercontent.com/u/7474657?u=902200c2389c203cf2139888e10314845edd2a2a&v=4
41058054,CppCoreGuidelines,isocpp/CppCoreGuidelines,Python,606,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",4757,35048,https://avatars.githubusercontent.com/u/13841574?v=4
349321229,GFPGAN,TencentARC/GFPGAN,Python,1499,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,3179,21052,https://avatars.githubusercontent.com/u/83739826?v=4
45723377,professional-programming,charlax/professional-programming,Python,2313,A collection of full-stack resources for programmers.,1755,19701,https://avatars.githubusercontent.com/u/120501?v=4
91629816,freqtrade,freqtrade/freqtrade,Python,764,"Free, open source crypto trading bot",3953,18863,https://avatars.githubusercontent.com/u/37536846?v=4
323048702,OpenBBTerminal,OpenBB-finance/OpenBBTerminal,Python,2879,"Investment Research for Everyone, Anywhere.",1625,15392,https://avatars.githubusercontent.com/u/80064875?v=4
222751131,30-Days-Of-Python,Asabeneh/30-Days-Of-Python,Python,2906,"30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace. ",3170,13745,https://avatars.githubusercontent.com/u/9008063?u=ec6ff77196b998a4e6b6e3ca1429c524c169c189&v=4
7053637,mypy,python/mypy,Python,212,Optional static typing for Python,2266,13589,https://avatars.githubusercontent.com/u/1525981?v=4
355959597,textual,Textualize/textual,Python,1010,Textual is a TUI (Text User Interface) framework for Python inspired by modern web development.,335,12894,https://avatars.githubusercontent.com/u/93378883?v=4
266417772,Summer2023-Internships,pittcsc/Summer2023-Internships,Python,1521,Collection of Summer 2023 tech internships!,1169,11424,https://avatars.githubusercontent.com/u/7276234?v=4
52728517,zhao,programthink/zhao,Python,356,【编程随想】整理的《太子党关系网络》，专门揭露赵国的权贵,2561,10529,https://avatars.githubusercontent.com/u/4027957?u=e630bf304844ff741944cfd50ae7420c229f47b1&v=4
112070198,Hitomi-Downloader,KurtBestor/Hitomi-Downloader,Python,887,":cake: Desktop utility to download images/videos/music/text from various websites, and more.",1086,9539,https://avatars.githubusercontent.com/u/14768120?v=4
287463830,qlib,microsoft/qlib,Python,535,"Qlib is an AI-oriented quantitative investment platform, which aims to realize the potential, empower the research, and create the value of AI technologies in quantitative investment. With Qlib, you can easily try your ideas to create better Quant investment strategies. An increasing number of  SOTA Quant research works/papers are released in Qlib.",1660,9355,https://avatars.githubusercontent.com/u/6154722?v=4
377851948,alphafold,deepmind/alphafold,Python,385,Open source code for AlphaFold.,1494,8914,https://avatars.githubusercontent.com/u/8596759?v=4
235860204,DeepSpeed,microsoft/DeepSpeed,Python,464,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",861,7493,https://avatars.githubusercontent.com/u/6154722?v=4
303802588,MHDDoS,MatrixTM/MHDDoS,Python,1063,"Best DDoS Attack Script  Python3, (Cyber / DDos) Attack With 56 Methods",1271,5731,https://avatars.githubusercontent.com/u/102809114?v=4
330914717,ivy,unifyai/ivy,Python,1670,The Unified Machine Learning Framework,1399,4910,https://avatars.githubusercontent.com/u/63879146?v=4
190823163,Osintgram,Datalux/Osintgram,Python,678,Osintgram is a OSINT tool on Instagram. It offers an interactive shell to perform analysis on Instagram account of any users by its nickname,970,4738,https://avatars.githubusercontent.com/u/26717218?u=560d1ce8e49270894d0b31f11d9dd92a8e98e031&v=4
73461676,vyper,vyperlang/vyper,Python,213,Pythonic Smart Contract Language for the EVM,695,4147,https://avatars.githubusercontent.com/u/57152025?v=4
458648791,paperless-ngx,paperless-ngx/paperless-ngx,Python,512,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents",187,3810,https://avatars.githubusercontent.com/u/99562962?v=4
509153572,discoart,jina-ai/discoart,Python,1516,Create Disco Diffusion artworks in one line,113,2354,https://avatars.githubusercontent.com/u/60539444?v=4
498011141,diffusers,huggingface/diffusers,Python,856,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch,73,1419,https://avatars.githubusercontent.com/u/25720743?v=4
490465859,Flipper,UberGuidoZ/Flipper,HTML,679,Playground (and dump) of stuff I make or modify for the Flipper Zero,165,1069,https://avatars.githubusercontent.com/u/57457139?u=3b283c3083a1fee457b897d7c8fda97b873e9807&v=4
370055539,AutoMihoyoBBS,Womsxd/AutoMihoyoBBS,Python,231,米游社自动签到，支持：崩坏二、崩坏三、原神、未定事件簿，米游币自动获取,250,834,https://avatars.githubusercontent.com/u/45663319?u=07fe79adf9f0a0926eac1ae8d88da12b0b360f04&v=4
484291308,FlipperAmiibo,Gioman101/FlipperAmiibo,Python,95,Made to be used with Flipper just drag the folder into NFC,15,276,https://avatars.githubusercontent.com/u/31381542?v=4
