id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
27193779,node,nodejs/node,JavaScript,967,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,24378,90454,https://avatars.githubusercontent.com/u/9950313?v=4
184456251,PowerToys,microsoft/PowerToys,C#,2119,Windows system utilities to maximize productivity,4460,78542,https://avatars.githubusercontent.com/u/6154722?v=4
523379232,stable-diffusion,CompVis/stable-diffusion,Jupyter Notebook,18524,A latent text-to-image diffusion model,3764,24278,https://avatars.githubusercontent.com/u/30233788?v=4
160083795,serenity,SerenityOS/serenity,C++,873,The Serenity Operating System 🐞,2315,21586,https://avatars.githubusercontent.com/u/50811782?v=4
74962515,CyberChef,gchq/CyberChef,JavaScript,1424,"The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis",2239,18698,https://avatars.githubusercontent.com/u/15800240?v=4
240215314,awesome-compose,docker/awesome-compose,HTML,1130,Awesome Docker Compose samples,2772,17978,https://avatars.githubusercontent.com/u/5429470?v=4
120425779,lapce,lapce/lapce,Rust,4207,Lightning-fast and Powerful Code Editor written in Rust,486,17699,https://avatars.githubusercontent.com/u/43668847?v=4
149001365,leetcode,doocs/leetcode,Java,2166,😏 LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解,3207,17473,https://avatars.githubusercontent.com/u/43716716?v=4
387326890,Real-ESRGAN,xinntao/Real-ESRGAN,Python,1869,Real-ESRGAN aims at developing Practical Algorithms for General Image/Video Restoration.,1577,14765,https://avatars.githubusercontent.com/u/17445847?u=dc0cf716873f6809f46f105917500699ae1aafd3&v=4
468515960,CodeEdit,CodeEditApp/CodeEdit,Swift,2113,"CodeEdit App for macOS – Elevate your code editing experience. Open source, free forever.",669,14518,https://avatars.githubusercontent.com/u/101493338?v=4
268424739,helix,helix-editor/helix,Rust,1510,A post-modern modal text editor.,814,12749,https://avatars.githubusercontent.com/u/66235900?v=4
436658287,surrealdb,surrealdb/surrealdb,Rust,11084,"A scalable, distributed, collaborative, document-graph database, for the realtime web",232,11548,https://avatars.githubusercontent.com/u/10982346?v=4
321960447,CLIP,openai/CLIP,Jupyter Notebook,652,Contrastive Language-Image Pretraining,1437,9770,https://avatars.githubusercontent.com/u/14957082?v=4
241176242,a-picture-is-worth-a-1000-words,girliemac/a-picture-is-worth-a-1000-words,,2520,I am trying to describe complex matters in simple doodles!,647,9720,https://avatars.githubusercontent.com/u/107763?u=ef06484010f9aafe44a8258d15e45ffb3a1dd3c6&v=4
198350484,unilm,microsoft/unilm,Python,572,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities",1224,6676,https://avatars.githubusercontent.com/u/6154722?v=4
498011141,diffusers,huggingface/diffusers,Python,3835,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch,501,5546,https://avatars.githubusercontent.com/u/25720743?v=4
248416273,KnowStreaming,didi/KnowStreaming,Java,453,一站式云原生流数据管控平台，通过0侵入、插件化构建企业级Kafka服务，极大降低操作、存储和管理实时流数据门槛,974,5105,https://avatars.githubusercontent.com/u/27521938?v=4
440244590,latent-diffusion,CompVis/latent-diffusion,Jupyter Notebook,1044,High-Resolution Image Synthesis with Latent Diffusion Models,483,3906,https://avatars.githubusercontent.com/u/30233788?v=4
116457726,ethereum-org-website,ethereum/ethereum-org-website,Markdown,281,Ethereum.org is a primary online resource for the Ethereum community.,3157,3289,https://avatars.githubusercontent.com/u/6250754?v=4
255231293,micrograd,karpathy/micrograd,Jupyter Notebook,359,A tiny scalar-valued autograd engine and a neural net library on top of it with PyTorch-like API,248,2705,https://avatars.githubusercontent.com/u/241138?u=05376db54475c3d23b3a409f4c47d14c4855dc28&v=4
471494981,revanced-manager,revanced/revanced-manager,Dart,1727,💊 The official ReVanced Manager,318,2614,https://avatars.githubusercontent.com/u/101597779?v=4
516904877,multinerf,google-research/multinerf,Python,1332,"A Code Release for Mip-NeRF 360, Ref-NeRF, and RawNeRF",169,2202,https://avatars.githubusercontent.com/u/43830688?v=4
388946490,velox,facebookincubator/velox,C++,545,A C++ vectorized database acceleration library aimed to optimizing query engines and data processing systems.,359,1589,https://avatars.githubusercontent.com/u/19538647?v=4
524596709,MagiskOnWSALocal,LSPosed/MagiskOnWSALocal,Shell,1013,,3874,1500,https://avatars.githubusercontent.com/u/75879071?v=4
523544748,zelda3,snesrev/zelda3,C,874,,77,1052,https://avatars.githubusercontent.com/u/111028570?v=4
