id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
49609581,PowerShell,PowerShell/PowerShell,C#,703,PowerShell for every system!,6014,35782,https://avatars.githubusercontent.com/u/11524380?v=4
199570071,v2rayN,2dust/v2rayN,C#,1042,"A V2Ray client for Windows, support Xray core and v2fly core",6575,33259,https://avatars.githubusercontent.com/u/31833384?v=4
17620347,aspnetcore,dotnet/aspnetcore,C#,368,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",8410,29988,https://avatars.githubusercontent.com/u/9141961?v=4
193681686,netch,netchx/netch,C#,304,A simple proxy client,2092,12629,https://avatars.githubusercontent.com/u/52199683?v=4
213460285,CleanArchitecture,jasontaylordev/CleanArchitecture,C#,344,Clean Architecture Solution Template for .NET 7,2292,10087,https://avatars.githubusercontent.com/u/1988321?u=f96f36eed8f5bc57c4aab7213306f960efc072b1&v=4
75990888,csharplang,dotnet/csharplang,C#,136,The official repo for the design of the C# programming language,956,9320,https://avatars.githubusercontent.com/u/9141961?v=4
375939072,FastGithub,dotnetcore/FastGithub,C#,690,github加速神器，解决github打不开、用户头像无法加载、releases无法上传下载、git-clone、git-pull、git-push失败等问题,1265,9279,https://avatars.githubusercontent.com/u/19404084?v=4
135050219,CMWTAT_Digital_Edition,TGSAN/CMWTAT_Digital_Edition,C#,640,"CloudMoe Windows 10/11 Activation Toolkit get digital license, the best open source Win 10/11 activator in GitHub. GitHub 上最棒的开源 Win10/Win11 数字权利（数字许可证）激活工具！",1426,9146,https://avatars.githubusercontent.com/u/7440847?u=9a04b599cc7d75db6aa271e76d4a7d5ac722661b&v=4
201188122,lively,rocksdanister/lively,C#,366,Free and open-source software that allows users to set animated desktop wallpapers and screensavers.,744,8970,https://avatars.githubusercontent.com/u/17554161?u=8e8419fd0693513282e55e212a0ef21e58310687&v=4
324473895,downkyi,leiurayer/downkyi,C#,540,哔哩下载姬downkyi，B站视频下载工具，支持批量下载，支持8K、HDR、杜比视界，提供工具箱（音视频提取、去水印等）。,1136,8575,https://avatars.githubusercontent.com/u/19290097?u=589c798ec2b77363ddf03308123a6f8c718a8426&v=4
113807330,Terminal.Gui,gui-cs/Terminal.Gui,C#,446,Cross Platform Terminal UI toolkit for .NET,573,7631,https://avatars.githubusercontent.com/u/106351764?v=4
460848,mRemoteNG,mRemoteNG/mRemoteNG,C#,146,"mRemoteNG is the next generation of mRemote, open source, tabbed, multi-protocol, remote connections manager.",1272,6885,https://avatars.githubusercontent.com/u/17677083?v=4
366663429,jynew,jynew/jynew,C#,269,群侠传，启动！（原金群3D重制版）,1295,5887,https://avatars.githubusercontent.com/u/82129705?v=4
142480903,microsoft-ui-xaml,microsoft/microsoft-ui-xaml,C#,64,Windows UI Library: the latest Windows 10 native controls and Fluent styles for your applications,593,5087,https://avatars.githubusercontent.com/u/6154722?v=4
125612271,EntityComponentSystemSamples,Unity-Technologies/EntityComponentSystemSamples,C#,158,,1130,4749,https://avatars.githubusercontent.com/u/426196?v=4
245033131,ProxySU,proxysu/ProxySU,C#,270,"Xray,V2ray，Trojan，NaiveProxy, Trojan-Go, ShadowsocksR(SSR),Shadowsocks-libev及相关插件,MTProto+TLS 一键安装工具，windows下用（一键科学上网）",1384,4223,https://avatars.githubusercontent.com/u/61810006?u=c4001a94fbecdda67bfd1b29c7e1ee17fe9d5f11&v=4
103370157,optimizer,hellzerg/optimizer,C#,635,The finest Windows Optimizer,336,3410,https://avatars.githubusercontent.com/u/3146835?u=012a457ae34fc7f8a0e55e66f7e3f1702a6e7a47&v=4
80280403,EventSourcing.NetCore,oskardudycz/EventSourcing.NetCore,C#,153,Examples and Tutorials of Event Sourcing in .NET,387,2539,https://avatars.githubusercontent.com/u/5562528?u=decd12aa824a26a72a9685b64ba5612823d0d0c1&v=4
199628708,RulesEngine,microsoft/RulesEngine,C#,142,A Json based Rules Engine with extensive Dynamic expression support,384,2110,https://avatars.githubusercontent.com/u/6154722?v=4
99942769,LibreHardwareMonitor,LibreHardwareMonitor/LibreHardwareMonitor,C#,251,"Libre Hardware Monitor, home of the fork of Open Hardware Monitor",334,2056,https://avatars.githubusercontent.com/u/30905571?v=4
209623885,ViVe,thebookisclosed/ViVe,C#,268,C# library and console app for using new feature control APIs available in Windows 10 version 2004 and newer,138,1976,https://avatars.githubusercontent.com/u/13197516?u=8520083385e3527426d638b30974c2bb06b2d25d&v=4
317531562,Text-Grab,TheJoeFin/Text-Grab,C#,292,Use OCR in Windows 10 quickly and easily with Text Grab. With optional background process and popups.,92,1185,https://avatars.githubusercontent.com/u/7809853?v=4
373274891,Maui,CommunityToolkit/Maui,C#,112,"The .NET MAUI Community Toolkit is a community-created library that contains .NET MAUI Extensions, Advanced UI/UX Controls, and Behaviors to help make your life as a .NET MAUI developer easier",139,1042,https://avatars.githubusercontent.com/u/41346473?v=4
307848141,com.unity.multiplayer.samples.coop,Unity-Technologies/com.unity.multiplayer.samples.coop,C#,79,"A small-scale cooperative game sample built on the new, Unity networking framework to teach developers about creating a similar multiplayer game.",292,1016,https://avatars.githubusercontent.com/u/426196?v=4
529434985,MarrowSDK,StressLevelZero/MarrowSDK,C#,194,,22,244,https://avatars.githubusercontent.com/u/82469887?v=4
