id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
62156403,zju-icicles,QSCTech/zju-icicles,HTML,628,浙江大学课程攻略共享计划,8294,29441,https://avatars.githubusercontent.com/u/4727983?v=4
109484365,Coursera-ML-AndrewNg-Notes,fengdu78/Coursera-ML-AndrewNg-Notes,HTML,336,吴恩达老师的机器学习课程个人笔记,9856,26238,https://avatars.githubusercontent.com/u/26119052?u=64357994632ab7e6be27e8a6549727e5bee3c077&v=4
152327866,awesome-piracy,Igglybuff/awesome-piracy,HTML,536,A curated list of awesome warez and piracy links,1837,20137,https://avatars.githubusercontent.com/u/8899226?u=aff883aaa194b45852ac86c8dbb164bb32b05915&v=4
240215314,awesome-compose,docker/awesome-compose,HTML,732,Awesome Docker Compose samples,2887,18574,https://avatars.githubusercontent.com/u/5429470?v=4
30675533,fonts,google/fonts,HTML,143,"Font files available from Google Fonts, and a public issue tracker for all things Google Fonts",2448,15811,https://avatars.githubusercontent.com/u/1342004?v=4
113552697,deeplearning_ai_books,fengdu78/deeplearning_ai_books,HTML,122,deeplearning.ai（吴恩达老师的深度学习课程笔记及资源）,5524,15167,https://avatars.githubusercontent.com/u/26119052?u=64357994632ab7e6be27e8a6549727e5bee3c077&v=4
194216404,simplefolio,cobiwave/simplefolio,HTML,285,⚡️ A minimal portfolio template for Developers,4359,11400,https://avatars.githubusercontent.com/u/35739742?u=7cd1ea407a748fc0118697b263b5318715b38476&v=4
1300192,Spoon-Knife,octocat/Spoon-Knife,HTML,140,This repo is for demonstration purposes only.,130285,11337,https://avatars.githubusercontent.com/u/583231?u=a59fef2a493e2b67dd13754231daf220c82ba84d&v=4
39575101,blog_os,phil-opp/blog_os,HTML,269,Writing an OS in Rust,821,10777,https://avatars.githubusercontent.com/u/1131315?v=4
181746158,hyperblog,freddier/hyperblog,HTML,190,Un blog increíble para el curso de Git y Github de Platzi,10883,7380,https://avatars.githubusercontent.com/u/824191?u=b6489963b9bdf24377e1c4dacdf983426c2aaaeb&v=4
11969507,html,whatwg/html,HTML,103,HTML Standard,2290,6111,https://avatars.githubusercontent.com/u/2226336?v=4
7474917,dragon-book-exercise-answers,fool2fish/dragon-book-exercise-answers,HTML,83,"Compilers Principles, Techniques, & Tools (purple dragon book) second edition exercise answers. 编译原理（紫龙书）第2版习题答案。",1688,5458,https://avatars.githubusercontent.com/u/340282?u=40eb8f8c4476d5388f8207e73dbd79bfb62b5208&v=4
125241352,tidytuesday,rfordatascience/tidytuesday,HTML,90,Official repo for the #tidytuesday project,2012,5051,https://avatars.githubusercontent.com/u/31736571?v=4
3618133,wpt,web-platform-tests/wpt,HTML,58,"Test suites for Web platform specs — including WHATWG, W3C, and others",2809,4049,https://avatars.githubusercontent.com/u/37226233?v=4
377305568,learn-to-cloud,learntocloud/learn-to-cloud,HTML,392,Learn the fundamentals of cloud computing,590,3506,https://avatars.githubusercontent.com/u/90214606?v=4
221546437,recipes,TandoorRecipes/recipes,HTML,100,"Application for managing recipes, planning meals, building shopping lists and much much more!",350,3475,https://avatars.githubusercontent.com/u/86065214?v=4
96086769,DAFTAR-API-LOKAL-INDONESIA,farizdotid/DAFTAR-API-LOKAL-INDONESIA,HTML,110,Berisi API tentang Data Indonesia ataupun API yang dibuat oleh developer Indonesia <3,1143,2761,https://avatars.githubusercontent.com/u/17017569?u=c456c80b89644547a0c2ce2fd984acca2ddcae24&v=4
440078417,free-Web3-resources,FrancescoXX/free-Web3-resources,HTML,305,A list of FREE resources to make Web3 accessible to everyone.,380,2751,https://avatars.githubusercontent.com/u/18360871?u=d331996422d5f23c60e75b010921bd16683c10bc&v=4
93281221,dataviz,clauswilke/dataviz,HTML,77,A book covering the fundamentals of data visualization,615,2641,https://avatars.githubusercontent.com/u/4210929?u=73c08d03152cb8ca873f9f6d99fe894cf9638f81&v=4
375081980,osint_stuff_tool_collection,cipher387/osint_stuff_tool_collection,HTML,1173,A collection of several hundred online tools for OSINT,264,2408,https://avatars.githubusercontent.com/u/66636466?u=60d5ac99d112126df2c2d3cee4b6991a9713372f&v=4
490465859,Flipper,UberGuidoZ/Flipper,HTML,590,Playground (and dump) of stuff I make or modify for the Flipper Zero,351,2041,https://avatars.githubusercontent.com/u/57457139?u=3b283c3083a1fee457b897d7c8fda97b873e9807&v=4
10009991,rdkit,rdkit/rdkit,HTML,30,The official sources for the RDKit library,704,1788,https://avatars.githubusercontent.com/u/2018047?v=4
330968158,mazer,zuramai/mazer,HTML,112,Free and Open-source Bootstrap 5 Admin Dashboard Template and Landing Page ,468,1590,https://avatars.githubusercontent.com/u/45036724?u=9e742256a5a6f3845b300cbb5f4a2cb5ec9e89f7&v=4
348919983,RootMyTV.github.io,RootMyTV/RootMyTV.github.io,HTML,692,RootMyTV is a user-friendly exploit for rooting/jailbreaking LG webOS smart TVs.,39,1553,https://avatars.githubusercontent.com/u/84029952?v=4
475505735,Data-Science-ML-Full-Stack-2022,hemansnation/Data-Science-ML-Full-Stack-2022,HTML,98,Everything you need to know for data science.,79,270,https://avatars.githubusercontent.com/u/37770869?u=53a78c26e51896deea57df9228a7025da7cae011&v=4
