id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
45717250,tensorflow,tensorflow/tensorflow,C++,1446,An Open Source Machine Learning Framework for Everyone,88365,174757,https://avatars.githubusercontent.com/u/15658638?v=4
9384267,electron,electron/electron,C++,806,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",14675,107465,https://avatars.githubusercontent.com/u/13409222?v=4
1181927,bitcoin,bitcoin/bitcoin,C++,589,Bitcoin Core integration/staging tree,34256,69621,https://avatars.githubusercontent.com/u/528860?v=4
23357588,protobuf,protocolbuffers/protobuf,C++,454,Protocol Buffers - Google's data interchange format,15014,59422,https://avatars.githubusercontent.com/u/26310541?v=4
22067521,imgui,ocornut/imgui,C++,820,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,8472,47630,https://avatars.githubusercontent.com/u/8225057?u=de42cf0fa1f1970187db446beea30c61b9c1e6d3&v=4
39840932,googletest,google/googletest,C++,268,GoogleTest - Google Testing and Mocking Framework,9343,29689,https://avatars.githubusercontent.com/u/1342004?v=4
311683390,ImHex,WerWolv/ImHex,C++,1173,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",1362,28354,https://avatars.githubusercontent.com/u/10835354?u=df34a21c99e8b5470fb39a106d328372e7abc115&v=4
116167731,yuzu,yuzu-emu/yuzu,C++,2877,Nintendo Switch Emulator,2411,27721,https://avatars.githubusercontent.com/u/35075882?v=4
81227005,faiss,facebookresearch/faiss,C++,881,A library for efficient similarity search and clustering of dense vectors.,2945,21847,https://avatars.githubusercontent.com/u/16943930?v=4
19953044,flatbuffers,google/flatbuffers,C++,277,FlatBuffers: Memory Efficient Serialization Library,3096,20480,https://avatars.githubusercontent.com/u/1342004?v=4
26038648,spdlog,gabime/spdlog,C++,763,Fast C++ logging library.,3767,18360,https://avatars.githubusercontent.com/u/6052198?u=a5aaa778f219603fd3a6e221c79370ac5f0fa182&v=4
52729242,keepassxc,keepassxreboot/keepassxc,C++,434,KeePassXC is a cross-platform community-driven port of the Windows application “Keepass Password Safe”.,1225,15960,https://avatars.githubusercontent.com/u/22534815?v=4
27500243,libphonenumber,google/libphonenumber,C++,108,"Google's common Java, C++ and JavaScript library for parsing, formatting, and validating international phone numbers.",1965,15014,https://avatars.githubusercontent.com/u/1342004?v=4
194269070,skyline,skyline-emu/skyline,C++,547,Run Nintendo Switch homebrew & games on your Android device!,1712,13002,https://avatars.githubusercontent.com/u/52578041?v=4
117948953,Atmosphere,Atmosphere-NX/Atmosphere,C++,708,Atmosphère is a work-in-progress customized firmware for the Nintendo Switch.,1077,11859,https://avatars.githubusercontent.com/u/37918415?v=4
138754790,duckdb,duckdb/duckdb,C++,597,DuckDB is an in-process SQL OLAP Database Management System,940,10221,https://avatars.githubusercontent.com/u/82039556?v=4
2168780,minetest,minetest/minetest,C++,325,Minetest is an open source voxel game engine with easy modding and game creation,1793,8926,https://avatars.githubusercontent.com/u/2624745?v=4
15379620,pcsx2,PCSX2/pcsx2,C++,421,PCSX2 - The Playstation 2 Emulator,1460,8694,https://avatars.githubusercontent.com/u/6278711?v=4
527719753,Cemu,cemu-project/Cemu,C++,424,Cemu - Wii U emulator,313,5131,https://avatars.githubusercontent.com/u/40145098?v=4
61980658,azerothcore-wotlk,azerothcore/azerothcore-wotlk,C++,668,Complete Open Source and Modular solution for MMO,1727,3628,https://avatars.githubusercontent.com/u/20147732?v=4
354138793,FasterTransformer,NVIDIA/FasterTransformer,C++,484,"Transformer related optimization, including BERT, GPT",579,3344,https://avatars.githubusercontent.com/u/1728152?v=4
125687069,rbxfpsunlocker,axstin/rbxfpsunlocker,C++,158,FPS Unlocker for Roblox,680,1512,https://avatars.githubusercontent.com/u/6193474?v=4
627512543,gpt4all-chat,nomic-ai/gpt4all-chat,C++,477,gpt4all-j chat,118,1219,https://avatars.githubusercontent.com/u/102670180?v=4
603770379,ChatWaifu_Mobile,Voine/ChatWaifu_Mobile,C++,492,移动版二次元 AI 老婆聊天器,86,843,https://avatars.githubusercontent.com/u/30189805?u=e8cc6e4ce87efb8a2f86ae8796ae12afd6d70ec8&v=4
410520657,zygisk-module-sample,topjohnwu/zygisk-module-sample,C++,85,A sample project for building Zygisk modules,104,409,https://avatars.githubusercontent.com/u/7337301?v=4
