id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
20580498,kubernetes,kubernetes/kubernetes,Go,1008,Production-Grade Container Scheduling and Management,36007,98050,https://avatars.githubusercontent.com/u/13629408?v=4
48378947,frp,fatedier/frp,Go,1125,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,11421,67087,https://avatars.githubusercontent.com/u/7346661?u=721c6ac19c725486a09c728572e7aee0460e42c0&v=4
122734569,lux,iawia002/lux,Go,380,👾 Fast and simple video download library and CLI tool written in Go,2448,20865,https://avatars.githubusercontent.com/u/9134003?u=98ed581f2dae06d9139a0c18065605c263dd5065&v=4
129717717,loki,grafana/loki,Go,276,"Like Prometheus, but for logs.",2726,18995,https://avatars.githubusercontent.com/u/7195757?v=4
208728772,milvus,milvus-io/milvus,Go,2006,"A cloud-native vector database, storage for next generation AI applications",2117,18089,https://avatars.githubusercontent.com/u/51735404?v=4
11008207,vitess,vitessio/vitess,Go,307,Vitess is a database clustering system for horizontal scaling of MySQL.,1928,16152,https://avatars.githubusercontent.com/u/33043890?v=4
72477752,pulumi,pulumi/pulumi,Go,363,Pulumi - Infrastructure as Code in any programming language. Build infrastructure intuitively on any cloud using familiar languages 🚀,890,15879,https://avatars.githubusercontent.com/u/21992475?v=4
161951219,wails,wailsapp/wails,Go,764,Create beautiful applications using Go,732,15797,https://avatars.githubusercontent.com/u/39746503?v=4
48109239,cilium,cilium/cilium,Go,394,"eBPF-based Networking, Security, and Observability",2179,15242,https://avatars.githubusercontent.com/u/21054566?v=4
311315731,Xray-core,XTLS/Xray-core,Go,889,"Xray, Penetrates Everything. Also the best v2ray-core, with XTLS support. Fully compatible configuration.",2209,13811,https://avatars.githubusercontent.com/u/71564206?v=4
273871859,headscale,juanfont/headscale,Go,917,"An open source, self-hosted implementation of the Tailscale control server",795,12892,https://avatars.githubusercontent.com/u/181059?u=56e87e3bf1145a99035e3ef576bc8c099214ac70&v=4
106704041,air,cosmtrek/air,Go,471,☁️ Live reload for Go apps,628,10208,https://avatars.githubusercontent.com/u/8832222?v=4
410430370,CasaOS,IceWhaleTech/CasaOS,Go,685,"CasaOS - A simple, easy-to-use, elegant open-source Personal Cloud system.",642,9960,https://avatars.githubusercontent.com/u/91336243?v=4
392596825,ddosify,ddosify/ddosify,Go,592,"Comprehensive Performance Testing Platform. Available on CLI, Self-Hosted, and Cloud - https://ddosify.com 🚀",304,6894,https://avatars.githubusercontent.com/u/75415501?v=4
326228917,katana,projectdiscovery/katana,Go,399,A next-generation crawling and spidering framework.,313,6350,https://avatars.githubusercontent.com/u/50994705?v=4
55072677,weaviate,weaviate/weaviate,Go,1560,"Weaviate is an open source vector database that stores both objects and vectors, allowing for combining vector search with structured filtering with the fault-tolerance and scalability of a cloud-native database, all accessible through GraphQL, REST, and various language clients.",310,5638,https://avatars.githubusercontent.com/u/37794290?v=4
290437899,ddns-go,jeessy2/ddns-go,Go,600,简单好用的DDNS。自动更新域名解析到公网IP(支持阿里云、腾讯云dnspod、Cloudflare、Callback、华为云、百度云、Porkbun、GoDaddy、Google Domain),728,5014,https://avatars.githubusercontent.com/u/6205259?u=0668f056159f7ab885b1749c10400aa50893da5b&v=4
334110599,rime-ice,iDvel/rime-ice,Go,2471,Rime 配置：雾凇拼音 | 长期维护的简体词库,275,3718,https://avatars.githubusercontent.com/u/14658234?u=5ba8999f8e5b0230cb39efcbcca3f5a8633c896d&v=4
509091576,sing-box,SagerNet/sing-box,Go,466,The universal proxy platform,407,3370,https://avatars.githubusercontent.com/u/83217677?v=4
189705577,godis,HDT3213/godis,Go,155,A Golang implemented Redis Server and Cluster. Go 语言实现的 Redis 服务器和分布式集群,472,2734,https://avatars.githubusercontent.com/u/12867754?u=b5aedb5973696e98383b50dabe3aa0a02c7a4c72&v=4
265775217,bsc,bnb-chain/bsc,Go,57,A BNB Smart Chain client based on the go-ethereum fork,1070,2117,https://avatars.githubusercontent.com/u/45615063?v=4
617152691,k8sgpt,k8sgpt-ai/k8sgpt,Go,1026,Giving Kubernetes Superpowers to everyone,204,2090,https://avatars.githubusercontent.com/u/128535266?v=4
544278340,xxim-server,cherish-chat/xxim-server,Go,1004,惺惺 —— 属于你的社交地盘！惺惺是一个100%开源社交平台，每个人都可以搭建自己的服务器，掌握数据的所有权。此APP非盈利项目！,187,1280,https://avatars.githubusercontent.com/u/114845784?v=4
526081371,go2rtc,AlexxIT/go2rtc,Go,201,"Ultimate camera streaming application with support RTSP, RTMP, HTTP-FLV, WebRTC, MSE, HLS, MP4, MJPEG, HomeKit, FFmpeg, etc.",69,1060,https://avatars.githubusercontent.com/u/511909?u=e204ee17a09c8f5949b1322cb26aa5700d7422ba&v=4
414333257,whatsmeow,tulir/whatsmeow,Go,70,Go library for the WhatsApp web multidevice API,208,1004,https://avatars.githubusercontent.com/u/4224639?v=4
