id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
70107786,next.js,vercel/next.js,JavaScript,1739,The React Framework,25201,114733,https://avatars.githubusercontent.com/u/14985020?v=4
157616880,iptv,iptv-org/iptv,JavaScript,1645,Collection of publicly available IPTV channels from all over the world,972,70637,https://avatars.githubusercontent.com/u/55937028?v=4
1861458,reveal.js,hakimel/reveal.js,JavaScript,494,The HTML Presentation Framework,16860,65156,https://avatars.githubusercontent.com/u/629429?u=89467ce33d305cdd20922cb190314e92562dc640&v=4
75104123,prettier,prettier/prettier,JavaScript,476,Prettier is an opinionated code formatter.,4124,47205,https://avatars.githubusercontent.com/u/25822731?v=4
92443980,drawio-desktop,jgraph/drawio-desktop,JavaScript,652,Official electron build of draw.io,4587,43832,https://avatars.githubusercontent.com/u/1769238?v=4
33263118,uBlock,gorhill/uBlock,JavaScript,1778,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,2937,39808,https://avatars.githubusercontent.com/u/585534?v=4
42283287,preact,preactjs/preact,JavaScript,319,⚛️ Fast 3kB React alternative with the same modern API. Components & Virtual DOM.,1972,35372,https://avatars.githubusercontent.com/u/26872990?v=4
92111509,trilium,zadam/trilium,JavaScript,497,Build your personal knowledge base with Trilium Notes,1577,23359,https://avatars.githubusercontent.com/u/617641?v=4
64700934,openzeppelin-contracts,OpenZeppelin/openzeppelin-contracts,JavaScript,242,OpenZeppelin Contracts is a library for secure smart contract development.,11704,23245,https://avatars.githubusercontent.com/u/20820676?v=4
110178895,brave-browser,brave/brave-browser,JavaScript,278,"Next generation Brave browser for Android, Linux, macOS, Windows.",2078,15926,https://avatars.githubusercontent.com/u/12301619?v=4
359379971,Clash-for-Windows_Chinese,Z-Siqi/Clash-for-Windows_Chinese,JavaScript,2425,"clash for windows汉化版. 提供clash for windows的汉化版, 汉化补丁及汉化版安装程序",1789,13116,https://avatars.githubusercontent.com/u/77391690?u=cb8d37d6538ec13fc101015c6dbf37f1d3f6f383&v=4
276008164,ios_rule_script,blackmatrix7/ios_rule_script,JavaScript,690,分流规则、重写写规则及脚本。,2116,12522,https://avatars.githubusercontent.com/u/27717518?u=d6899ff9f71f825ef4e85ece8b6d176afb6d24f8&v=4
189256120,OpenClash,vernesong/OpenClash,JavaScript,928,A Clash Client For OpenWrt,2542,12478,https://avatars.githubusercontent.com/u/42875168?v=4
123220152,FreeTube,FreeTubeApp/FreeTube,JavaScript,1360,An Open Source YouTube app for privacy,590,9772,https://avatars.githubusercontent.com/u/35975737?v=4
31771754,WebGoat,WebGoat/WebGoat,JavaScript,71,WebGoat is a deliberately insecure application,4626,6050,https://avatars.githubusercontent.com/u/7718244?v=4
601161044,transformers.js,xenova/transformers.js,JavaScript,846,"State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!",262,4694,https://avatars.githubusercontent.com/u/26504141?u=0e82815ed3ab279a77815adccc63b9d73725edde&v=4
547677901,theByteBook,isno/theByteBook,JavaScript,1939,⭐ 出版作品开源。深入讲解内核网络、Kubernetes、ServiceMesh、容器等云原生相关技术。经历实践检验的 DevOps、SRE指南。如发现错误，谢谢提issue,278,4628,https://avatars.githubusercontent.com/u/730705?u=0daf6cbe997ab574037f6a7cbda136d67a951352&v=4
702188183,RemoveAdblockThing,TheRealJoelmatic/RemoveAdblockThing,JavaScript,3548,"Removes The ""Ad blocker are not allowed on Youtube""",190,3933,https://avatars.githubusercontent.com/u/78729990?u=13fa1e48ad4d8a231264b34f69dda0eef5d53de4&v=4
599735720,3x-ui,MHSanaei/3x-ui,JavaScript,463,Xray panel supporting multi-protocol multi-user expire day & traffic & ip limit (Vmess & Vless & Trojan &  ShadowSocks),724,3876,https://avatars.githubusercontent.com/u/33454419?u=e7aaddb3ab5e0d1568f38d68c0d666df332d5bcd&v=4
304981340,idurar-erp-crm,idurar/idurar-erp-crm,JavaScript,2245,IDURAR Open Code Source ERP CRM Alternative to SalesForce | Node Js React AntD MERN,867,3779,https://avatars.githubusercontent.com/u/50052356?v=4
320850140,edgetunnel,zizifn/edgetunnel,JavaScript,455,Running V2ray inside edge/serverless runtime,12716,3503,https://avatars.githubusercontent.com/u/1803942?v=4
410808925,GOAD,Orange-Cyberdefense/GOAD,JavaScript,575,game of active directory,497,3405,https://avatars.githubusercontent.com/u/28656080?v=4
649170660,anything-llm,Mintplex-Labs/anything-llm,JavaScript,226,"Open-source ChatGPT equivalent experience for both open and close source LLMs, embedders, and vector databases. Supports unlimited documents, threads, and concurrent users and management all in a very clean UI.",364,2694,https://avatars.githubusercontent.com/u/134426827?v=4
601336741,SocialEcho,nz-m/SocialEcho,JavaScript,864,Social networking platform with automated content moderation and context-based authentication system,227,1102,https://avatars.githubusercontent.com/u/87283264?v=4
698350869,langserve,langchain-ai/langserve,JavaScript,518,LangServe 🦜️🏓,68,855,https://avatars.githubusercontent.com/u/126733545?v=4
