id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
507775,elasticsearch,elastic/elasticsearch,Java,616,"Free and Open, Distributed, RESTful Search Engine",24205,68055,https://avatars.githubusercontent.com/u/6764390?v=4
81975372,interviews,kdn251/interviews,Java,406,Everything you need to know to get the job.,12738,61867,https://avatars.githubusercontent.com/u/16903644?u=7ae585948bc92fb0986bc73b7d38660718aefff1&v=4
8859474,jadx,skylot/jadx,Java,630,Dex to Java decompiler,4669,39453,https://avatars.githubusercontent.com/u/118523?u=22c9766bcd42e7f4968002bb79141bbfc1e3ce5d&v=4
159152904,jeecg-boot,jeecgboot/jeecg-boot,Java,384,🔥「企业级低代码平台」前后端分离架构SpringBoot 2.x/3.x，SpringCloud，Ant Design&Vue，Mybatis，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新的开发模式OnlineCoding->代码生成->手工MERGE，帮助Java项目解决70%重复工作，让开发更关注业务，既能快速提高效率，帮助公司节省成本，同时又不失灵活性。,14306,38001,https://avatars.githubusercontent.com/u/86360035?v=4
126178683,halo,halo-dev/halo,Java,590,强大易用的开源建站工具。,9361,31901,https://avatars.githubusercontent.com/u/48195280?v=4
2211243,kafka,apache/kafka,Java,280,Mirror of Apache Kafka,13527,27499,https://avatars.githubusercontent.com/u/47359?v=4
594155488,Stirling-PDF,Stirling-Tools/Stirling-PDF,Java,4799,#1 Locally hosted web application that allows you to perform various operations on PDF files,1876,26389,https://avatars.githubusercontent.com/u/139791695?v=4
13862381,Telegram,DrKLO/Telegram,Java,222,Telegram for Android source,7753,23840,https://avatars.githubusercontent.com/u/69369?v=4
20773773,bazel,bazelbuild/bazel,Java,238,"a fast, scalable, multi-language and extensible build system",3929,22469,https://avatars.githubusercontent.com/u/11684617?v=4
89822531,Mindustry,Anuken/Mindustry,Java,306,The automation tower defense RTS,2838,21247,https://avatars.githubusercontent.com/u/10100000?u=614db4c9ac9d539c72840ca9c2b7e522efe1b0c1&v=4
11125589,keycloak,keycloak/keycloak,Java,420,Open Source Identity and Access Management For Modern Applications and Services,6295,20141,https://avatars.githubusercontent.com/u/4921466?v=4
283211901,SmartTube,yuliskov/SmartTube,Java,544,SmartTube - an advanced player for set-top boxes and tvs running Android OS,937,16486,https://avatars.githubusercontent.com/u/5897464?u=bcb1a508a8fdbf9da441be0db25672e42ad4ec64&v=4
335164964,dataease,dataease/dataease,Java,486,:fire: 人人可用的开源数据可视化分析工具，帆软、Tableau 等商业 BI 工具的开源替代。,2858,15512,https://avatars.githubusercontent.com/u/75054108?v=4
656227652,Chat2DB,chat2db/Chat2DB,Java,1356,🔥🔥🔥AI-driven data management platform Over 1 million developers are using Chat2DB,1540,13817,https://avatars.githubusercontent.com/u/131834193?v=4
311241324,Ehviewer_CN_SXJ,xiaojieonly/Ehviewer_CN_SXJ,Java,626,ehviewer，用爱发电，快乐前行,355,11473,https://avatars.githubusercontent.com/u/49278135?u=47f3db69acd9fc29374a82ad91323a3c3a51490a&v=4
120463532,COLA,alibaba/COLA,Java,181,🥤 COLA: Clean Object-oriented & Layered Architecture,2958,11338,https://avatars.githubusercontent.com/u/1961952?v=4
237867883,metersphere,metersphere/metersphere,Java,203,MeterSphere 一站式开源持续测试平台，为软件质量保驾护航。搞测试，就选 MeterSphere！,2460,10984,https://avatars.githubusercontent.com/u/56869043?v=4
99412308,seatunnel,apache/seatunnel,Java,247,"SeaTunnel is a next-generation super high-performance, distributed, massive data integration tool.",1606,7435,https://avatars.githubusercontent.com/u/47359?v=4
158256479,iceberg,apache/iceberg,Java,152,Apache Iceberg,2016,5627,https://avatars.githubusercontent.com/u/47359?v=4
455584258,hertzbeat,apache/hertzbeat,Java,444,"Apache HertzBeat(incubating) is a real-time monitoring system with agentless, performance cluster, prometheus-compatible, custom monitoring and status page building capabilities.",854,4939,https://avatars.githubusercontent.com/u/47359?v=4
277485800,CompreFace,exadel-inc/CompreFace,Java,497,Leading free and open-source face recognition system,592,4365,https://avatars.githubusercontent.com/u/51965010?v=4
232232349,sensitive-word,houbb/sensitive-word,Java,897, 👮‍♂️The sensitive word tool for java.(敏感词/违禁词/违法词/脏词。基于 DFA 算法实现的高性能 java 敏感词过滤工具框架。请勿发布涉及政治、广告、营销、翻墙、违反国家法律法规等内容。高性能敏感词检测过滤组件，附带繁体简体互换，支持全角半角互换，汉字转拼音，模糊搜索等功能。),467,3591,https://avatars.githubusercontent.com/u/18375710?u=5e06158e37b8c0b671c1df202e309eab00073d9d&v=4
754472143,oblivion,bepass-org/oblivion,Java,470,Unofficial warp client for android,313,2056,https://avatars.githubusercontent.com/u/146542574?v=4
474904289,LSPosed_mod,mywalkb/LSPosed_mod,Java,523,My changes to LSPosed,58,1394,https://avatars.githubusercontent.com/u/66966897?v=4
746093504,Tubular,polymorphicshade/Tubular,Java,258,A fork of NewPipe that implements SponsorBlock and ReturnYouTubeDislike.,23,938,https://avatars.githubusercontent.com/u/32504507?u=db7f46d749ce60ab8c1526e928fca2550e7ce6d3&v=4
