id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
8514,rails,rails/rails,Ruby,270,Ruby on Rails,21420,55298,https://avatars.githubusercontent.com/u/4223?v=4
65252,jekyll,jekyll/jekyll,Ruby,197,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,9919,48615,https://avatars.githubusercontent.com/u/3083652?v=4
52281283,mastodon,mastodon/mastodon,Ruby,275,"Your self-hosted, globally interconnected microblogging community",6797,46373,https://avatars.githubusercontent.com/u/24979032?v=4
7569578,discourse,discourse/discourse,Ruby,316,"A platform for community discussion. Free, open, simple.",8204,41137,https://avatars.githubusercontent.com/u/3220138?v=4
27442967,fastlane,fastlane/fastlane,Ruby,160,🚀 The easiest way to automate building and releasing your iOS and Android apps,5642,38854,https://avatars.githubusercontent.com/u/11098337?v=4
13840241,devdocs,freeCodeCamp/devdocs,Ruby,226,API Documentation Browser,2287,34285,https://avatars.githubusercontent.com/u/9892522?v=4
2293158,metasploit-framework,rapid7/metasploit-framework,Ruby,295,Metasploit Framework,13802,33287,https://avatars.githubusercontent.com/u/1013671?v=4
737898780,maybe,maybe-finance/maybe,Ruby,1652,The OS for your personal finances,2189,28716,https://avatars.githubusercontent.com/u/80786585?v=4
2500088,gitlabhq,gitlabhq/gitlabhq,Ruby,60,GitLab CE Mirror | Please open new issues in our issue tracker on GitLab.com,5715,23678,https://avatars.githubusercontent.com/u/1086321?v=4
73648678,forem,forem/forem,Ruby,102,For empowering community 🌱,3970,21742,https://avatars.githubusercontent.com/u/65030610?v=4
88740103,postal,postalserver/postal,Ruby,112,📮 A fully featured open source mail delivery platform for incoming & outgoing e-mail,1017,14413,https://avatars.githubusercontent.com/u/58169103?v=4
52855516,homebrew-core,Homebrew/homebrew-core,Ruby,100,🍻 Default formulae for the missing package manager for macOS (or Linux),12178,13396,https://avatars.githubusercontent.com/u/1503512?v=4
3195124,sidekiq,sidekiq/sidekiq,Ruby,45,"Simple, efficient background processing for Ruby",2392,13037,https://avatars.githubusercontent.com/u/124714131?v=4
3314,spree,spree/spree,Ruby,53,An open source eCommerce platform giving you full control and customizability. Modular and API-first. Build any eCommerce solution that your business requires.,4922,12746,https://avatars.githubusercontent.com/u/56702?v=4
15435,liquid,Shopify/liquid,Ruby,59,"Liquid markup language. Safe, customer facing template language for flexible web apps. ",1371,10926,https://avatars.githubusercontent.com/u/8085?v=4
361310,capybara,teamcapybara/capybara,Ruby,16,Acceptance test framework for web applications,1445,9991,https://avatars.githubusercontent.com/u/23465623?v=4
661850205,docuseal,docusealco/docuseal,Ruby,220,"Open source DocuSign alternative. Create, fill, and sign digital documents ✍️",373,5622,https://avatars.githubusercontent.com/u/138379721?v=4
447184,rspec-rails,rspec/rspec-rails,Ruby,11,RSpec for Rails 6+,1027,5138,https://avatars.githubusercontent.com/u/22388?v=4
96071,rack,rack/rack,Ruby,17,A modular Ruby web server interface.,1631,4861,https://avatars.githubusercontent.com/u/42379?v=4
10088951,theodinproject,TheOdinProject/theodinproject,Ruby,61,Main Website for The Odin Project,2057,3556,https://avatars.githubusercontent.com/u/4441966?v=4
2725544,Xcodeproj,CocoaPods/Xcodeproj,Ruby,7,Create and modify Xcode projects from Ruby.,452,2321,https://avatars.githubusercontent.com/u/1189714?v=4
641512,openstreetmap-website,openstreetmap/openstreetmap-website,Ruby,35,The Rails application that powers OpenStreetMap,907,2085,https://avatars.githubusercontent.com/u/261431?v=4
270054,ffi,ffi/ffi,Ruby,6,Ruby FFI,333,2068,https://avatars.githubusercontent.com/u/111990?v=4
66497320,dd-trace-rb,DataDog/dd-trace-rb,Ruby,5,Datadog Tracing Ruby Client,368,299,https://avatars.githubusercontent.com/u/365230?v=4
