id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
2561582,animate.css,animate-css/animate.css,CSS,242,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,16235,80877,https://avatars.githubusercontent.com/u/64791939?v=4
50264296,bulma,jgthms/bulma,CSS,164,Modern CSS framework based on Flexbox,3951,49379,https://avatars.githubusercontent.com/u/1254808?u=1d9df343bac6f57e7bff85f0074aac2de34f5dcc&v=4
5362524,source-code-pro,adobe-fonts/source-code-pro,CSS,68,Monospaced font family for user interface and coding environments,1623,19922,https://avatars.githubusercontent.com/u/4028872?v=4
13099301,flag-icons,lipis/flag-icons,CSS,104,:flags: A curated collection of all country flags in SVG — plus the CSS for easier integration,1860,10764,https://avatars.githubusercontent.com/u/125676?u=ed6b72344fe5cb2195b3e213b2ee5be905bd2766&v=4
49767244,primeng,primefaces/primeng,CSS,249,The Most Complete Angular UI Component Library,4614,10578,https://avatars.githubusercontent.com/u/3494069?v=4
17317349,devicon,devicons/devicon,CSS,151,"Set of icons representing programming languages, designing & development tools",2325,9942,https://avatars.githubusercontent.com/u/66767815?v=4
256372328,98.css,jdan/98.css,CSS,587,A design system for building faithful recreations of old UIs,311,9650,https://avatars.githubusercontent.com/u/287268?u=347d0461fd75313f8a5d8b8835272cb643b4f2e2&v=4
7517918,spring-petclinic,spring-projects/spring-petclinic,CSS,119,A sample Spring-based application,23921,7776,https://avatars.githubusercontent.com/u/317776?v=4
141040549,seeker,thewhiteh4t/seeker,CSS,169,Accurately Locate Smartphones using Social Engineering ,1723,7213,https://avatars.githubusercontent.com/u/36354846?u=99d06a9237c301569774dac1c70218d5c032773a&v=4
114846052,WebStackPage.github.io,WebStackPage/WebStackPage.github.io,CSS,89,❤️静态响应式网址导航网站 - webstack.cc,1828,6438,https://avatars.githubusercontent.com/u/34702247?v=4
264441033,missing-semester-cn.github.io,missing-semester-cn/missing-semester-cn.github.io,CSS,95,the CS missing semester Chinese version,990,6272,https://avatars.githubusercontent.com/u/65452715?v=4
204008310,spicetify-themes,spicetify/spicetify-themes,CSS,72,A community-driven collection of themes for customizing Spotify through Spicetify - https://github.com/spicetify/cli,1271,5101,https://avatars.githubusercontent.com/u/100136310?v=4
31803814,home,rime/home,CSS,38,Rime::Home is home to Rime users and developers,233,4296,https://avatars.githubusercontent.com/u/10554324?v=4
154688866,Practical-Cryptography-for-Developers-Book,nakov/Practical-Cryptography-for-Developers-Book,CSS,45,"Practical Cryptography for Developers: Hashes, MAC, Key Derivation, DHKE, Symmetric and Asymmetric Ciphers, Public Key Cryptosystems, RSA, Elliptic Curves, ECC, secp256k1, ECDH, ECIES, Digital Signatures, ECDSA, EdDSA",423,3479,https://avatars.githubusercontent.com/u/1689586?u=be71e2d55bb9301571872a130c302a9d840f1fae&v=4
154024534,firefox-csshacks,MrOtherGuy/firefox-csshacks,CSS,105,Collection of userstyles affecting the browser,325,3381,https://avatars.githubusercontent.com/u/31620503?v=4
749283842,ArcWTF,KiKaraage/ArcWTF,CSS,150,"A userChrome.css theme to bring Arc Browser look on Windows to Firefox. Work with Windows, Linux and macOS ✨",28,1326,https://avatars.githubusercontent.com/u/10529881?u=0a7650315a81fbb3206dee62995b702a7fb3f557&v=4
668453226,hextra,imfing/hextra,CSS,69,"🔯 Modern, batteries-included Hugo theme for creating beautiful doc, blog and static websites",174,728,https://avatars.githubusercontent.com/u/5097752?u=2c29af47e2785926f25bb4745bd63c7e3ea8482d&v=4
384492447,mingw-w64.github.io,mingw-w64/mingw-w64.github.io,CSS,22,mingw-w64.net web page contents (The new web page),1457,614,https://avatars.githubusercontent.com/u/12658362?v=4
718619996,amplify-next-template,aws-samples/amplify-next-template,CSS,18,This is a Next.js starter for building a fullstack app with AWS Amplify.,2977,92,https://avatars.githubusercontent.com/u/8931462?v=4
