id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
1863329,laravel,laravel/laravel,PHP,449,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things.",24184,79606,https://avatars.githubusercontent.com/u/958072?v=4
332880689,coolify,coollabsio/coolify,PHP,1116,An open-source & self-hostable Heroku / Netlify / Vercel alternative.,2158,37317,https://avatars.githubusercontent.com/u/60715044?v=4
458058,symfony,symfony/symfony,PHP,148,The Symfony PHP framework,9549,30007,https://avatars.githubusercontent.com/u/143937?v=4
60243197,server,nextcloud/server,PHP,742,"☁️ Nextcloud server, a safe home for all your data",4178,28597,https://avatars.githubusercontent.com/u/19211038?v=4
248372441,filament,filamentphp/filament,PHP,853,"A collection of beautiful full-stack components for Laravel. The perfect starting point for your next app. Using Livewire, Alpine.js and Tailwind CSS.",3200,21445,https://avatars.githubusercontent.com/u/64450473?v=4
2253830,PHPMailer,PHPMailer/PHPMailer,PHP,91,The classic email sending library for PHP,9761,21248,https://avatars.githubusercontent.com/u/3959702?v=4
1548202,matomo,matomo-org/matomo,PHP,148,Empowering People Ethically with the leading open source alternative to Google Analytics that gives you full control over your data. Matomo lets you easily collect data from websites & apps and visualise this data and extract insights. Privacy is built-in. Liberating Web Analytics. Star us on Github? +1.  And we love Pull Requests! ,2687,20208,https://avatars.githubusercontent.com/u/698038?v=4
21298446,firefly-iii,firefly-iii/firefly-iii,PHP,1071,Firefly III: a personal finances manager,1596,18007,https://avatars.githubusercontent.com/u/22821986?v=4
61490598,PhpSpreadsheet,PHPOffice/PhpSpreadsheet,PHP,63,A pure PHP library for reading and writing spreadsheet files,3516,13498,https://avatars.githubusercontent.com/u/1836015?v=4
42480275,laravel-permission,spatie/laravel-permission,PHP,66,Associate users with roles and permissions,1795,12338,https://avatars.githubusercontent.com/u/7535935?v=4
2179920,woocommerce,woocommerce/woocommerce,PHP,95,"A customizable, open-source ecommerce platform built on WordPress. Build any commerce solution you can imagine.",10762,9573,https://avatars.githubusercontent.com/u/473596?v=4
12204147,mautic,mautic/mautic,PHP,125,Mautic: Open Source Marketing Automation Software.,2720,7655,https://avatars.githubusercontent.com/u/5257677?v=4
129829848,pixelfed,pixelfed/pixelfed,PHP,601,Photo Sharing. For Everyone.,743,6360,https://avatars.githubusercontent.com/u/38410642?v=4
4224042,roundcubemail,roundcube/roundcubemail,PHP,74,The Roundcube Webmail suite,1658,6072,https://avatars.githubusercontent.com/u/1432918?v=4
1957456,dolibarr,Dolibarr/dolibarr,PHP,108,"Dolibarr ERP CRM is a modern software package to manage your company or foundation's activity (contacts, suppliers, invoices, orders, stocks, agenda, accounting, ...). it's an open source Web application (written in PHP) designed for businesses of any sizes, foundations and freelancers.",2870,5722,https://avatars.githubusercontent.com/u/877491?v=4
541322916,client,openai-php/client,PHP,81,⚡️ OpenAI PHP is a supercharged community-maintained PHP API client that allows you to interact with OpenAI API.,551,5137,https://avatars.githubusercontent.com/u/114351357?v=4
744080913,solidtime,solidtime-io/solidtime,PHP,1952,Modern open-source time-tracking app,223,4597,https://avatars.githubusercontent.com/u/156823565?v=4
39182755,glpi,glpi-project/glpi,PHP,93,"GLPI is a Free Asset and IT Management Software package, Data center management, ITIL Service Desk, licenses tracking and software auditing.",1345,4532,https://avatars.githubusercontent.com/u/13361707?v=4
55801807,shlink,shlinkio/shlink,PHP,152,The definitive self-hosted URL shortener,291,3600,https://avatars.githubusercontent.com/u/20341790?v=4
27965134,core,opnsense/core,PHP,107,"OPNsense GUI, API and systems backend",779,3568,https://avatars.githubusercontent.com/u/9979117?v=4
679584,openemr,openemr/openemr,PHP,48,The most popular open source electronic health records and medical practice management solution.,2244,3292,https://avatars.githubusercontent.com/u/283089?v=4
131995661,shopware,shopware/shopware,PHP,50,Shopware 6 is an open commerce platform based on Symfony Framework and Vue and supported by a worldwide community and more than 1.500 community extensions,1055,2936,https://avatars.githubusercontent.com/u/612628?v=4
709147463,Hi.Events,HiEventsDev/Hi.Events,PHP,237,"Open-source event management and ticket selling platform. Perfect for concerts, conferences, and everything in between 🎟️",268,2594,https://avatars.githubusercontent.com/u/148843671?v=4
