"id","name","lang","new stars"
"83222441","donnemartin/system-design-primer","Python","1121"
"3638964","ansible/ansible","Python","164"
"83844720","ageitgey/face_recognition","Python","309"
"191113739","0voice/interview_internal_reference","Python","187"
"83119431","apachecn/AiLearning","Python","168"
"155220641","huggingface/transformers","Python","415"
"145553672","fighting41love/funNLP","Python","244"
"19745004","odoo/odoo","Python","137"
"107595270","matterport/Mask_RCNN","Python","99"
"136026789","iperov/DeepFaceLab","Python","238"
"71220757","swisskyrepo/PayloadsAllTheThings","Python","254"
"66424871","pytorch/examples","Python","110"
"162998479","sherlock-project/sherlock","Python","334"
"92238803","openai/baselines","Python","57"
"65593050","h2y/Shadowrocket-ADBlock-Rules","Python","164"
"192155460","dragen1860/Deep-Learning-with-TensorFlow-book","Python","142"
"154739597","google/jax","Python","278"
"178626720","PyTorchLightning/pytorch-lightning","Python","130"
"132300505","Jrohy/multi-v2ray","Python","101"
"213020264","google/trax","Python","1452"
"222183074","jackzhenguo/python-small-examples","Python","717"
"158171016","KubeOperator/KubeOperator","Python","58"
"172227885","tiangolo/full-stack-fastapi-postgresql","Python","75"
"240491830","snooppr/snoop","Python","324"
"228862561","rachpt/lanzou-gui","Python","75"
