id,name,lang,new stars
132464395,Snailclimb/JavaGuide,Java,663
18408635,chrislgarry/Apollo-11,Assembly,1208
23357588,protocolbuffers/protobuf,C++,149
20904437,gin-gonic/gin,Go,255
127988011,macrozheng/mall,Java,398
64558143,Blankj/AndroidUtilCode,Java,64
112567264,iikira/BaiduPCS-Go,Go,532
17372733,OAI/OpenAPI-Specification,,132
79162682,laurent22/joplin,JavaScript,607
136026789,iperov/DeepFaceLab,Python,238
16157746,dotnet/efcore,C#,98
102578345,coolsnowwolf/lede,C,391
147667687,pwn20wndstuff/Undecimus,C,133
191820100,google/mediapipe,C++,329
61137153,evanw/esbuild,Go,2980
213020264,google/trax,Python,1452
107937815,awslabs/amazon-sagemaker-examples,Jupyter Notebook,120
209921402,newbee-ltd/newbee-mall,Java,127
240091489,twostraws/ControlRoom,Swift,743
46398090,linkedin/datahub,TypeScript,164
119285689,aamini/introtodeeplearning,Jupyter Notebook,320
141389743,killgcd/chromego,Rich Text Format,87
238316428,CSSEGISandData/COVID-19,,364
156776442,trojan-gfw/igniter,Java,171
231891986,jethrokuan/org-roam,Emacs Lisp,170
