id,name,lang,new stars
44838949,apple/swift,C++,138
22887094,tesseract-ocr/tesseract,C++,152
15634981,godotengine/godot,C++,288
27729880,grpc/grpc,C++,172
22067521,ocornut/imgui,C++,152
11171548,nlohmann/json,C++,116
184456251,microsoft/PowerToys,C++,916
6934395,facebook/rocksdb,C++,74
39840932,google/googletest,C++,146
60246359,ClickHouse/ClickHouse,C++,92
23129458,aseprite/aseprite,C++,121
7056202,fmtlib/fmt,C++,73
34777562,ossrs/srs,C++,129
47690142,CoatiSoftware/Sourcetrail,C++,100
40892817,ethereum/solidity,C++,29
52729242,keepassxreboot/keepassxc,C++,93
2200856,MarlinFirmware/Marlin,C++,64
39211337,flutter/engine,C++,36
5973855,CleverRaven/Cataclysm-DDA,C++,46
7454197,YosysHQ/yosys,C++,20
86897963,xiongziliang/ZLMediaKit,C++,39
168947928,Errichto/youtube,C++,120
97811675,CatxFish/obs-virtual-cam,C++,93
234961536,vcg-uvic/viper,C++,471
251647424,AmboVent/AmboVent,C++,73
