id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
1903522,php-src,php/php-src,C,49,The PHP Interpreter,6784,31116,|{'html_url': 'https://github.com/php/php-src', 'avatar_url': 'https://avatars.githubusercontent.com/u/1903522?v=4', 'login': 'php-src'}|
1614410,FFmpeg,FFmpeg/FFmpeg,C,101,Mirror of https://git.ffmpeg.org/ffmpeg.git,8585,25736,|{'html_url': 'https://github.com/FFmpeg/FFmpeg', 'avatar_url': 'https://avatars.githubusercontent.com/u/1614410?v=4', 'login': 'FFmpeg'}|
102578345,lede,coolsnowwolf/lede,C,114,Lean's OpenWrt source,14769,17348,|{'html_url': 'https://github.com/coolsnowwolf/lede', 'avatar_url': 'https://avatars.githubusercontent.com/u/102578345?v=4', 'login': 'lede'}|
80286288,Tasmota,arendst/Tasmota,C,380,|Alternative firmware for ESP8266 with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at|,3463,15954,|{'html_url': 'https://github.com/arendst/Tasmota', 'avatar_url': 'https://avatars.githubusercontent.com/u/80286288?v=4', 'login': 'Tasmota'}|
196353673,TDengine,taosdata/TDengine,C,35,An open-source big data platform designed and optimized for the Internet of Things (IoT).,3988,15825,|{'html_url': 'https://github.com/taosdata/TDengine', 'avatar_url': 'https://avatars.githubusercontent.com/u/196353673?v=4', 'login': 'TDengine'}|
11715753,masscan,robertdavidgraham/masscan,C,59,|TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes.|,2469,15673,|{'html_url': 'https://github.com/robertdavidgraham/masscan', 'avatar_url': 'https://avatars.githubusercontent.com/u/11715753?v=4', 'login': 'masscan'}|
6201092,mpv,mpv-player/mpv,C,68,🎥 Command line video player,1974,15639,|{'html_url': 'https://github.com/mpv-player/mpv', 'avatar_url': 'https://avatars.githubusercontent.com/u/6201092?v=4', 'login': 'mpv'}|
45821540,openwrt,openwrt/openwrt,C,53,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins or for reporting issues.  We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git. All issues should be reported at: https://bugs.openwrt.org,6074,9224,|{'html_url': 'https://github.com/openwrt/openwrt', 'avatar_url': 'https://avatars.githubusercontent.com/u/45821540?v=4', 'login': 'openwrt'}|
179354282,OpenCorePkg,acidanthera/OpenCorePkg,C,55,OpenCore bootloader,1378,7788,|{'html_url': 'https://github.com/acidanthera/OpenCorePkg', 'avatar_url': 'https://avatars.githubusercontent.com/u/179354282?v=4', 'login': 'OpenCorePkg'}|
13836499,raylib,raysan5/raylib,C,52,A simple and easy-to-use library to enjoy videogames programming,808,6980,|{'html_url': 'https://github.com/raysan5/raylib', 'avatar_url': 'https://avatars.githubusercontent.com/u/13836499?v=4', 'login': 'raylib'}|
1979797,FreeRDP,FreeRDP/FreeRDP,C,23,FreeRDP is a free remote desktop protocol library and clients,6779,5457,|{'html_url': 'https://github.com/FreeRDP/FreeRDP', 'avatar_url': 'https://avatars.githubusercontent.com/u/1979797?v=4', 'login': 'FreeRDP'}|
