"id","name","full_name","language","new stars","description","forks_count","stargazers_count","avatar_url"
"1700621","normalize.css","necolas/normalize.css","CSS","145","A modern alternative to CSS resets","10140","44914","https://avatars.githubusercontent.com/u/239676?u=bc5384b5b8e480d93c83ea4b99e3ff239f3564fd&v=4"
"3327382","_s","Automattic/_s","CSS","9","Hi. I'm a starter theme called _s, or underscores, if you like. I'm a theme meant for hacking so don't use me as a Parent Theme. Instead try turning me into the next, most awesome, WordPress theme out there. That's what I'm here for.","3103","10375","https://avatars.githubusercontent.com/u/887802?v=4"
"313330998","50projects50days","bradtraversy/50projects50days","CSS","425","50+ mini web projects using HTML, CSS & JS","1986","8325","https://avatars.githubusercontent.com/u/5550850?u=819e4404506d906d5113cc352b560fcfd242cce3&v=4"
"126420325","gridea","getgridea/gridea","CSS","29","✍️A static blog writing client (一个静态博客写作客户端)","622","7564","https://avatars.githubusercontent.com/u/46315806?v=4"
"49767244","primeng","primefaces/primeng","CSS","17","The Most Complete Angular UI Component Library","3497","6877","https://avatars.githubusercontent.com/u/3494069?v=4"
"179574410","water.css","kognise/water.css","CSS","22","A drop-in collection of CSS styles to make simple websites just a little nicer","333","6410","https://avatars.githubusercontent.com/u/42556441?u=8b7c857e8190431a634a5ba4cd37d5e1ddaa68ca&v=4"
"15400220","progit2","progit/progit2","CSS","8","Pro Git 2nd Edition","1796","4354","https://avatars.githubusercontent.com/u/95588?v=4"
"41443539","vscode-docs","microsoft/vscode-docs","CSS","11","Public documentation for Visual Studio Code","3238","3869","https://avatars.githubusercontent.com/u/6154722?v=4"
"25017096","transmission-web-control","ronggang/transmission-web-control","CSS","16","一个 Transmission 浏览器管理界面。Transmission Web Control is a custom web UI.","643","3223","https://avatars.githubusercontent.com/u/8065899?u=198f4621f13637e5dfd6a70e4c3b2cdfd370cb7e&v=4"
"107962707","advanced-css-course","jonasschmedtmann/advanced-css-course","CSS","22","Starter files, final projects and FAQ for my Advanced CSS course","3779","3096","https://avatars.githubusercontent.com/u/18718850?u=9e3b84d1871a03690c758df5b5e9b967223a6def&v=4"
"114846052","WebStackPage.github.io","WebStackPage/WebStackPage.github.io","CSS","19","❤️静态响应式网址导航网站 - webstack.cc","877","2717","https://avatars.githubusercontent.com/u/34702247?v=4"
"361647128","Firefox-UI-Fix","black7375/Firefox-UI-Fix","CSS","144","🦊 I respect proton UI and aim to improve it.","74","2713","https://avatars.githubusercontent.com/u/25581533?u=f6993f176b7d8c95ca247234efce60bd6076eecb&v=4"
"234033679","the-economist-ebooks","hehonghui/the-economist-ebooks","CSS","40","经济学人(含音频)、纽约客、自然、新科学人、卫报、科学美国人、连线、大西洋月刊、新闻周刊、国家地理等英语杂志免费下载、订阅(kindle推送),支持epub、mobi、pdf格式, 每周更新. The Economist 、The New Yorker 、Nature、The Atlantic 、New Scientist、The Guardian、Scientific American、Wired、Newsweek magazines, free download and subscription for kindle, mobi、epub、pdf format.","484","2481","https://avatars.githubusercontent.com/u/1683811?u=4fdd12c8f8685ef1ce1b9d798bfbd6f86bd4b397&v=4"
"142394932","Cnblogs-Theme-SimpleMemory","BNDong/Cnblogs-Theme-SimpleMemory","CSS","22","🍭　Cnblogs theme _ Basic theme :  SimpleMemory","1162","2451","https://avatars.githubusercontent.com/u/21150911?u=f11a8a875a8c3dbf18bc7fa8d8345ed33522c053&v=4"
"160313905","primevue","primefaces/primevue","CSS","22","The Most Complete Vue UI Component Library","282","1475","https://avatars.githubusercontent.com/u/3494069?v=4"
"228877522","app","simple-login/app","CSS","21","The SimpleLogin back-end","142","1436","https://avatars.githubusercontent.com/u/51910064?v=4"
"39698170","AdminLTE","pi-hole/AdminLTE","CSS","13","Pi-hole Dashboard for stats and more","427","1281","https://avatars.githubusercontent.com/u/16827203?v=4"
"54111104","hugo-theme-learn","matcornic/hugo-theme-learn","CSS","5","Porting Grav Learn theme to Hugo","1045","1238","https://avatars.githubusercontent.com/u/3520706?u=de770762862e0ef5871342dbf462af48263c4d86&v=4"
"299116052","react-projects","john-smilga/react-projects","CSS","32","","1268","1215","https://avatars.githubusercontent.com/u/42133389?u=9d63b6d71fba139347cddf2c840a858c8ff97168&v=4"
"329751286","youtube","safak/youtube","CSS","45","","464","541","https://avatars.githubusercontent.com/u/1486366?u=c367d218a8cf89ad09c3dbfb3c7ad7a929142f20&v=4"
"232484671","DrakeTyporaTheme","liangjingkanji/DrakeTyporaTheme","CSS","16","🍙  best typora theme","50","291","https://avatars.githubusercontent.com/u/21078112?u=d1ce6e7bf732ea1b73f02e0554c45c8a86139d52&v=4"
"322213362","Storm-Breaker","ultrasecurity/Storm-Breaker","CSS","19","Tool social engineering [Access Webcam & Microphone & Os Password Grabber & Location Finder] With Ngrok","91","224","https://avatars.githubusercontent.com/u/34939571?u=d36532f30e193f3bbf304a191883ae3911a7528c&v=4"
"236794016","IoTDemos","Azure-Samples/IoTDemos","CSS","10","Demos created by the IoT Engineering team that showcase IoT services in an end-to-end solution","44","97","https://avatars.githubusercontent.com/u/1844662?v=4"
"298352355","html-css-js-website-smooth-scroll","briancodex/html-css-js-website-smooth-scroll","CSS","0","Simple website created using HTML, CSS & Javascript with smooth scroll effect","111","60","https://avatars.githubusercontent.com/u/62127078?u=a5705992816a7ae4e365b23dcc3888821c7085b6&v=4"
"199519747","album-search","lighthouse-labs/album-search","CSS","0","","200","3","https://avatars.githubusercontent.com/u/5753105?v=4"
