id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
32484381,free-for-dev,ripienaar/free-for-dev,HTML,130,|A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev|,5217,48428,|{'html_url': 'https://github.com/ripienaar/free-for-dev', 'avatar_url': 'https://avatars.githubusercontent.com/u/32484381?v=4', 'login': 'free-for-dev'}|
63484632,fastText,facebookresearch/fastText,HTML,27,Library for fast text representation and classification.,4385,22837,|{'html_url': 'https://github.com/facebookresearch/fastText', 'avatar_url': 'https://avatars.githubusercontent.com/u/63484632?v=4', 'login': 'fastText'}|
224663696,alpine,alpinejs/alpine,HTML,173,|A rugged, minimal framework for composing JavaScript behavior in your markup. |,753,17886,|{'html_url': 'https://github.com/alpinejs/alpine', 'avatar_url': 'https://avatars.githubusercontent.com/u/224663696?v=4', 'login': 'alpine'}|
39575101,blog_os,phil-opp/blog_os,HTML,45,Writing an OS in Rust,603,7579,|{'html_url': 'https://github.com/phil-opp/blog_os', 'avatar_url': 'https://avatars.githubusercontent.com/u/39575101?v=4', 'login': 'blog_os'}|
57165232,wowchemy-hugo-modules,wowchemy/wowchemy-hugo-modules,HTML,22,|🔥 The website builder for Hugo. No code, build with widgets! 创建在线课程，学术简历或初创网站。|,2505,5777,|{'html_url': 'https://github.com/wowchemy/wowchemy-hugo-modules', 'avatar_url': 'https://avatars.githubusercontent.com/u/57165232?v=4', 'login': 'wowchemy-hugo-modules'}|
244452551,data-science-interviews,alexeygrigorev/data-science-interviews,HTML,24,Data science interview questions and answers,928,4387,|{'html_url': 'https://github.com/alexeygrigorev/data-science-interviews', 'avatar_url': 'https://avatars.githubusercontent.com/u/244452551?v=4', 'login': 'data-science-interviews'}|
7590028,boost,boostorg/boost,HTML,18,Super-project for modularized Boost,1249,4291,|{'html_url': 'https://github.com/boostorg/boost', 'avatar_url': 'https://avatars.githubusercontent.com/u/7590028?v=4', 'login': 'boost'}|
16577072,documentation,raspberrypi/documentation,HTML,261,The official documentation for Raspberry Pi computers and microcontrollers,1759,4263,|{'html_url': 'https://github.com/raspberrypi/documentation', 'avatar_url': 'https://avatars.githubusercontent.com/u/16577072?v=4', 'login': 'documentation'}|
246128823,html-css,gustavoguanabara/html-css,HTML,66,Curso de HTML5 e CSS3,1083,3896,|{'html_url': 'https://github.com/gustavoguanabara/html-css', 'avatar_url': 'https://avatars.githubusercontent.com/u/246128823?v=4', 'login': 'html-css'}|
79055279,craftinginterpreters,munificent/craftinginterpreters,HTML,49,Repository for the book "Crafting Interpreters",457,3772,|{'html_url': 'https://github.com/munificent/craftinginterpreters', 'avatar_url': 'https://avatars.githubusercontent.com/u/79055279?v=4', 'login': 'craftinginterpreters'}|
3618133,wpt,web-platform-tests/wpt,HTML,26,|Test suites for Web platform specs — including WHATWG, W3C, and others|,2392,3396,|{'html_url': 'https://github.com/web-platform-tests/wpt', 'avatar_url': 'https://avatars.githubusercontent.com/u/3618133?v=4', 'login': 'wpt'}|
