"id","name","full_name","language","new stars","description","forks_count","stargazers_count","avatar_url"
"155220641","transformers","huggingface/transformers","Python","611","🤗 Transformers: State-of-the-art Natural Language Processing for Pytorch, TensorFlow, and JAX.","11835","49894","https://avatars.githubusercontent.com/u/25720743?v=4"
"81598961","cpython","python/cpython","Python","156","The Python programming language","19723","39548","https://avatars.githubusercontent.com/u/1525981?v=4"
"32689863","manim","3b1b/manim","Python","669","Animation engine for explanatory math videos","4212","36383","https://avatars.githubusercontent.com/u/11601040?u=ccd223915efaad0958c195ce57bf46ab40d67873&v=4"
"220809393","rich","willmcgugan/rich","Python","331","Rich is a Python library for rich text and beautiful formatting in the terminal.","858","28103","https://avatars.githubusercontent.com/u/554369?u=8015a7d742d8bd7ee9d1efe30c138737d6098cd3&v=4"
"65711522","Paddle","PaddlePaddle/Paddle","Python","84","PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）","3948","16257","https://avatars.githubusercontent.com/u/23534030?v=4"
"262296122","PaddleOCR","PaddlePaddle/PaddleOCR","Python","779","Awesome multilingual OCR toolkits based on PaddlePaddle （practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices）","2988","14397","https://avatars.githubusercontent.com/u/23534030?v=4"
"154739597","jax","google/jax","Python","198","Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more","1286","13843","https://avatars.githubusercontent.com/u/1342004?v=4"
"70908208","rasa","RasaHQ/rasa","Python","474","💬   Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants","3655","12486","https://avatars.githubusercontent.com/u/21214473?v=4"
"91629816","freqtrade","freqtrade/freqtrade","Python","101","Free, open source crypto trading bot","2435","10386","https://avatars.githubusercontent.com/u/37536846?v=4"
"30102273","Mobile-Security-Framework-MobSF","MobSF/Mobile-Security-Framework-MobSF","Python","54","Mobile Security Framework (MobSF) is an automated, all-in-one mobile application (Android/iOS/Windows) pen-testing, malware analysis and security assessment framework capable of performing static and dynamic analysis.","2261","9564","https://avatars.githubusercontent.com/u/25052637?v=4"
"77276660","sigma","SigmaHQ/sigma","Python","33","Generic Signature Format for SIEM Systems","1121","3944","https://avatars.githubusercontent.com/u/79842123?v=4"
"355959597","textual","willmcgugan/textual","Python","2215","Textual is a TUI (Text User Interface) framework for Python inspired by modern web development.","72","3659","https://avatars.githubusercontent.com/u/554369?u=8015a7d742d8bd7ee9d1efe30c138737d6098cd3&v=4"
"100263581","python-binance","sammchardy/python-binance","Python","33","Binance Exchange API python implementation for automated trading","1557","3616","https://avatars.githubusercontent.com/u/6649065?v=4"
"216525919","wtv","biancangming/wtv","Python","141","解决电脑、手机看电视直播的苦恼，收集各种直播源，电视直播网站","602","3610","https://avatars.githubusercontent.com/u/42108047?v=4"
"347502287","mesh-transformer-jax","kingoflolz/mesh-transformer-jax","Python","492","Model parallel transformers in JAX and Haiku","247","2669","https://avatars.githubusercontent.com/u/8016247?v=4"
"246183538","Practical-Ethical-Hacking-Resources","TCM-Course-Resources/Practical-Ethical-Hacking-Resources","Python","606","Compilation of Resources from TCM's Practical Ethical Hacking Udemy Course","571","2450","https://avatars.githubusercontent.com/u/74793658?v=4"
"36803364","shuup","shuup/shuup","Python","52","E-Commerce Platform","879","1717","https://avatars.githubusercontent.com/u/12714852?v=4"
"365517762","External-Attention-pytorch","xmu-xiaoma666/External-Attention-pytorch","Python","220","🍀 Pytorch implementation of various Attention Mechanisms, MLP, Re-parameter, Convolution, which is helpful to further understand papers.⭐⭐⭐","277","1451","https://avatars.githubusercontent.com/u/33897496?u=759226054e4ca0748dbd9792cb02e3882eff0c7c&v=4"
"307260205","yt-dlp","yt-dlp/yt-dlp","Python","127","A youtube-dl fork with additional features and fixes","159","1420","https://avatars.githubusercontent.com/u/79589310?v=4"
"24128688","Fantasy-Premier-League","vaastav/Fantasy-Premier-League","Python","12","Creates a .csv file of all players in the English Player League with their respective team and total fantasy points","546","865","https://avatars.githubusercontent.com/u/6758381?u=0e6a9d9692f2d96f5d2bc73f84b0c69fad29f11c&v=4"
"390328218","ShuiZe_0x727","0x727/ShuiZe_0x727","Python","193","信息收集自动化工具","139","863","https://avatars.githubusercontent.com/u/87968663?v=4"
"383424499","korea-covid-19-remaining-vaccine-macro","SJang1/korea-covid-19-remaining-vaccine-macro","Python","130","잔여백신 조회 및 예약 매크로","257","664","https://avatars.githubusercontent.com/u/29011440?v=4"
"338021836","slam-mirrorbot","breakdowns/slam-mirrorbot","Python","60","Telegram Mirror Bot.","2173","451","https://avatars.githubusercontent.com/u/71178188?u=95f1f8c13f62fe782b9f5412b8c2ee85c533c874&v=4"
"387326890","Real-ESRGAN","xinntao/Real-ESRGAN","Python","101","Real-ESRGAN aims at developing Practical Algorithms for General Image Restoration.","46","422","https://avatars.githubusercontent.com/u/17445847?u=dc0cf716873f6809f46f105917500699ae1aafd3&v=4"
"375622028","3DPrintColorizer","Sakati84/3DPrintColorizer","Python","54","Software & Hardware to do multi color printing with Sharpies","19","158","https://avatars.githubusercontent.com/u/17765975?v=4"
