"id","name","full_name","language","new stars","description","forks_count","stargazers_count","avatar_url"
"8514","rails","rails/rails","Ruby","52","Ruby on Rails","19613","48832","https://avatars.githubusercontent.com/u/4223?v=4"
"2293158","metasploit-framework","rapid7/metasploit-framework","Ruby","75","Metasploit Framework","11477","24801","https://avatars.githubusercontent.com/u/1013671?v=4"
"52281283","mastodon","mastodon/mastodon","Ruby","51","Your self-hosted, globally interconnected microblogging community","4081","24577","https://avatars.githubusercontent.com/u/24979032?v=4"
"2500088","gitlabhq","gitlabhq/gitlabhq","Ruby","18","GitLab CE Mirror | Please open new issues in our issue tracker on GitLab.com","5677","22686","https://avatars.githubusercontent.com/u/1086321?v=4"
"308770","devise","heartcombo/devise","Ruby","16","Flexible authentication solution for Rails with Warden.","5263","21815","https://avatars.githubusercontent.com/u/59584037?v=4"
"538746","ruby","ruby/ruby","Ruby","26","The Ruby Programming Language [mirror]","4866","18344","https://avatars.githubusercontent.com/u/210414?v=4"
"73648678","forem","forem/forem","Ruby","45","For empowering community 🌱","3015","17282","https://avatars.githubusercontent.com/u/65030610?v=4"
"138312","capistrano","capistrano/capistrano","Ruby","11","Remote multi-server automation tool","1771","11928","https://avatars.githubusercontent.com/u/58257?v=4"
"4095287","rubocop","rubocop/rubocop","Ruby","15","A Ruby static code analyzer and formatter, based on the community Ruby style guide.","2740","11430","https://avatars.githubusercontent.com/u/10871348?v=4"
"3195124","sidekiq","mperham/sidekiq","Ruby","18","Simple, efficient background processing for Ruby","1981","11166","https://avatars.githubusercontent.com/u/2911?u=9e18eee0dc7fe4564dba7cdc7e22711a47171a8b&v=4"
"202291859","chatwoot","chatwoot/chatwoot","Ruby","156","Open-source customer engagement suite, an alternative to Intercom, Zendesk, Salesforce Service Cloud etc. 🔥💬","1136","9872","https://avatars.githubusercontent.com/u/23416667?v=4"
"96395","faker","faker-ruby/faker","Ruby","11","A library for generating fake data such as names, addresses, and phone numbers.","2695","9402","https://avatars.githubusercontent.com/u/47637297?v=4"
"1725199","linguist","github/linguist","Ruby","31","Language Savant. If your repository's language is being reported incorrectly, send us a pull request!","3221","9001","https://avatars.githubusercontent.com/u/9919?v=4"
"21829","factory_bot","thoughtbot/factory_bot","Ruby","7","A library for setting up Ruby objects as test data.","2441","7268","https://avatars.githubusercontent.com/u/6183?v=4"
"69193081","how-to-contribute-to-open-source","freeCodeCamp/how-to-contribute-to-open-source","Ruby","58","A guide to contributing to open source","1201","5456","https://avatars.githubusercontent.com/u/9892522?v=4"
"75785147","webpacker","rails/webpacker","Ruby","15","Use Webpack to manage app-like JavaScript modules in Rails","1425","5226","https://avatars.githubusercontent.com/u/4223?v=4"
"16994115","cancancan","CanCanCommunity/cancancan","Ruby","7","The authorization Gem for Ruby on Rails.","522","4958","https://avatars.githubusercontent.com/u/6765080?v=4"
"1314319","canvas-lms","instructure/canvas-lms","Ruby","12","The open LMS by Instructure, Inc.","1730","4029","https://avatars.githubusercontent.com/u/515326?v=4"
"30985840","solidus","solidusio/solidus","Ruby","10","🛒Solidus, Rails eCommerce System","1091","3814","https://avatars.githubusercontent.com/u/11045486?v=4"
"138776049","sorbet","sorbet/sorbet","Ruby","19","A fast, powerful type checker designed for Ruby","307","2821","https://avatars.githubusercontent.com/u/46383129?v=4"
"103766152","explore","github/explore","Ruby","22","Community-curated topic and collection pages on GitHub","9058","2449","https://avatars.githubusercontent.com/u/9919?v=4"
"5708822","makara","instacart/makara","Ruby","1","A Read-Write Proxy for Connections; Also provides an ActiveRecord adapter.","143","809","https://avatars.githubusercontent.com/u/3732412?v=4"
"13828391","programming-cryptopunks","cryptopunksnotdead/programming-cryptopunks","Ruby","24","Crypto Collectibles Book(let) Series. Programming CryptoPunks & Copypastas Step-by-Step Book / Guide. Inside Unique Pixel Art on the Blockchain...","52","140","https://avatars.githubusercontent.com/u/79600699?v=4"
"66497320","dd-trace-rb","DataDog/dd-trace-rb","Ruby","2","Datadog Tracing Ruby Client","228","133","https://avatars.githubusercontent.com/u/365230?v=4"
"384535535","phase-3-enumerables-debugging","learn-co-curriculum/phase-3-enumerables-debugging","Ruby","0","","19","0","https://avatars.githubusercontent.com/u/6208017?v=4"
