id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
28167802,weui,Tencent/weui,HTML,18,"A UI library by WeChat official design team, includes the most useful widgets/modules in mobile web applications.",6511,26049,https://avatars.githubusercontent.com/u/18461506?v=4
119811010,tabler,tabler/tabler,HTML,66,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,2819,24686,https://avatars.githubusercontent.com/u/35471246?v=4
93253246,en.javascript.info,javascript-tutorial/en.javascript.info,HTML,65,Modern JavaScript Tutorial ,2918,15597,https://avatars.githubusercontent.com/u/49552305?v=4
26291683,twemoji,twitter/twemoji,HTML,29,Emoji for everyone. https://twemoji.twitter.com/,1565,13645,https://avatars.githubusercontent.com/u/50278?v=4
10267810,minimal-mistakes,mmistakes/minimal-mistakes,HTML,62,":triangular_ruler: Jekyll theme for building a personal site, blog, project documentation, or portfolio.",17549,9046,https://avatars.githubusercontent.com/u/1376749?v=4
167459852,personal-website,github/personal-website,HTML,18,Code that'll help you kickstart a personal website that showcases your work as a software developer.,6646,6926,https://avatars.githubusercontent.com/u/9919?v=4
181746158,hyperblog,freddier/hyperblog,HTML,57,Un blog increíble para el curso de Git y Github de Platzi,8271,5638,https://avatars.githubusercontent.com/u/824191?u=b6489963b9bdf24377e1c4dacdf983426c2aaaeb&v=4
246128823,html-css,gustavoguanabara/html-css,HTML,67,Curso de HTML5 e CSS3,1434,5005,https://avatars.githubusercontent.com/u/8683378?u=01b06a154f04dadaa4e4131497fa2442e6323cbc&v=4
53416555,learning-area,mdn/learning-area,HTML,25,Github repo for the MDN Learning Area. ,16247,4459,https://avatars.githubusercontent.com/u/7565578?v=4
79055279,craftinginterpreters,munificent/craftinginterpreters,HTML,38,"Repository for the book ""Crafting Interpreters""",530,4346,https://avatars.githubusercontent.com/u/46275?v=4
295774370,content,mdn/content,HTML,47,The content behind MDN Web Docs,5354,3924,https://avatars.githubusercontent.com/u/7565578?v=4
74809720,Dism-Multi-language,Chuyu-Team/Dism-Multi-language,HTML,98,Dism++ Multi-language Support & BUG Report,386,3376,https://avatars.githubusercontent.com/u/19919835?v=4
281297416,hugo-PaperMod,adityatelange/hugo-PaperMod,HTML,40,"A fast, clean, responsive Hugo theme.",782,2486,https://avatars.githubusercontent.com/u/21258296?u=5885a9283649b03a98fccdd382a505c994758a67&v=4
161886347,system_architect,xxlllq/system_architect,HTML,63,:100:高质量、最全面的2022年系统架构设计师（软考高级）备考资源库。,946,2450,https://avatars.githubusercontent.com/u/24718510?u=e29028385d8a78149eb4523e4c8f78ae08472695&v=4
28312955,home-assistant.io,home-assistant/home-assistant.io,HTML,37,:blue_book: Home Assistant User documentation,5523,2424,https://avatars.githubusercontent.com/u/13844975?v=4
244465123,tasarim-desenleri-turkce-kaynak,yusufyilmazfr/tasarim-desenleri-turkce-kaynak,HTML,46,Türkçe kaynağa destek olması amacıyla oluşturulmuş bir kaynaktır. Konu anlatımın yanı sıra C# ve Java gibi birçok dilde tasarım desenlerinin uygulamasını içermektedir.,266,1933,https://avatars.githubusercontent.com/u/43035417?u=7c2af75c9852963200d80c18197dd59f7e425141&v=4
179614899,pcc_2e,ehmatthes/pcc_2e,HTML,16,"Online resources for Python Crash Course (Second Edition), from No Starch Press",1121,1534,https://avatars.githubusercontent.com/u/1886842?v=4
229798384,malware-samples,jstrosch/malware-samples,HTML,63,"Malware samples, analysis exercises and other interesting resources.",103,658,https://avatars.githubusercontent.com/u/1920756?u=b5eb8b8096953ea76c96f6e537590e3f467d3ffb&v=4
14218827,developer.chrome.com,GoogleChrome/developer.chrome.com,HTML,11,Chrome Developers,553,456,https://avatars.githubusercontent.com/u/1778935?v=4
157300706,Voron-Hardware,VoronDesign/Voron-Hardware,HTML,9,Cool Hardware designed by the Voron Design group,139,278,https://avatars.githubusercontent.com/u/44981431?v=4
397384430,css-exercises,TheOdinProject/css-exercises,HTML,9,,3200,153,https://avatars.githubusercontent.com/u/4441966?v=4
439732829,buildspace-dao-starter,buildspace/buildspace-dao-starter,HTML,29,,562,122,https://avatars.githubusercontent.com/u/65048157?v=4
279572679,Course-Certified-Solutions-Architect-Associate,ACloudGuru-Resources/Course-Certified-Solutions-Architect-Associate,HTML,3,AWS Certified Solutions Architect - Associate,1120,115,https://avatars.githubusercontent.com/u/42189646?v=4
425766132,tdesign-common,Tencent/tdesign-common,HTML,21,TDesign style/utils shared by multiple frameworks repo.,43,47,https://avatars.githubusercontent.com/u/18461506?v=4
