id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
45717250,tensorflow,tensorflow/tensorflow,C++,221,An Open Source Machine Learning Framework for Everyone,86654,164322,https://avatars.githubusercontent.com/u/15658638?v=4
100060912,terminal,microsoft/terminal,C++,180,"The new Windows Terminal and the original Windows console host, all in the same place!",7313,82366,https://avatars.githubusercontent.com/u/6154722?v=4
23357588,protobuf,protocolbuffers/protobuf,C++,128,Protocol Buffers - Google's data interchange format,13985,53938,https://avatars.githubusercontent.com/u/26310541?v=4
15634981,godot,godotengine/godot,C++,225,Godot Engine – Multi-platform 2D and 3D game engine,8653,48258,https://avatars.githubusercontent.com/u/6318500?v=4
12791642,caffe,BVLC/caffe,C++,144,Caffe: a fast open framework for deep learning.,18992,32514,https://avatars.githubusercontent.com/u/6182163?v=4
11171548,json,nlohmann/json,C++,139,JSON for Modern C++,5100,29658,https://avatars.githubusercontent.com/u/159488?v=4
4524181,folly,facebook/folly,C++,63,An open-source C++ library developed and used at Facebook.,4614,21726,https://avatars.githubusercontent.com/u/69631?v=4
196813750,CPlusPlusThings,Light-City/CPlusPlusThings,C++,269,C++那些事,5088,20334,https://avatars.githubusercontent.com/u/25699850?u=ae1ceddf2cd1d69488bc3132d29b5ca3bb57ee26&v=4
74660642,taichi,taichi-dev/taichi,C++,156,Productive & portable high-performance programming in Python.,1934,18799,https://avatars.githubusercontent.com/u/33354891?v=4
40892817,solidity,ethereum/solidity,C++,440,"Solidity, the Smart Contract Programming Language",3878,16183,https://avatars.githubusercontent.com/u/6250754?v=4
7056202,fmt,fmtlib/fmt,C++,70,A modern formatting library,1677,14001,https://avatars.githubusercontent.com/u/7280830?v=4
14981376,dogecoin,dogecoin/dogecoin,C++,33,very currency,2526,13912,https://avatars.githubusercontent.com/u/6122353?v=4
2200856,Marlin,MarlinFirmware/Marlin,C++,66,Marlin is an optimized firmware for RepRap 3D printers based on the Arduino platform. | Many commercial 3D printers come with Marlin installed. Check with your vendor if you need source code for your specific machine.,16612,12937,https://avatars.githubusercontent.com/u/10418365?v=4
344192338,IoT-For-Beginners,microsoft/IoT-For-Beginners,C++,148,"12 Weeks, 24 Lessons, IoT for All!",1193,9749,https://avatars.githubusercontent.com/u/6154722?v=4
263379,libzmq,zeromq/libzmq,C++,19,"ZeroMQ core engine in C++, implements ZMTP/3.1",2110,7700,https://avatars.githubusercontent.com/u/109777?v=4
143324737,devilutionX,diasurgical/devilutionX,C++,468,Diablo build for modern operating systems,577,5649,https://avatars.githubusercontent.com/u/40645014?v=4
194269070,skyline,skyline-emu/skyline,C++,484,Run Nintendo Switch homebrew & games on your Android device!,936,5718,https://avatars.githubusercontent.com/u/52578041?v=4
31197250,glog,google/glog,C++,21,C++ implementation of the Google logging module,1840,5232,https://avatars.githubusercontent.com/u/1342004?v=4
369408234,BlackDex,CodingGay/BlackDex,C++,44,"BlackDex is an Android unpack(dexdump) tool, it supports Android 5.0~12 and need not rely to any environment. BlackDex can run on any Android mobile phone or emulator, you can unpack APK File in several seconds.",711,3323,https://avatars.githubusercontent.com/u/83878298?v=4
47440536,cocos-engine,cocos/cocos-engine,C++,38,"Cocos Engine is an open-source framework for building 2D & 3D real-time rendering and interactive contents, especially video games, which can be deployed to mobile, desktop and web. It is inherited from the legacy Cocos2d-x with a redesigned modern architecture. To run this engine, please download Cocos Creator.",1175,2798,https://avatars.githubusercontent.com/u/6937061?v=4
83542585,LeetCode,wisdompeak/LeetCode,C++,39,This repository contains the solutions and explanations to the algorithm problems on LeetCode. Only medium or above are included. All are written in C++/Python and implemented by myself. The problems attempted multiple times are labelled with hyperlinks.,702,2503,https://avatars.githubusercontent.com/u/25891014?v=4
224468265,NotepadNext,dail8859/NotepadNext,C++,141,"A cross-platform, reimplementation of Notepad++",39,839,https://avatars.githubusercontent.com/u/3694843?v=4
454188645,ooot,blawar/ooot,C++,53,,89,503,https://avatars.githubusercontent.com/u/10227949?u=f7d42146cce2058dbc6081a7f9b83cb1551472a0&v=4
473506511,MetaSpore,meta-soul/MetaSpore,C++,129,A unified end-to-end machine intelligence platform,65,382,https://avatars.githubusercontent.com/u/94288805?v=4
464119098,genshin-cheat,CallowBlack/genshin-cheat,C++,28,Simple cheat for genshin with protection bypass.,55,132,https://avatars.githubusercontent.com/u/37184274?v=4
