id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
22790488,java-design-patterns,iluwatar/java-design-patterns,Java,303,Design patterns implemented in Java,23308,74961,https://avatars.githubusercontent.com/u/582346?u=5c7b4065a3a6c1554f2a142f191ac7acc64c249f&v=4
507775,elasticsearch,elastic/elasticsearch,Java,106,"Free and Open, Distributed, RESTful Search Engine",21715,59625,https://avatars.githubusercontent.com/u/6764390?v=4
1148753,spring-framework,spring-projects/spring-framework,Java,136,Spring Framework,33682,47697,https://avatars.githubusercontent.com/u/317776?v=4
4710920,dubbo,apache/dubbo,Java,46,"Apache Dubbo is a high-performance, java based, open source RPC framework.",24963,37279,https://avatars.githubusercontent.com/u/47359?v=4
9754983,tutorials,eugenp/tutorials,Java,123,"Just Announced - ""Learn Spring Security OAuth"": ",48844,30531,https://avatars.githubusercontent.com/u/1022859?v=4
7587038,canal,alibaba/canal,Java,92,阿里巴巴 MySQL binlog 增量订阅&消费组件 ,6758,22989,https://avatars.githubusercontent.com/u/1961952?v=4
137451403,nacos,alibaba/nacos,Java,99,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.",9848,22483,https://avatars.githubusercontent.com/u/1961952?v=4
15823460,redisson,redisson/redisson,Java,67,"Redisson - Redis Java client with features of In-Memory Data Grid. Over 50 Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Publish / Subscribe, Bloom filter, Spring Cache, Tomcat, Scheduler, JCache API, Hibernate, MyBatis, RPC, local cache ...",4643,18991,https://avatars.githubusercontent.com/u/16851431?v=4
89822531,Mindustry,Anuken/Mindustry,Java,72,The automation tower defense RTS,2044,14659,https://avatars.githubusercontent.com/u/10100000?u=cde508083bc10a0b836738d247d4d5c217e41910&v=4
133134007,openapi-generator,OpenAPITools/openapi-generator,Java,80,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)",4205,12157,https://avatars.githubusercontent.com/u/37325267?v=4
77993578,PictureSelector,LuckSiege/PictureSelector,Java,37,Picture Selector Library for Android  or 图片选择器,2650,11516,https://avatars.githubusercontent.com/u/24836954?u=6ef67a5571becac39d7baebd624b804cde9e4cca&v=4
62117812,pulsar,apache/pulsar,Java,54,Apache Pulsar - distributed pub-sub messaging system,2856,10832,https://avatars.githubusercontent.com/u/47359?v=4
139914932,quarkus,quarkusio/quarkus,Java,51,Quarkus: Supersonic Subatomic Java. ,1818,9945,https://avatars.githubusercontent.com/u/47638783?v=4
27729926,grpc-java,grpc/grpc-java,Java,41,The Java gRPC implementation. HTTP/2 based RPC,3344,9707,https://avatars.githubusercontent.com/u/7802525?v=4
217943361,source-code-hunter,doocs/source-code-hunter,Java,140,😱 从源码层面，剖析挖掘互联网行业主流技术的底层实现原理，为广大开发者 “提升技术深度” 提供便利。目前开放 Spring 全家桶，Mybatis、Netty、Dubbo 框架，及 Redis、Tomcat 中间件等,1679,8488,https://avatars.githubusercontent.com/u/43716716?v=4
391055597,DSA-Bootcamp-Java,kunal-kushwaha/DSA-Bootcamp-Java,Java,136,"This repository consists of the code samples, assignments, and notes for the Java Data Structures & Algorithms bootcamp of Community Classroom.",4291,7212,https://avatars.githubusercontent.com/u/42698533?u=0b64f10aa6528ef363a9fe0eb802da40db71cd14&v=4
12499251,checkstyle,checkstyle/checkstyle,Java,28,"Checkstyle is a development tool to help programmers write Java code that adheres to a coding standard. By default it supports the Google Java Style Guide and Sun Code Conventions, but is highly configurable. It can be invoked with an ANT task and a command line program.",8276,7062,https://avatars.githubusercontent.com/u/5179750?v=4
688352,jmeter,apache/jmeter,Java,22,Apache JMeter,1722,6128,https://avatars.githubusercontent.com/u/47359?v=4
83799439,lawnchair,LawnchairLauncher/lawnchair,Java,66,No clever tagline needed.,825,5440,https://avatars.githubusercontent.com/u/34144436?v=4
75882172,conductor,Netflix/conductor,Java,52,Conductor is a microservices orchestration engine.,1344,4335,https://avatars.githubusercontent.com/u/913567?v=4
172680589,unidbg,zhkl0228/unidbg,Java,32,"Allows you to emulate an Android ARM32 and/or ARM64 native library, and an experimental  iOS emulation",651,2036,https://avatars.githubusercontent.com/u/1386751?u=f651f1862bab105d5bc6dfbd6509a13be3706693&v=4
482425877,fastjson2,alibaba/fastjson2,Java,391,🚄 FASTJSON2是FASTJSON项目的重要升级，目标是为下一个十年提供一个高性能的JSON库,120,1377,https://avatars.githubusercontent.com/u/1961952?v=4
180028389,maps,rnmapbox/maps,Java,17,A Mapbox react native module for creating custom maps,581,1308,https://avatars.githubusercontent.com/u/49320253?v=4
396851346,JustLive-Android,guyijie1211/JustLive-Android,Java,52,📱一个整合国内多个直播平台内容的App,47,607,https://avatars.githubusercontent.com/u/23636549?u=16c56d4d5a578a38bffb9eb311b54d732933b410&v=4
459151608,EncryptMinerProxy,ryu0007/EncryptMinerProxy,Java,22,基于Netty(Java技术栈高性能框架)+C技术开发的高性能矿池加密代理，支持多币种加密抽水(ETH/ETC/BTC/BCH/LTC/ERG/DOGE/XMR/ZEC/BSV/XEC/DASH/DCR/KDA/BTG/ZEN/CKB/HNS/TON等)，客户端服务端模式，支持加密混淆，支持自定义抽水地址和比例，支持Web界面管理。,81,310,https://avatars.githubusercontent.com/u/99658172?v=4
