id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
126577260,javascript-algorithms,trekhleb/javascript-algorithms,JavaScript,1167,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,24641,148429,https://avatars.githubusercontent.com/u/3000285?u=1e62782f227030b78b7aa78cbbcab5f8a24e658a&v=4
103633984,nodebestpractices,goldbergyoni/nodebestpractices,JavaScript,367,:white_check_mark:  The Node.js best practices list (June 2022),8278,80045,https://avatars.githubusercontent.com/u/8571500?u=03817cbb5afcffb9d822eb7a7c33b0254a1666b8&v=4
74791366,clean-code-javascript,ryanmcdermott/clean-code-javascript,JavaScript,488,:bathtub: Clean Code concepts adapted for JavaScript,9585,70907,https://avatars.githubusercontent.com/u/5114666?u=d4baaf527cea161717905513840329c424bb6800&v=4
1861458,reveal.js,hakimel/reveal.js,JavaScript,693,The HTML Presentation Framework,16329,61504,https://avatars.githubusercontent.com/u/629429?u=89467ce33d305cdd20922cb190314e92562dc640&v=4
157616880,iptv,iptv-org/iptv,JavaScript,410,Collection of publicly available IPTV channels from all over the world,9465,54610,https://avatars.githubusercontent.com/u/55937028?v=4
147350463,33-js-concepts,leonardomso/33-js-concepts,JavaScript,513,📜 33 JavaScript concepts every developer should know.,7047,51215,https://avatars.githubusercontent.com/u/8030067?u=a3dbd6655a543408b3c02b097bdd142cacf797f5&v=4
43441403,strapi,strapi/strapi,JavaScript,408,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript, fully customizable and developer-first.",5753,47146,https://avatars.githubusercontent.com/u/19872173?v=4
278335273,github-readme-stats,anuraghazra/github-readme-stats,JavaScript,319,:zap: Dynamically generated stats for your github readmes,10781,44703,https://avatars.githubusercontent.com/u/35374649?u=3125539259bebd2d8af05462a37f22a4fba763e4&v=4
9393759,phaser,photonstorm/phaser,JavaScript,267,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering.",6785,32502,https://avatars.githubusercontent.com/u/164476?v=4
164574693,AnotherRedisDesktopManager,qishibo/AnotherRedisDesktopManager,JavaScript,134,"🚀🚀🚀A faster, better and more stable redis desktop manager [GUI client], compatible with Linux, Windows, Mac. What's more, it won't crash when loading massive keys.",2107,22196,https://avatars.githubusercontent.com/u/5136418?u=9c2bb79f42d7e5c0228c8d7a265bff9a32f83852&v=4
127769231,RSSHub,DIYgod/RSSHub,JavaScript,118,🍰 Everything is RSSible,4362,20900,https://avatars.githubusercontent.com/u/8266075?u=9de49c9b3eaf4db02e685458cb64b64c172034bf&v=4
44150497,remote-jobs,remoteintech/remote-jobs,JavaScript,106,A list of semi to fully remote-friendly companies (jobs) in tech.,2130,19441,https://avatars.githubusercontent.com/u/31714327?v=4
64700934,openzeppelin-contracts,OpenZeppelin/openzeppelin-contracts,JavaScript,131,OpenZeppelin Contracts is a library for secure smart contract development.,9977,19411,https://avatars.githubusercontent.com/u/20820676?v=4
299628763,30-Days-Of-React,Asabeneh/30-Days-Of-React,JavaScript,213,"30 Days of  React challenge is a step by step guide to learn React in 30 days. It requires HTML, CSS, and JavaScript knowledge. You should be comfortable with JavaScript before you start to React.  If you are not comfortable with JavaScript check out 30DaysOfJavaScript. This is a continuation of 30 Days Of JS.  This challenge may take more than 100 days, follow your own pace. ",3976,15577,https://avatars.githubusercontent.com/u/9008063?u=ec6ff77196b998a4e6b6e3ca1429c524c169c189&v=4
7530570,appium,appium/appium,JavaScript,34,Cross-platform automation framework for all kinds of your apps built on top of W3C WebDriver protocol,5723,15422,https://avatars.githubusercontent.com/u/3221291?v=4
9603889,NodeBB,NodeBB/NodeBB,JavaScript,47,Node.js based forum software built for the modern web,2570,12863,https://avatars.githubusercontent.com/u/4449608?v=4
280363952,umami,umami-software/umami,JavaScript,143,"Umami is a simple, fast, privacy-focused alternative to Google Analytics.",1880,12472,https://avatars.githubusercontent.com/u/105618662?v=4
30102273,Mobile-Security-Framework-MobSF,MobSF/Mobile-Security-Framework-MobSF,JavaScript,70,"Mobile Security Framework (MobSF) is an automated, all-in-one mobile application (Android/iOS/Windows) pen-testing, malware analysis and security assessment framework capable of performing static and dynamic analysis.",2648,11888,https://avatars.githubusercontent.com/u/25052637?v=4
42009758,metamask-extension,MetaMask/metamask-extension,JavaScript,98,:globe_with_meridians: :electric_plug: The MetaMask browser extension enables browsing Ethereum blockchain enabled websites,3289,8543,https://avatars.githubusercontent.com/u/11744586?v=4
684382,bigbluebutton,bigbluebutton/bigbluebutton,JavaScript,17,Complete open source web conferencing system.,5787,7613,https://avatars.githubusercontent.com/u/230228?v=4
20312497,js-ipfs,ipfs/js-ipfs,JavaScript,42,IPFS implementation in JavaScript,1301,6982,https://avatars.githubusercontent.com/u/10536621?v=4
60024365,al-folio,alshedivat/al-folio,JavaScript,75,"A beautiful, simple, clean, and responsive Jekyll theme for academics",5383,3678,https://avatars.githubusercontent.com/u/2126561?u=b434cef91a8c7021cfdcb1e8d918597b78b28036&v=4
247288642,Baileys,adiwajshing/Baileys,JavaScript,40,Lightweight full-featured WhatsApp Web + Multi-Device API,1097,3523,https://avatars.githubusercontent.com/u/8328864?v=4
156498505,deno_std,denoland/deno_std,JavaScript,25,Deno standard library,372,2291,https://avatars.githubusercontent.com/u/42048915?v=4
423799654,Yunzai-Bot,Le-niao/Yunzai-Bot,JavaScript,100,原神QQ群机器人，通过米游社接口，查询原神游戏信息，快速生成图片返回,281,1671,https://avatars.githubusercontent.com/u/12881780?u=a756f2fc89756074ee4ae3580c683b572cab32db&v=4
