id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
155220641,transformers,huggingface/transformers,Python,518,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",16554,72489,https://avatars.githubusercontent.com/u/25720743?v=4
83844720,face_recognition,ageitgey/face_recognition,Python,114,The world's simplest facial recognition api for Python and the command line,12547,46135,https://avatars.githubusercontent.com/u/896692?u=ea39271fb0e41dbfee2431f55e568124e6f4d8cc&v=4
71220757,PayloadsAllTheThings,swisskyrepo/PayloadsAllTheThings,Python,235,A list of useful payloads and bypass for Web Application Security and Pentest/CTF,11281,42063,https://avatars.githubusercontent.com/u/12152583?u=e368c891b81d41b1ce12825f52049e5eb146d401&v=4
262296122,PaddleOCR,PaddlePaddle/PaddleOCR,Python,169,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)",5240,25494,https://avatars.githubusercontent.com/u/23534030?v=4
349321229,GFPGAN,TencentARC/GFPGAN,Python,289,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,3507,23638,https://avatars.githubusercontent.com/u/83739826?v=4
323048702,OpenBBTerminal,OpenBB-finance/OpenBBTerminal,Python,192,"Investment Research for Everyone, Anywhere.",1795,17343,https://avatars.githubusercontent.com/u/80064875?v=4
527591471,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,Python,4386,Stable Diffusion web UI,2523,15119,https://avatars.githubusercontent.com/u/20920490?u=8bdc7c9401f507e51b55e558baa8184d4ed30c7d&v=4
355959597,textual,Textualize/textual,Python,197,Textual is a TUI (Text User Interface) framework for Python inspired by modern web development.,377,13941,https://avatars.githubusercontent.com/u/93378883?v=4
16479108,wagtail,wagtail/wagtail,Python,193,A Django content management system focused on flexibility and user experience,2854,13316,https://avatars.githubusercontent.com/u/23708009?v=4
103071520,great_expectations,great-expectations/great_expectations,Python,147,Always know what to expect from your data.,1115,7417,https://avatars.githubusercontent.com/u/31670619?v=4
20785986,jupyterhub,jupyterhub/jupyterhub,Python,85,Multi-user server for Jupyter notebooks,1837,6965,https://avatars.githubusercontent.com/u/17927519?v=4
13419223,lutris,lutris/lutris,Python,48,Lutris desktop client in Python / PyGObject,567,5841,https://avatars.githubusercontent.com/u/5067433?v=4
286500101,rembg,danielgatis/rembg,Python,341,Rembg is a tool to remove images background.,821,5332,https://avatars.githubusercontent.com/u/7380?u=11bfe344ea77d1e8ba6c14611cdf40beb11bc249&v=4
355559187,mmocr,open-mmlab/mmocr,Python,23,"OpenMMLab Text Detection, Recognition and Understanding Toolbox",532,2834,https://avatars.githubusercontent.com/u/10245193?v=4
281519510,FedML,FedML-AI/FedML,Python,216,"FedML - The federated learning and analytics library enabling secure and collaborative machine learning on decentralized data anywhere at any scale. Supporting large-scale cross-silo federated learning, cross-device federated learning on smartphones/IoTs, and research simulation. MLOps and App Marketplace are also enabled (https://open.fedml.ai).",507,2066,https://avatars.githubusercontent.com/u/69099025?v=4
111136393,bbs,net4people/bbs,Python,280,Forum for discussing Internet censorship circumvention,44,1753,https://avatars.githubusercontent.com/u/33761262?v=4
452939314,tortoise-tts,neonbjb/tortoise-tts,Python,53,A multi-voice TTS system trained with an emphasis on quality,172,1631,https://avatars.githubusercontent.com/u/833082?u=e2593902f231007b4d4fb77678f3e32d29b6553d&v=4
416849738,xformers,facebookresearch/xformers,Python,84,"Hackable and optimized Transformers building blocks, supporting a composable construction.",91,1221,https://avatars.githubusercontent.com/u/16943930?v=4
543082997,motion-diffusion-model,GuyTevet/motion-diffusion-model,Python,233,"The official PyTorch implementation of the paper ""Human Motion Diffusion Model""",64,1143,https://avatars.githubusercontent.com/u/24757373?u=758b72458693bea8655e3e428d24cf3f0a96e8a5&v=4
229250747,DeepDanbooru,KichangKim/DeepDanbooru,Python,170,"AI based multi-label girl image classification system, implemented by using TensorFlow.",134,1136,https://avatars.githubusercontent.com/u/2926674?u=e0aa46164566c9994c782fe49a72239599898cb3&v=4
520014232,detrex,IDEA-Research/detrex,Python,200,IDEA Open Source Toolbox for Transformer Based Object Detection Algorithms,43,675,https://avatars.githubusercontent.com/u/113572103?v=4
532145731,MotionDiffuse,mingyuan-zhang/MotionDiffuse,Python,87,MotionDiffuse: Text-Driven Human Motion Generation with Diffusion Model,26,362,https://avatars.githubusercontent.com/u/72491369?v=4
533452400,farmvibes-ai,microsoft/farmvibes-ai,Python,94,FarmVibes.AI: Multi-Modal GeoSpatial ML Models for Agriculture and Sustainability,23,237,https://avatars.githubusercontent.com/u/6154722?v=4
545595027,DiffDock,gcorso/DiffDock,Python,39,"Implementation of DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",24,229,https://avatars.githubusercontent.com/u/22794353?u=cd0a85b0e0ba1240a5cca0fbbb1d70ba6ffbf4d1&v=4
543716943,FreeInternet,WeAreMahsaAmini/FreeInternet,Python,102,"Women, Life, Freedom. The goal of this project is to provide free internet access to Iranian people by any means. #MahsaAmini",33,209,https://avatars.githubusercontent.com/u/114424849?v=4
