id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
20904437,gin,gin-gonic/gin,Go,215,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",7047,64337,https://avatars.githubusercontent.com/u/7894478?v=4
74175805,istio,istio/istio,Go,61,"Connect, secure, control, and observe services.",6780,31858,https://avatars.githubusercontent.com/u/23534644?v=4
56353740,minikube,kubernetes/minikube,Go,57,Run Kubernetes locally,4348,25125,https://avatars.githubusercontent.com/u/13629408?v=4
59239347,portainer,portainer/portainer,Go,80,Making Docker and Kubernetes management easy.,2071,23612,https://avatars.githubusercontent.com/u/22225832?v=4
122734569,lux,iawia002/lux,Go,135,👾 Fast and simple video download library and CLI tool written in Go,2346,19535,https://avatars.githubusercontent.com/u/9134003?u=98ed581f2dae06d9139a0c18065605c263dd5065&v=4
510607652,pocketbase,pocketbase/pocketbase,Go,337,Open Source realtime backend in 1 file,576,16438,https://avatars.githubusercontent.com/u/101000011?v=4
62712899,AdGuardHome,AdguardTeam/AdGuardHome,Go,693,Network-wide ads & trackers blocking DNS server,1293,14370,https://avatars.githubusercontent.com/u/8361145?v=4
7877397,sqlx,jmoiron/sqlx,Go,65,general purpose extensions to golang's database/sql,973,12831,https://avatars.githubusercontent.com/u/218132?u=7da1c1b26378ca259ab676fd3ad17243e692d4f9&v=4
23247808,rqlite,rqlite/rqlite,Go,314,"The lightweight, distributed relational database built on SQLite",582,12043,https://avatars.githubusercontent.com/u/18683023?v=4
16554739,beats,elastic/beats,Go,22,:tropical_fish: Beats - Lightweight shippers for Elasticsearch & Logstash ,4598,11365,https://avatars.githubusercontent.com/u/6764390?v=4
420503947,ntfy,binwiederhier/ntfy,Go,3472,Send push notifications to your phone or desktop using PUT/POST,217,7202,https://avatars.githubusercontent.com/u/664597?u=d20c51ed3d20cab19d2deffc58d028136229ab01&v=4
127519518,subfinder,projectdiscovery/subfinder,Go,67,Subfinder is a subdomain discovery tool that discovers valid subdomains for websites. Designed as a passive framework to be useful for bug bounties and safe for penetration testing.,925,6493,https://avatars.githubusercontent.com/u/50994705?v=4
157402758,portmaster,safing/portmaster,Go,879,🏔 Love Freedom - ❌ Block Mass Surveillance,162,5515,https://avatars.githubusercontent.com/u/20678162?v=4
135951540,stash,stashapp/stash,Go,803,"An organizer for your porn, written in Go",456,4475,https://avatars.githubusercontent.com/u/24867479?v=4
267713284,httpx,projectdiscovery/httpx,Go,71,httpx is a fast and multi-purpose HTTP toolkit that allows running multiple probes using the retryablehttp library.,524,3967,https://avatars.githubusercontent.com/u/50994705?v=4
320818962,100-go-mistakes,teivah/100-go-mistakes,Go,207,📖 100 Go Mistakes and How to Avoid Them,206,3641,https://avatars.githubusercontent.com/u/934784?u=d8cce9f2b06dc87e242d78d809bc1f1367db5b66&v=4
201546443,assets,trustwallet/assets,Go,21,"A comprehensive, up-to-date collection of information about several thousands (!) of crypto tokens.",16755,3502,https://avatars.githubusercontent.com/u/32179889?v=4
178079595,opencost,opencost/opencost,Go,60,Cross-cloud cost allocation models for Kubernetes workloads,292,2947,https://avatars.githubusercontent.com/u/105945214?v=4
236055696,tempo,grafana/tempo,Go,50,"Grafana Tempo is a high volume, minimal dependency distributed tracing backend.",295,2510,https://avatars.githubusercontent.com/u/7195757?v=4
489681062,k8s-tutorials,guangzhengli/k8s-tutorials,Go,119,k8s tutorials | k8s 教程,150,1771,https://avatars.githubusercontent.com/u/39078991?u=db4526196237dc59f040e0f09875473030f02868&v=4
280658081,domain-list-community,v2fly/domain-list-community,Go,55,Community managed domain list. Generate geosite.dat for V2Ray.,390,1722,https://avatars.githubusercontent.com/u/49637375?v=4
145433521,domain-list-community,v2ray/domain-list-community,Go,82,Community managed domain list,334,1444,https://avatars.githubusercontent.com/u/14110142?v=4
446655824,hishtory,ddworken/hishtory,Go,360,"Your shell history: synced, queryable, and in context",21,1267,https://avatars.githubusercontent.com/u/5304541?v=4
342854098,gotosocial,superseriousbusiness/gotosocial,Go,327,"Fast, fun, ActivityPub server, powered by Go.",103,1227,https://avatars.githubusercontent.com/u/79751420?v=4
200710337,arbitrum,OffchainLabs/arbitrum,Go,31,"Powers fast, private, decentralized applications",440,963,https://avatars.githubusercontent.com/u/43838009?v=4
