id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
54346799,public-apis,public-apis/public-apis,Python,2443,A collective list of free APIs,26726,235338,https://avatars.githubusercontent.com/u/51121562?v=4
123458551,Python-100-Days,jackfrued/Python-100-Days,Python,749,Python - 100天从新手到大师,48615,133180,https://avatars.githubusercontent.com/u/7474657?u=902200c2389c203cf2139888e10314845edd2a2a&v=4
155220641,transformers,huggingface/transformers,Python,2172,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",19414,91772,https://avatars.githubusercontent.com/u/25720743?v=4
619959033,gpt4all,nomic-ai/gpt4all,Python,8851,"gpt4all: an ecosystem of open-source chatbots trained on a massive collections of clean assistant data including code, stories and dialogue",2743,26450,https://avatars.githubusercontent.com/u/102670180?v=4
616372661,chatgpt_academic,binary-husky/chatgpt_academic,Python,6260,科研工作专用ChatGPT拓展，特别优化学术Paper润色体验，支持自定义快捷按钮，支持自定义函数插件，支持markdown表格显示，Tex公式双显示，代码显示功能完善，新增本地Python/C++/Go项目树剖析功能/项目源代码自译解能力，新增PDF和Word文献批量总结功能/PDF论文全文翻译功能,2790,25083,https://avatars.githubusercontent.com/u/96192199?u=7f92c746908d3dbac7579e5471b07232f2b53adb&v=4
552661142,langchain,hwchase17/langchain,Python,4025,⚡ Building applications with LLMs through composability ⚡,2203,23543,https://avatars.githubusercontent.com/u/11986836?u=f4c4f21a82b2af6c9f91e1f1d99ea40062f7a101&v=4
614765452,Auto-GPT,Torantulino/Auto-GPT,Python,17959,An experimental open-source attempt to make GPT-4 fully autonomous.,2573,20150,https://avatars.githubusercontent.com/u/22963551?u=2a16debb964a639c0a08ed39d119306ca7a4ea49&v=4
621118467,JARVIS,microsoft/JARVIS,Python,12260,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf",970,14177,https://avatars.githubusercontent.com/u/6154722?v=4
498011141,diffusers,huggingface/diffusers,Python,480,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch,2611,13154,https://avatars.githubusercontent.com/u/25720743?v=4
615882673,FastChat,lm-sys/FastChat,Python,8427,"The release repo for ""Vicuna: An Open Chatbot Impressing GPT-4""",1148,11756,https://avatars.githubusercontent.com/u/126381704?v=4
566576114,ml-stable-diffusion,apple/ml-stable-diffusion,Python,2735,Stable Diffusion with Core ML on Apple Silicon,481,10824,https://avatars.githubusercontent.com/u/10639145?v=4
619885280,the-algorithm-ml,twitter/the-algorithm-ml,Python,3405,Source code for Twitter's Recommendation Algorithm,2040,8520,https://avatars.githubusercontent.com/u/50278?v=4
614325365,Chinese-LLaMA-Alpaca,ymcui/Chinese-LLaMA-Alpaca,Python,1905,中文LLaMA&Alpaca大语言模型+本地CPU部署 (Chinese LLaMA & Alpaca LLMs),334,3717,https://avatars.githubusercontent.com/u/16095339?u=c186302fbab5af7620737e166766710312eb5594&v=4
609539715,e2b,e2b-dev/e2b,Python,2166,e2b (english2bits) is an IDE powered by AI agents. Developers describe what they want to build by writing documentation. Then let AI agents with access to tools do the coding work.,117,2934,https://avatars.githubusercontent.com/u/129434473?v=4
546206616,chroma,chroma-core/chroma,Python,1233,the open source embedding database,122,2540,https://avatars.githubusercontent.com/u/105881770?v=4
617504730,lit-llama,Lightning-AI/lit-llama,Python,548,"Implementation of the LLaMA language model based on nanoGPT. Supports flash attention, Int8 and GPTQ 4bit quantization, LoRA and LLaMA-Adapter fine-tuning, pre-training. Apache 2.0-licensed.",109,2278,https://avatars.githubusercontent.com/u/58386951?v=4
617219182,ChatDoctor,Kent0n-Li/ChatDoctor,Python,600,,240,2249,https://avatars.githubusercontent.com/u/47032063?u=fc2a2697434803591fb9e774f62b0dc5eb60d20e&v=4
616083282,LLaMA-Adapter,ZrrSkywalker/LLaMA-Adapter,Python,482,Fine-tuning LLaMA to follow instructions within 1 Hour and 1.2M Parameters,124,2078,https://avatars.githubusercontent.com/u/54577425?v=4
612350395,marvin,PrefectHQ/marvin,Python,573,🤖🪄 A batteries-included library for building AI-powered software,58,1626,https://avatars.githubusercontent.com/u/39270919?v=4
569518584,SadTalker,Winfredy/SadTalker,Python,465,（CVPR 2023）SadTalker：Learning Realistic 3D Motion Coefficients for Stylized Audio-Driven Single Image Talking Face Animation,215,1494,https://avatars.githubusercontent.com/u/48216707?u=3ae3b8a43d7a792e88b040d0a4146f768f891e79&v=4
616099860,xturing,stochasticai/xturing,Python,650,Build and control your own LLMs,92,1336,https://avatars.githubusercontent.com/u/66399337?v=4
611618121,awesome-free-chatgpt,LiLittleCat/awesome-free-chatgpt,Python,587,"免费的 ChatGPT 镜像网站列表，持续更新。List of free ChatGPT mirror sites, continuously updated. ",84,1113,https://avatars.githubusercontent.com/u/40536573?u=8d07e8ee2eddbd197617d337424ee92cd2496ccd&v=4
613843974,ChatGLM-webui,Akegarasu/ChatGLM-webui,Python,214,A WebUI for ChatGLM-6B,127,978,https://avatars.githubusercontent.com/u/36563862?u=9b064695721827e6ebe191a3fa974f9b3f9d9ab4&v=4
620471484,RFdiffusion,RosettaCommons/RFdiffusion,Python,114,Code for running RFdiffusion,93,725,https://avatars.githubusercontent.com/u/3856847?v=4
516505460,nomic,nomic-ai/nomic,Python,122,Interact with Massive Embedding and Text Datasets in Your Web Browser,58,382,https://avatars.githubusercontent.com/u/102670180?v=4
