id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
1863329,laravel,laravel/laravel,PHP,96,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things.",23868,74187,https://avatars.githubusercontent.com/u/958072?v=4
7548986,framework,laravel/framework,PHP,47,The Laravel Framework.,10189,29912,https://avatars.githubusercontent.com/u/958072?v=4
458058,symfony,symfony/symfony,PHP,38,The Symfony PHP framework,9162,28554,https://avatars.githubusercontent.com/u/143937?v=4
60243197,server,nextcloud/server,PHP,77,"☁️ Nextcloud server, a safe home for all your data",3650,23478,https://avatars.githubusercontent.com/u/19211038?v=4
170355508,livewire,livewire/livewire,PHP,305,A full-stack framework for Laravel that takes the pain out of building dynamic UIs.,1107,20120,https://avatars.githubusercontent.com/u/51960834?v=4
2889328,WordPress,WordPress/WordPress,PHP,43,"WordPress, Git-ified. This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit pull requests to https://github.com/WordPress/wordpress-develop and patches to https://core.trac.wordpress.org/ instead.",12378,17782,https://avatars.githubusercontent.com/u/276006?v=4
22553797,grav,getgrav/grav,PHP,34,"Modern, Crazy Fast, Ridiculously Easy and Amazingly Powerful Flat-File CMS powered by PHP, Markdown, Twig, and Symfony",1390,13965,https://avatars.githubusercontent.com/u/8237355?v=4
14259390,Laravel-Excel,SpartnerNL/Laravel-Excel,PHP,21,🚀 Supercharged Excel exports and imports in Laravel,1854,11629,https://avatars.githubusercontent.com/u/10957910?v=4
248372441,filament,filamentphp/filament,PHP,93,"A collection of beautiful full-stack components for Laravel. The perfect starting point for your next app. Using Livewire, Alpine.js and Tailwind CSS.",1160,7514,https://avatars.githubusercontent.com/u/64450473?v=4
6763587,PrestaShop,PrestaShop/PrestaShop,PHP,11,PrestaShop is the universal open-source software platform to build your e-commerce solution.,4635,7346,https://avatars.githubusercontent.com/u/2815696?v=4
2141186,opencart,opencart/opencart,PHP,13,A free shopping cart system. OpenCart is an open source PHP-based online e-commerce solution.,4713,6902,https://avatars.githubusercontent.com/u/214225?v=4
4242230,PHPWord,PHPOffice/PHPWord,PHP,12,A pure PHP library for reading and writing word processing documents,2610,6779,https://avatars.githubusercontent.com/u/1836015?v=4
174200859,inertia,inertiajs/inertia,PHP,25,"Inertia.js lets you quickly build modern single-page React, Vue and Svelte apps using classic server-side routing and controllers.",355,5220,https://avatars.githubusercontent.com/u/47703742?v=4
141720301,countries-states-cities-database,dr5hn/countries-states-cities-database,PHP,51,"🌍 Discover our global repository of countries, states, and cities!  🏙️ Get comprehensive data in JSON, SQL, XML, YAML, and CSV formats. Access ISO2, ISO3 codes, country code, capital, native language, timezones (for countries), and more. #countries #states #cities",2115,5212,https://avatars.githubusercontent.com/u/6929121?u=5b785c4cdd1486cd881b6cb9f4d1561a0471c97c&v=4
8077402,MISP,MISP/MISP,PHP,17,MISP (core software) - Open Source Threat Intelligence and Sharing Platform,1298,4544,https://avatars.githubusercontent.com/u/4134875?v=4
204114509,argon-theme,solstice23/argon-theme,PHP,27,📖 Argon - 一个轻盈、简洁的 WordPress 主题,466,3647,https://avatars.githubusercontent.com/u/23134847?u=df9867c64f5d7dc011111208353ea7ed24f96f56&v=4
359687154,readme-typing-svg,DenverCoder1/readme-typing-svg,PHP,48,"⚡ Dynamically generated, customizable SVG that gives the appearance of typing and deleting text for use on your profile page, repositories, or website.",527,3185,https://avatars.githubusercontent.com/u/20955511?u=5bbdbfe0199b05d6ca913fb799236c8beedcd192&v=4
2686502,pimcore,pimcore/pimcore,PHP,10,"Open Source Data & Experience Management Platform (PIM, MDM, CDP, DAM, DXP/CMS & Digital Commerce)",1328,2918,https://avatars.githubusercontent.com/u/686745?v=4
111562942,cms,statamic/cms,PHP,24,The core Laravel CMS Composer package,403,2880,https://avatars.githubusercontent.com/u/1669353?v=4
61838413,MadelineProto,danog/MadelineProto,PHP,10,Async PHP client API for the telegram MTProto protocol,580,2420,https://avatars.githubusercontent.com/u/7339644?v=4
433383766,all-in-one,nextcloud/all-in-one,PHP,44,Nextcloud AIO stands for Nextcloud All-in-One and provides easy deployment and maintenance with most features included in this one Nextcloud instance.,322,2250,https://avatars.githubusercontent.com/u/19211038?v=4
625678322,laravel,NativePHP/laravel,PHP,567,Laravel wrapper for the NativePHP framework,84,2008,https://avatars.githubusercontent.com/u/130286900?v=4
499717126,btcloud,flucont/btcloud,PHP,17,PHP开发的宝塔面板第三方云端,406,823,https://avatars.githubusercontent.com/u/106855675?v=4
655299409,TelegramV2rayCollector,yebekhe/TelegramV2rayCollector,PHP,41,"PHP script collects V2Ray subscription links from sources, saves to protocol-specific files",59,377,https://avatars.githubusercontent.com/u/64287898?u=5ec6d96c617258a8f2489545b5af8dccb61d9f38&v=4
625678832,electron,NativePHP/electron,PHP,63,Electron backend for NativePHP,32,193,https://avatars.githubusercontent.com/u/130286900?v=4
