id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
184456251,PowerToys,microsoft/PowerToys,C#,231,Windows system utilities to maximize productivity,5531,94109,https://avatars.githubusercontent.com/u/6154722?v=4
49609581,PowerShell,PowerShell/PowerShell,C#,88,PowerShell for every system!,7471,40363,https://avatars.githubusercontent.com/u/11524380?v=4
262395224,maui,dotnet/maui,C#,142,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.",1357,19563,https://avatars.githubusercontent.com/u/9141961?v=4
14964475,Avalonia,AvaloniaUI/Avalonia,C#,161,"Develop Desktop, Embedded, Mobile and WebAssembly apps with C# and XAML. The most popular .NET Foundation community project.",1633,19333,https://avatars.githubusercontent.com/u/14075148?v=4
213460285,CleanArchitecture,jasontaylordev/CleanArchitecture,C#,73,Clean Architecture Solution Template for ASP.NET Core,2904,12971,https://avatars.githubusercontent.com/u/1988321?u=a1c4449e215a2e4ea54a1a5787c01ca32add274a&v=4
16157746,efcore,dotnet/efcore,C#,18,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations.",2990,12731,https://avatars.githubusercontent.com/u/9141961?v=4
607289185,semantic-kernel,microsoft/semantic-kernel,C#,186,Integrate cutting-edge LLM technology quickly and easily into your apps,1691,11727,https://avatars.githubusercontent.com/u/6154722?v=4
75505125,abp,abpframework/abp,C#,51,"Open Source Web Application Framework for ASP.NET Core. Offers an opinionated architecture to build enterprise software solutions with best practices on top of the .NET and the ASP.NET Core platforms. Provides the fundamental infrastructure, production-ready startup templates, application modules, UI themes, tooling, guides and documentation.",3136,10318,https://avatars.githubusercontent.com/u/42068324?v=4
77323220,Radarr,Radarr/Radarr,C#,35,A fork of Sonarr to work with movies à la Couchpotato.,850,7928,https://avatars.githubusercontent.com/u/25025331?v=4
27251463,Lean,QuantConnect/Lean,C#,36,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#)",2920,7772,https://avatars.githubusercontent.com/u/3912814?v=4
743436,ET,egametang/ET,C#,29,Unity3D Client And C# Server Framework,2722,7435,https://avatars.githubusercontent.com/u/315758?v=4
282637924,BBDown,nilaoda/BBDown,C#,87,Bilibili Downloader. 一款命令行式哔哩哔哩下载器.,660,6290,https://avatars.githubusercontent.com/u/20772925?u=6332a7ef3fc5f4f6ce844a764e912638fc01b64a&v=4
125612271,EntityComponentSystemSamples,Unity-Technologies/EntityComponentSystemSamples,C#,35,,1396,6082,https://avatars.githubusercontent.com/u/426196?v=4
288428676,MudBlazor,MudBlazor/MudBlazor,C#,46,Blazor Component Library based on Material design with an emphasis on ease of use. Mainly written in C# with Javascript kept to a bare minimum it empowers .NET developers to easily debug it if needed.,993,5852,https://avatars.githubusercontent.com/u/79755064?v=4
2928944,azure-sdk-for-net,Azure/azure-sdk-for-net,C#,21,This repository is for active development of the Azure SDK for .NET. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/dotnet/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-net. ,4281,4741,https://avatars.githubusercontent.com/u/6844498?v=4
117102183,graphql-platform,ChilliCream/graphql-platform,C#,28,"Welcome to the home of the Hot Chocolate GraphQL server for .NET, the Strawberry Shake GraphQL client for .NET and Banana Cake Pop the awesome Monaco based GraphQL IDE.",672,4604,https://avatars.githubusercontent.com/u/16239022?v=4
191232240,Silk.NET,dotnet/Silk.NET,C#,16,"The high-speed OpenGL, OpenCL, OpenAL, OpenXR, GLFW, SDL, Vulkan, Assimp, WebGPU, and DirectX bindings library your mother warned you about.",304,2960,https://avatars.githubusercontent.com/u/9141961?v=4
418846673,LenovoLegionToolkit,BartoszCichecki/LenovoLegionToolkit,C#,61,Lightweight Lenovo Vantage and Hotkeys replacement for Lenovo Legion laptops.,179,2842,https://avatars.githubusercontent.com/u/7916915?u=cb6193987a878f0500ea08b59a1c269679d6c2a8&v=4
169556401,radzen-blazor,radzenhq/radzen-blazor,C#,21,"Radzen Blazor is a set of 70+ free native Blazor UI components packed with DataGrid, Scheduler, Charts and robust theming including Material design and FluentUI.",592,2649,https://avatars.githubusercontent.com/u/76943777?v=4
577623124,VPet,LorisYounger/VPet,C#,1247,"虚拟桌宠模拟器 一个开源的桌宠软件, 可以内置到任何WPF应用程序",235,2143,https://avatars.githubusercontent.com/u/34806646?u=cdae8d122dcb2b5fd24dd22ae252a3bb73ef07af&v=4
639772835,StableSwarmUI,Stability-AI/StableSwarmUI,C#,206,"StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility.",60,794,https://avatars.githubusercontent.com/u/100950301?v=4
560182652,gh-actions-importer,github/gh-actions-importer,C#,35,"GitHub Actions Importer helps you plan and automate the migration of Azure DevOps, CircleCI, GitLab, Jenkins, and Travis CI pipelines to GitHub Actions.",618,762,https://avatars.githubusercontent.com/u/9919?v=4
407816268,Collapse,neon-nyan/Collapse,C#,41,An Advanced Launcher for miHoYo Games,46,738,https://avatars.githubusercontent.com/u/30566970?u=7ceb170ea80758730dcadd6f9c591d878366e087&v=4
45210272,lslib,Norbyte/lslib,C#,54,Tools for manipulating Divinity Original Sin and Baldur's Gate 3 files,57,362,https://avatars.githubusercontent.com/u/2243424?v=4
662513403,C_Sharp,sksalahuddin2828/C_Sharp,C#,32,Explore something new,54,106,https://avatars.githubusercontent.com/u/127140921?u=745d5e1c661fb2312ea830b08eb5ccb109f6d8d8&v=4
