id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
17620347,aspnetcore,dotnet/aspnetcore,C#,65,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",9642,33607,https://avatars.githubusercontent.com/u/9141961?v=4
411493648,DevToys,veler/DevToys,C#,231,A Swiss Army knife for developers.,1139,20699,https://avatars.githubusercontent.com/u/3747805?u=044bffcd8836f3a15f9f26378a9d7c85c5cffcfe&v=4
54086969,awesome-dotnet-core,thangchung/awesome-dotnet-core,C#,45,":honeybee: A collection of awesome .NET core libraries, tools, frameworks and software",2840,18865,https://avatars.githubusercontent.com/u/422341?u=b24af4c3b730fe4554fac2408390b646294facdc&v=4
607289185,semantic-kernel,microsoft/semantic-kernel,C#,183,Integrate cutting-edge LLM technology quickly and easily into your apps,2423,16511,https://avatars.githubusercontent.com/u/6154722?v=4
213460285,CleanArchitecture,jasontaylordev/CleanArchitecture,C#,109,Clean Architecture Solution Template for ASP.NET Core,3249,14914,https://avatars.githubusercontent.com/u/1988321?u=a1c4449e215a2e4ea54a1a5787c01ca32add274a&v=4
30474266,MaterialDesignInXamlToolkit,MaterialDesignInXAML/MaterialDesignInXamlToolkit,C#,33,"Google's Material Design in XAML & WPF, for C# & VB.Net. ",3395,14363,https://avatars.githubusercontent.com/u/16655083?v=4
1579990,MonoGame,MonoGame/MonoGame,C#,40,One framework for creating powerful cross-platform games.,2819,10562,https://avatars.githubusercontent.com/u/4772066?v=4
77323220,Radarr,Radarr/Radarr,C#,115,Movie organizer/manager for usenet and torrent users.,923,8734,https://avatars.githubusercontent.com/u/25025331?v=4
187499284,UniTask,Cysharp/UniTask,C#,66,Provides an efficient allocation free async/await integration for Unity.,717,6876,https://avatars.githubusercontent.com/u/44487420?v=4
100711978,btcpayserver,btcpayserver/btcpayserver,C#,20,"Accept Bitcoin payments. Free, open-source & self-hosted, Bitcoin payment processor. ",1521,5659,https://avatars.githubusercontent.com/u/31132886?v=4
2928944,azure-sdk-for-net,Azure/azure-sdk-for-net,C#,20,This repository is for active development of the Azure SDK for .NET. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/dotnet/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-net. ,4500,4907,https://avatars.githubusercontent.com/u/6844498?v=4
184286875,runner,actions/runner,C#,27,The Runner for GitHub Actions :rocket:,1225,4319,https://avatars.githubusercontent.com/u/44036562?v=4
10601208,Umbraco-CMS,umbraco/Umbraco-CMS,C#,34,"The simple, flexible and friendly ASP.NET CMS used by more than 730.000 websites",2615,4164,https://avatars.githubusercontent.com/u/1419552?v=4
577623124,VPet,LorisYounger/VPet,C#,57,"虚拟桌宠模拟器 一个开源的桌宠软件, 可以内置到任何WPF应用程序",432,4101,https://avatars.githubusercontent.com/u/34806646?u=cdae8d122dcb2b5fd24dd22ae252a3bb73ef07af&v=4
264454828,ParrelSync,VeriorPies/ParrelSync,C#,35,(Unity3D) Test multiplayer without building,276,3971,https://avatars.githubusercontent.com/u/65452909?v=4
15785507,jint,sebastienros/jint,C#,104,Javascript Interpreter for .NET,577,3775,https://avatars.githubusercontent.com/u/1165805?v=4
199628708,RulesEngine,microsoft/RulesEngine,C#,30,A Json based Rules Engine with extensive Dynamic expression support,493,3202,https://avatars.githubusercontent.com/u/6154722?v=4
119571446,samples,dotnet/samples,C#,3,Sample code referenced by the .NET documentation,4992,3148,https://avatars.githubusercontent.com/u/9141961?v=4
103972121,ysoserial.net,pwntester/ysoserial.net,C#,43,Deserialization payload generator for a variety of .NET formatters,463,2906,https://avatars.githubusercontent.com/u/125701?u=3a01e6929aa1ae0c1dc796928df3c91e22e1ca0f&v=4
348132133,fluentui-blazor,microsoft/fluentui-blazor,C#,35,Microsoft Fluent UI Blazor components library. For use with .NET 6.0 or higher Blazor applications,242,2674,https://avatars.githubusercontent.com/u/6154722?v=4
696529789,aspire,dotnet/aspire,C#,51,"An opinionated, cloud ready stack for building observable, production ready, distributed applications in .NET",179,2365,https://avatars.githubusercontent.com/u/9141961?v=4
636565625,Starward,Scighost/Starward,C#,84,Game Launcher for miHoYo  -  米家游戏启动器,107,2320,https://avatars.githubusercontent.com/u/61003590?u=c16aa52402672f9ec35fcd5fbe7e28648db4f9e6&v=4
485055779,Stealerium,Stealerium/Stealerium,C#,24,Stealer + Clipper + Keylogger,236,819,https://avatars.githubusercontent.com/u/104278304?v=4
455068633,HeavenStudio,RHeavenStudio/HeavenStudio,C#,23,"(WIP) A tool to create playable Rhythm Heaven custom remixes, with many customization options.",206,704,https://avatars.githubusercontent.com/u/124943167?v=4
748095943,SOAPHound,FalconForceTeam/SOAPHound,C#,209,SOAPHound is a custom-developed .NET data collector tool which can be used to enumerate Active Directory environments via the Active Directory Web Services (ADWS) protocol.,38,421,https://avatars.githubusercontent.com/u/56194852?v=4
