id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
65252,jekyll,jekyll/jekyll,Ruby,45,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,9917,48593,https://avatars.githubusercontent.com/u/3083652?v=4
52281283,mastodon,mastodon/mastodon,Ruby,59,"Your self-hosted, globally interconnected microblogging community",6796,46339,https://avatars.githubusercontent.com/u/24979032?v=4
7569578,discourse,discourse/discourse,Ruby,80,"A platform for community discussion. Free, open, simple.",8199,41101,https://avatars.githubusercontent.com/u/3220138?v=4
27442967,fastlane,fastlane/fastlane,Ruby,46,🚀 The easiest way to automate building and releasing your iOS and Android apps,5641,38835,https://avatars.githubusercontent.com/u/11098337?v=4
37382858,engineering-blogs,kilimchoi/engineering-blogs,Ruby,91,A curated list of engineering blogs,1456,29839,https://avatars.githubusercontent.com/u/1356007?u=c1ae28679aee148c3e9984e00497968cf419e284&v=4
308770,devise,heartcombo/devise,Ruby,23,Flexible authentication solution for Rails with Warden.,5535,23826,https://avatars.githubusercontent.com/u/59584037?v=4
2500088,gitlabhq,gitlabhq/gitlabhq,Ruby,13,GitLab CE Mirror | Please open new issues in our issue tracker on GitLab.com,5716,23671,https://avatars.githubusercontent.com/u/1086321?v=4
2203645,CocoaPods,CocoaPods/CocoaPods,Ruby,9,The Cocoa Dependency Manager.,2621,14482,https://avatars.githubusercontent.com/u/1189714?v=4
88740103,postal,postalserver/postal,Ruby,27,📮 A fully featured open source mail delivery platform for incoming & outgoing e-mail,1014,14387,https://avatars.githubusercontent.com/u/58169103?v=4
3195124,sidekiq,sidekiq/sidekiq,Ruby,10,"Simple, efficient background processing for Ruby",2390,13027,https://avatars.githubusercontent.com/u/124714131?v=4
15435,liquid,Shopify/liquid,Ruby,12,"Liquid markup language. Safe, customer facing template language for flexible web apps. ",1369,10919,https://avatars.githubusercontent.com/u/8085?v=4
361310,capybara,teamcapybara/capybara,Ruby,7,Acceptance test framework for web applications,1445,9991,https://avatars.githubusercontent.com/u/23465623?v=4
812393,grape,ruby-grape/grape,Ruby,4,An opinionated framework for creating REST-like APIs in Ruby.,1216,9847,https://avatars.githubusercontent.com/u/13624553?v=4
611921,activeadmin,activeadmin/activeadmin,Ruby,3,The administration framework for Ruby on Rails applications.,3295,9465,https://avatars.githubusercontent.com/u/814570?v=4
2441517,puma,puma/puma,Ruby,5,A Ruby/Rack web server built for parallelism,1415,7624,https://avatars.githubusercontent.com/u/1264292?v=4
1314319,canvas-lms,instructure/canvas-lms,Ruby,16,"The open LMS by Instructure, Inc.",2421,5420,https://avatars.githubusercontent.com/u/515326?v=4
93163073,dependabot-core,dependabot/dependabot-core,Ruby,29,🤖 Dependabot's core logic for creating update PRs.,938,4516,https://avatars.githubusercontent.com/u/27347476?v=4
1404127,ruby-jwt,jwt/ruby-jwt,Ruby,2,A ruby implementation of the RFC 7519 OAuth JSON Web Token (JWT) standard.,374,3566,https://avatars.githubusercontent.com/u/10998651?v=4
2050163,aws-sdk-ruby,aws/aws-sdk-ruby,Ruby,1,The official AWS SDK for Ruby.,1213,3529,https://avatars.githubusercontent.com/u/2232217?v=4
1175581,styles,citation-style-language/styles,Ruby,6,Official repository for Citation Style Language (CSL) citation styles.,3716,3212,https://avatars.githubusercontent.com/u/526476?v=4
1953385,stripe-ruby,stripe/stripe-ruby,Ruby,5,Ruby library for the Stripe API.    ,541,1916,https://avatars.githubusercontent.com/u/856813?v=4
463648726,ruby-lsp,Shopify/ruby-lsp,Ruby,14,An opinionated language server for Ruby,128,1391,https://avatars.githubusercontent.com/u/8085?v=4
1784628,sprockets-rails,rails/sprockets-rails,Ruby,0,Sprockets Rails integration,244,573,https://avatars.githubusercontent.com/u/4223?v=4
776916297,dawarich,Freika/dawarich,Ruby,88,Self-hosted alternative to Google Location History (Google Maps Timeline),11,569,https://avatars.githubusercontent.com/u/3738638?u=a83530fd4051e5999400c6ef6edeb87d053cdb59&v=4
