id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
7634677,openssl,openssl/openssl,C,86,TLS/SSL and crypto library,10045,25389,https://avatars.githubusercontent.com/u/3279138?v=4
37912398,nginx,nginx/nginx,C,1336,The official NGINX Open Source repository.,6780,22631,https://avatars.githubusercontent.com/u/1412239?v=4
80286288,Tasmota,arendst/Tasmota,C,42,"Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",4764,21949,https://avatars.githubusercontent.com/u/11044339?u=b54c71859c551426b6738921138b740804ca1d62&v=4
272457606,cosmopolitan,jart/cosmopolitan,C,82,build-once run-anywhere c library,607,17771,https://avatars.githubusercontent.com/u/49262?u=ac68933ab61c639ab59ae693a41ae89cd874c16e&v=4
775743011,valkey,valkey-io/valkey,C,167,A flexible distributed key-value datastore that supports both caching and beyond caching workloads.,571,15519,https://avatars.githubusercontent.com/u/164458127?v=4
78281075,esp8266_deauther,SpacehuhnTech/esp8266_deauther,C,40,Affordable WiFi hacking platform for testing and learning,2567,13297,https://avatars.githubusercontent.com/u/64325017?v=4
65899476,esp-idf,espressif/esp-idf,C,54,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,7201,13294,https://avatars.githubusercontent.com/u/9460735?v=4
5254557,skynet,cloudwu/skynet,C,27,A lightweight online game framework,4183,13234,https://avatars.githubusercontent.com/u/729648?v=4
32921736,audacity,audacity/audacity,C,56,Audio Editor                                     ,2244,12188,https://avatars.githubusercontent.com/u/11648186?v=4
106586124,atomic-red-team,redcanaryco/atomic-red-team,C,24,Small and highly portable detection tests based on MITRE's ATT&CK.,2760,9544,https://avatars.githubusercontent.com/u/6877001?v=4
330008801,SDL,libsdl-org/SDL,C,64,Simple Directmedia Layer,1742,9382,https://avatars.githubusercontent.com/u/77683370?v=4
671061529,winlator,brunodev85/winlator,C,161,Android application for running Windows applications with Wine and Box86/Box64,366,7816,https://avatars.githubusercontent.com/u/11407071?u=b8e72693930cd1e2d2ea4e0423fb27e0e905b84d&v=4
203759896,immortalwrt,immortalwrt/immortalwrt,C,152,An opensource OpenWrt variant for mainland China users.,1640,5722,https://avatars.githubusercontent.com/u/53193414?v=4
29933948,fluent-bit,fluent/fluent-bit,C,52,"Fast and Lightweight Logs and Metrics processor for Linux, BSD, OSX and Windows",1559,5717,https://avatars.githubusercontent.com/u/859518?v=4
251043704,mayhem-firmware,portapack-mayhem/mayhem-firmware,C,39,Custom firmware for the HackRF+PortaPack H1/H2,532,3242,https://avatars.githubusercontent.com/u/136080346?v=4
31374735,fwupd,fwupd/fwupd,C,33,A system daemon to allow session software to update firmware,426,2794,https://avatars.githubusercontent.com/u/54377141?v=4
270692521,zmk,zmkfirmware/zmk,C,23,ZMK Firmware Repository,2684,2616,https://avatars.githubusercontent.com/u/66629601?v=4
199931048,c3c,c3lang/c3c,C,89,Compiler for the C3 language,148,2584,https://avatars.githubusercontent.com/u/53541653?v=4
711719783,sm64coopdx,coop-deluxe/sm64coopdx,C,14,An official continuation of https://github.com/djoslin0/sm64ex-coop on sm64coopdx for the enhancements and progress it already has.,52,315,https://avatars.githubusercontent.com/u/142864859?v=4
5870069,librdkafka,confluentinc/librdkafka,C,71,The Apache Kafka C/C++ library,3137,184,https://avatars.githubusercontent.com/u/9439498?v=4
