id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
184456251,PowerToys,microsoft/PowerToys,C#,378,Windows system utilities to maximize productivity,6637,112579,https://avatars.githubusercontent.com/u/6154722?v=4
13807606,fzf,junegunn/fzf,Go,224,:cherry_blossom: A command-line fuzzy finder,2419,66405,https://avatars.githubusercontent.com/u/700826?u=38c8a40a1a21f462299a5669a62a39d321da5eca&v=4
72495579,gitea,go-gitea/gitea,Go,434,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",5556,46018,https://avatars.githubusercontent.com/u/12724356?v=4
787637064,shardeum,shardeum/shardeum,TypeScript,2042,Shardeum is an EVM based autoscaling blockchain,460,24016,https://avatars.githubusercontent.com/u/98940804?v=4
329782568,dioxus,DioxusLabs/dioxus,Rust,1022,"Fullstack app framework for web, desktop, mobile, and more.",901,23446,https://avatars.githubusercontent.com/u/79236386?v=4
583706111,LazyVim,LazyVim/LazyVim,Lua,480,Neovim config for the lazy,1286,18289,https://avatars.githubusercontent.com/u/122150220?v=4
655515393,CopilotKit,CopilotKit/CopilotKit,TypeScript,448,"React UI + elegant infrastructure for AI Copilots, in-app AI agents, AI chatbots, and AI-powered Textareas 🪁",2141,14137,https://avatars.githubusercontent.com/u/131273140?v=4
275386910,maigret,soxoj/maigret,Python,1024,🕵️‍♂️ Collect a dossier on a person by username from thousands of sites,923,13636,https://avatars.githubusercontent.com/u/31013580?u=ed346e140e288d6b57bad1121b9ec7e5791c4cc5&v=4
44971752,EIPs,ethereum/EIPs,Python,95,The Ethereum Improvement Proposal repository,5359,13051,https://avatars.githubusercontent.com/u/6250754?v=4
190416463,runner-images,actions/runner-images,PowerShell,77,GitHub Actions runner images,3123,10409,https://avatars.githubusercontent.com/u/44036562?v=4
853189791,PDFMathTranslate,Byaidu/PDFMathTranslate,Python,5318,PDF scientific paper translation with preserved formats - 基于 AI 完整保留排版的 PDF 文档全文双语翻译，支持 Google/DeepL/Ollama/OpenAI 等服务，提供 CLI/GUI/Docker,682,9781,https://avatars.githubusercontent.com/u/21212051?u=819b2de573c644e6e436a54b31ff5f69067c7c29&v=4
162613268,chains,ethereum-lists/chains,Kotlin,82,provides metadata for chains,6765,9026,https://avatars.githubusercontent.com/u/36377254?v=4
771670025,cookbook,google-gemini/cookbook,Jupyter Notebook,3155,Examples and guides for using the Gemini API,1048,8705,https://avatars.githubusercontent.com/u/161781182?v=4
854894542,next-saas-starter,leerob/next-saas-starter,TypeScript,752,"Get started quickly with Next.js, Postgres, Stripe, and shadcn/ui.",767,7188,https://avatars.githubusercontent.com/u/9113740?u=99ff2256d26f744a52d0726eec798380a9ace9fc&v=4
683347556,limbo,tursodatabase/limbo,Rust,3607,"Limbo is a work-in-progress, in-process OLTP database management system, compatible with SQLite.",222,7168,https://avatars.githubusercontent.com/u/139391156?v=4
826170402,eliza,ai16z/eliza,TypeScript,1301,Autonomous agents for everyone,1533,5284,https://avatars.githubusercontent.com/u/186240462?v=4
817354652,TEN-Agent,TEN-framework/TEN-Agent,Python,1390,"TEN Agent is a conversational AI powered by TEN, integrating Gemini 2.0 Multimodal Live API, OpenAI Realtime API, RTC, and more. It offers real-time capabilities to see, hear, and speak, along with advanced tools like weather checks, web search, and RAG.",336,3512,https://avatars.githubusercontent.com/u/113095513?v=4
810861466,rig,0xPlaygrounds/rig,Rust,527,"⚙️🦀 Build portable, modular & lightweight Fullstack Agents",96,1164,https://avatars.githubusercontent.com/u/93353392?v=4
